,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002241.SZ,X002236.SZ,X000568.SZ,X000100.SZ,X600031.SH,X600271.SH,X002475.SZ,X002456.SZ,X600118.SH,X002085.SZ,X600177.SH,X002292.SZ,X000338.SZ,X000157.SZ,X002180.SZ,X002007.SZ,X000559.SZ,X600372.SH,X300003.SZ,X600867.SH,X300124.SZ,X002426.SZ,X002506.SZ,X601877.SH,X600498.SH,X002508.SZ,X002074.SZ,X002294.SZ,X600089.SH,X600522.SH,X000050.SZ,X600418.SH,X000977.SZ,X000550.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600177.SH,0.0871540002849512,0.160537813114693,0.0495448849425923,0,0,0,0,0,0,0.0788055026164463,0,0.16939469608539,0.00895395576792674,0,0,0,0,0,0,0,0.00492503745658773,0,0,0.0731135282829491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371054515507652,0,0,0,0,0,0.0745690656488501,0.0409242423015629,0,0.105962335084394,0,0.0787777980330297,0,0.0202090382976584,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0.110869162435024,0,0,-0.0578730289192512,0,0,0,0,0.20322538424158,0,0,0,0,0.135081986898113,0,0,0,0.0122180766244983,-0.0353490108655765,0,0,0,0.00163814020911805,0,0,0,0,0,0.394546054171039,0,0.227682595863401,0.0146841853110309,0,0,0.0553800133928596,0,0,0.0566011011724307,0.231981762268569,0,0,0,0,0,0.0194286066887434,0.0147589252165365,0,0,0,0,0,0
X000338.SZ,0,-0.114217508744068,0,0,0,-0.0136186107961006,0,0,0,0,0,0,0,0,-0.0398711056213991,0.249726843344069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11032820974508,0,0.0332319333277273,-0.0528337370878873,0,-0.0584260671459679,0,0,-0.0416814578474755,0,0,0,0,0,0,0,0,0,0.325358590891567,0,0,0,-0.0302140061518521,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.188864023368973,0,0,-0.0211204674726669,0,0,0.0299234225220494,0,0.0233477759969796,0.0356427849562752,0.059669917050377,-0.0561007700976102,0,0.117782306742027,0,0,0,0,0,0.0084994779398384,0,0,0,-0.0975226198745448,0,0.0403873622091994,0.041687626777206,0,0,0,0,0,0,0,0.0907962258468093,0.100183424455281,0,0,-0.0342938094624156,0,0,0,0,0,0,0
X002180.SZ,0,0,0.164398333667324,0,-0.0868266631290873,0,0,0,0,0,0,0,0,0.0447651608573436,0.138492098342787,0,0,0,0,0,0,0.00529814250250263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862702584547691,0,0,0,0,0,0,0,0.241930581470903,0,0.137731818817101,0,0,0.0369878125519779,-0.123330384766959,0,0,0,0,0,0
X002007.SZ,0,0,0,-0.245007089612284,0,0,0,0,0,0.0699880479576425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136065667357791,0,0.163521917595311,0,0,0.231629888528512,0,0,0,0,0,0,0.216278454731676,0,0,1.38777878078145e-17,0,0,0,0,0.207166721661706,0,0,0,0.0391364591704046,0,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616002621848061,0,0,0,0,0.0542667404325049,0,0,0,0,0.0677902072573609,0,0,0,0.0677047071041093,0,0.179530025344275,0,0,0,0.0771019219411479,0,0,0,0,0,0,0,0.005479884619328,0,0,0,0.199338745825546,0,0,0,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0.0286406259332854,0,0,-0.0335214150711544,0,0,0,0,0,0,0,0,0,0,-0.0535192259800481,0.0106316103977835,0.471267312401812,0.0637054126911943,0,0.0423370110713547,0,0,0,0.159628940449683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156599301271056,0,0.128173695292472,0,0,0,0,0,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0.137588429602643,0.0689788377410764,0,0,0,0,0.00303562203893159,0.0621133018500759,0,0,0,0,0.0490470939593964,0,0,0,-0.159661856815188,0.172445578462989,0,0,0,0.0753602219274046,0,0,0,0,0,0,0,0.0191779979164865,0.051043401907817,0.0025547762668004,0,0,0,0,0,0,0,0,0,0,0,0.0412211649606866,0,0,0,0,0,0
X600867.SH,0,0.0914251496565763,0.0990082899366169,0,0,0,0,0,0,0,0,0,0,0,0.117291022977881,0.0576760314883415,0.0853758712286058,0,0,0,0,0.046011401337129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.0753042408069499,0,0,0,0,0,0,-0.0470441178551528,-0.0367357905334784,0,0,0,0,0,0
X300124.SZ,0,0.0154275477024498,0,0,0,0,0,0,0,0.0293764573402259,0,0,0,0,0.104801620556278,0.0123444931221664,0,0,0,0,0,0.0271652047835012,0.0602796874441434,0,0,0.0837091639332462,0,0,0,0.0222425464362759,0,0.0076668656243278,0,0,0,0.143516736766656,0,0,0.0303346079883592,0,0.0366069833648826,0,0,0.0115015669245553,0.120824142143268,0,0,0,0,0,-0.00271306674255598,0,0,0,0,0,0,0
