,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X300142.SZ,X000661.SZ,X002049.SZ,X601877.SH,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X000157.SZ,X000799.SZ,X600741.SH,X600702.SH,X002007.SZ,X002074.SZ,X002414.SZ,X002236.SZ,X600584.SH,X600779.SH,X600089.SH,X600183.SH,X000800.SZ,X601799.SH,X300146.SZ,X300003.SZ,X600884.SH,X000066.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749741300055292,0,0,-0.11017834561377,0.0731299195091096,-0.0239436461565794,0,0.139979609981212,0,0,0,0,0.159047773710017,0,-0.119438917903032,0,0.0277810196476697,0,0,-0.000809912564663899,0.0125782814848167,0,0,0,0,0,0,0.0551632958286212,0,0,0,-0.0316530505237023,0.081400385258844,0,0,0,0,0,0
X600584.SH,0,0,-0.0658160174131971,0,0,0,0.169281677096635,0,0.141291791909506,-0.268879182478638,0,0,0,0,0,0,0.175573429788373,0,0,0.184582147842484,0,8.67361737988404e-19,0,-0.016025242844872,0,0.0684693517293787,0,0,0.0832487004146935,0,0.00464772848071231,0,0,0,0,0,0,0,0,0,0,-0.0219344525323044,0,0,-0.0240939887337049,0,0,0,0,0,0,0.00444254735204407,0,0,0,0,0,0,0
X600779.SH,0,0.432315952431507,0,0,0,0,0,0,0,0,0,-0.0621121752221502,0,0,0,0,0,0.000718200707444214,-0.00594061927071648,0,0.0428004196661615,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.155814143022064,-0.0414978608151862,0.290475777584236,0,0.159554224225447,0,0,0,0,0,0,0,-0.0423377604889414,0,0,0,0,0,0,0.0511803949221312,-0.244701732856385,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0.0381737572191236,0,0,0,0,0,0,0.0329936909739801,-0.0220370959920104,0.00946655318764976,0.064618824633521,0,0,0,0,0,0,-0.0167892381295921,0,0,0,0.00822558824649409,0,0,-0.0403274489998674,0,0.155645406071665,0,0,0,0,0,0,0,0,-0.108088791935594,0,0.0986445145342509,0.0434301339688971,0,0,0.0145802239571683,0.0534097585330473,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498024971425332,0,0,0,-0.0441100309170171,0,0,0,0,0,0.0637318879824163,0,0,0,0,0,0.0414538038170801,0,0,0,0.0469313318359477,0,0,0.0824395673975549,0,0,-0.037408172565509,0.000633211339741246,0,0,0,0.177047487537969,0,0,0.0904845619136945,0,0,0,0.107039573462677,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064915163374699,0,0.0836666702932458,-0.209607072817207,-0.0157426323191894,0,0.125924691384763,0,0,0.0843209235914621,0,0,0,0.00281183459061898,-0.0603552707163188,0,0.221695915199398,-0.00537778506234454,0,0.033831121759122,0,0,0,-0.0462453388461485,0,0,0,0,0,0,0,0,0,0,0.0445374062650017,0,0,0,0,0,0,0
X601799.SH,0,0,0.0586240185014563,0.0362512061031077,0,0,0.103212201847658,0,0,0,0,0,0,0.120102140305547,-3.46944695195361e-18,0,0,0,0.0678494697639299,0.0735767189126402,0,0.115174320277062,0,0.0941984286341714,0,0,0,0,0,0,-0.00142738817281573,0,0,0,0,0,0,0,0,0,-0.0662965830999177,0,0,0,0,0,0,0.0607937084580073,0,0,0,0,0,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284560197383195,0,0,0.201220024826354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152067324402311,0,0,0.191180813185927,0,0,-0.00127640081270317,0,0,0,0,0,0,0,0,0.130208680403107,0,-0.017503044193132,0.0232840166448354,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0.0371010362733801,0,0,0,0,0,0,-0.0407352538602921,0,0,0,0,0,0,0.025531616581239,0,0,0,0,0,0,0,0,0.0573192702511801,0,0.055045493263343,0.109588601326352,0,1.0842021724855e-19,0.06815905106652,0,0.00116989805362226,0,0,0,0,0,0,0,0,-0.0563352866261427,0,-0.0329878716375593,-0.0423965818106848,0,0,0,0,0,0
X600884.SH,0,0,0,-0.105416217951052,0,0,0,0,0,0,0,0,0,0.183017899161143,0,0,0,0,0,0.13705370923916,0.260531845749902,-0.283962918074093,0,0,-0.277516553886546,0,0,0,0,0,0.107770296630671,0.215819231009217,0,0,0.45626010788747,0,0.0459673195091292,0.00980251927689524,0,0,-0.168917780251754,0.425985549776517,0,0,0,0,0,0,0,0.0923241208252343,0,0.0414962293980873,0.0221742356291148,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0.105282321397892,0,0,0,0,0,0,0,-0.0211959007499776,0,0.037708414586826,0,0,0,0,0,0,0.0619723728150103,0,0,0,0.0223026888043194,0,0.309611619741847,0.277415058261915,0,0,0.0294554793891467,0,0,0,0,0,0.0296240262916172,0,0,0,-0.330353010889731,0,0,0,0,0,3.46944695195361e-18,-0.363711169871128,-0.0218859285381524,-0.0606789951758704,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0.109295263287131,0,0,0,0,0.0436138402420077,0.200282943185256,-0.108759536305148,0,0.0735390621404304,0,0,0,0,0,0,0,0,0.0142123085216151,0,0,0.307004550235619,0.0895618783359228,0,0,0,0,0,0,0.0810184980044921,0,0.0704041408652909,0,0,0,0,0,0,0,0,0,0,0,0.00197416930511253,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0.019791127132283,0,0,0,0,0.0834508801491277,0,0.0704451380956643,0,0,0,0,0,0,0,0.0457199211864777,0,0,0,0,0,0,-0.0204907214078495,0,-0.103238830404343,0,0,0,0,0,0,0,0,0,0,0.0324287903464256,0.0419116361718505,0.0398407686010557,0,0,-0.0743173184749046,0,0,0,0,0,0
Slope,0.685740702531423,0,0,0,0,0,0,0,0,0,0,0,0,-0.0800802108845037,0,0,0.336743624061558,0,0,0,0,0,0,0,0.290433736474244,0,-0.436256697482298,0,0,-0.0842054102003651,0.561217562463352,0,0,-0.247179224809618,0,0,-0.0842964043102805,0,0,0,0,0,0,0,0,-1.0253378870122,0,0,0,0,0,0,1.01072949148101,0,0,0,-1.23106298395039,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,-0.0940957443796841,0,0,-0.114855829837242,0,0,0,0,-0.0709793928999737,0,-0.072514268822036,0,0,0,0,0,0,0,0,0,0,0,0,0.0339678714034622,0,0,0,0,0.0672697831441801,0,0,0,0,-0.0423811462347655,-0.124415990414749,0,0,0,0,0,0.354136655713133,0,0,0,0,-0.33358796150534,0,0
RealEstate_excess,0,0,0,0.107772620069842,0,-0.0276609832234977,0,0,0,0,0,0,0,0.050063173831494,0,0,0,0,0.0118038929352156,0,0,0.159875873133807,0,-0.0513918416828612,0,0,0.0386419900903767,0,0,0,-0.0573612452033022,0,0,0,0,0,0,0,-0.00966899299441879,0,-0.0747771642974842,0,0,0,-1.0842021724855e-19,1.73472347597681e-18,0,-0.0693246200457544,0,0,0,0,-0.027062740421326,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0653955210352396,0,-0.0306706145519783,0.0864800058787213,0,0,0,0,0,-0.110230626018881,0.0689054017233578,0,0,0,0,0,-0.0479404475150096,0,0,0,0.0195579688691335,0.0584364918977191,0,0,0,0,-0.0244033793863968,0,0,0.0358253354688572,0,0,0,0,0,0.0131721629938258,-0.0326881693900139,0,0,0,-0.00265989734138842,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000607323213623883,0,0,0,0,0,0,0,0,0,0.0011299287744696,0,0,0,0,0,0,0,0.00310150763087762,0,0,0,0,0,-0.000716822206731262,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,-0.0211716050029165,0,0,0,0,0,0,0.0276155923400752,0,0,0,0.0295319641498017,0,0,0,-0.0218393272379161,0,0,0.123784152534903,0,0.121059715601964,0,0,0,-0.0211505934060582,0,0,0,0,0,0,0,0,0.0159370856224162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151531418640764,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0.000654812836935673,0,0,0,0,0,0,0,0,0,0,-0.00137498627615094,-0.0112750792540074,-0.00640339774991418,0.000388429857568888,0,0,0,0.00829863237187058,2.71050543121376e-20,0.00189476882017276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000841154855393744,0,-0.0018695043987311,0.00291739652679458,0.00388784298453223,0,0,-0.0130645922633559,0,0,0,0,0,0,-0.150376723470865
