,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X601877.SH,X600809.SH,X000100.SZ,X600703.SH,X600271.SH,X000157.SZ,X300003.SZ,X002007.SZ,X002236.SZ,X300124.SZ,X300142.SZ,X002008.SZ,X002179.SZ,X000625.SZ,X600177.SH,X000977.SZ,X002371.SZ,X600498.SH,X002506.SZ,X600776.SH,X600867.SH,X600183.SH,X600487.SH,X300146.SZ,X000066.SZ,X000050.SZ,X600066.SH,X600566.SH,X002129.SZ,X600118.SH,X002049.SZ,X600522.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,-0.508517585114072,0,0.172312968290488,0,0,0,0,0,0,0,0.21198437652933,0.329105503349415,0.0779834306205886,0,0,0,0,0,0,0.0666025716278588,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0155004129370948,-0.00688308509897787,0,0,0,0,0,0,0,0,0.193815046813908,0,0,0,0,0,0,0,0,-0.141822636007221,0,0
X600271.SH,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.11965619124427,0,0,0,0,0,0,0.0832530233505763,0,0,0,0,0,0,0,0,0,0,0.00904503216506723,0,0.0424208358116882,0,0,0,0.093088057256666,0,0,0,0,0,0,0,0,0.0597933562388915,0.16272480060266,0.00223728173903495,0,0,0,-0.0281061501802152,0,0,0,0,0.017648743737234,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0.204520248724587,0.10347310548984,0,0,0.0141405197578486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175311715735409,0,0,0,0,0,0.0651723405886576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100542336909458,0,0,0,0,-0.00415515351026203,0,0
X300003.SZ,0,0,0.024983197026484,0,0,0,0,0,0.172415781110172,0.0538152783396022,0,0,0,0.0834398837513776,0,0,0,0,0,0.0663126974237686,0,0,0,0,0,0,0,0,0,0,0,0,0.01067827306732,0.00275046166027113,0,0,0,0.0340465423525474,0,0,0.0763045079646782,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0142354124822819,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212569951880906,0,0,0,0.0874520975750255,0.309013741792675,0,0.0155249265329681,0,0,0,0,0,0,0.023025033334234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.134008233890086,0,0,0,0,0,-0.0285278535803931,0,0,0,0,0.00459749856097437,0,0
X002236.SZ,0,0,0,0,0,0.500162476414192,0,0,0.0286023835093019,0.114962711724288,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945083952368847,0,0,0,0,0.0291958026286415,0,0,0.0481475518349669,0,0.0506891758169738,0,0,0,0,0.00139195440942087,0,0,0.0289679961826365,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,-0.0258668603241929,0,0
X300124.SZ,0,0.108992208273317,0,0,0,0,0,0,0.012752721939937,0,0,0,0,0,0,0.041221819400643,0,0,0,0.0994268264554179,0,0,0,0,0,0,0,0.0112205332890617,0,0,0.0312513425459183,0,0.101221001168403,0,0,0,0.0199633866699812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121247196075988,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0.17369527389796,0,0,0.01826087047456,0.134674084373094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.13873750177431,0.153326243486138,0,0,0,0,0,0,0.100836323626123,0.0443425402588917,0,0,0,0,0,0,0,0,0,-0.00089505744573084,0,0
X002008.SZ,0,0.0586736481866222,0,0,0,0,0,0,0.0127652238505213,1.73472347597681e-18,0.0338135067889195,0,0.124950457591118,0.206339158728562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0256577607359837,0.0153045099516189,0,0.0411915415296968,0,0,0,0,0,1.73472347597681e-18,2.71050543121376e-20,0,0,0.00837152808252518,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0.207907951017391,0,0.0115444034483982,0,0,0,0.076021831836214,0,0,0,0,0,0,0,0,0,0,0,0,-0.0818196052478729,0,0,0,0.251318203560604,0,0,0,0,0.0168811441693838,0,0,0,0,0,0,0,0,0,0.0810496758663131,0.148535723893996,0,0,0,0.0311190019507183,-0.00280858788075554,0,0,0,0.00383708264599706,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.307267652625586,0,0,0.142277513588696,0.0248537304070272,0.198272758127029,0,0,0,0,0.372518270878165,0.0414407183958094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153160255852142,0,0.0628880700547091,0,0,0,0,0,0,0,-0.0493366392870145,0,0,0,0,-0.022234431558086,0,0
X600177.SH,0,0,-0.0237241515264515,0,0,0,0,0,-0.0294070005164532,0,0.0367949252746015,0,0.0645494494416441,0,0,0,0,0,0,0.155837909581106,0,0,0,0,0,0,0,0,0,0.0200073320323544,0,0,0,0,0,0,0,0.308433161244127,0,0,0,0,0,0,0,0,0.0253577114593678,0,0,0,0,0.0643562615948885,0,0,0,0,0.0519679588676179,0,0
X000977.SZ,0,0,0,0,0,0,0,0.24165286355133,0,0,0,0,0,0,0,0,-0.137903132196695,0,0,0.0855039424969193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175738517322496,0,0,0.362146704128521,0,0,0,0,0,0,0,0,0.0301905338710245,0,0,0,0,0,-0.0854103419037906,-0.0584485728708924,0,0,0,-0.00822002529603898,0,0
X002371.SZ,0,0,0,0,0,0.12246941115276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0268162284264778,0,0,0,0,0,0.325400156445613,0,0,-0.0717272975822382,0.0838859579175663,0.147911610536885,0,0,0,0.019535427376898,0.0729104647951701,0,0,0,0,0.312796662924972,0,0,0,0,0,0,0,0,-0.0223834033793583,0,0
X600498.SH,0,0.0623654379398682,0,0,0,0,0,0,0.185402694728842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228375854623456,0,0,0,0,0.0297657155936165,0.0700306191711444,0,0,0.0350556311933824,0,0.165160401064592,0,0,0,0,0,0,0.235688775446692,0.0112974120351375,0.0167495668766615,0,0,0,-0.0238057358969202,0,0,0,0,0,0,0
X002506.SZ,0,0,0.403801033631942,0,0,-0.405318737406687,0,0,0.0577708940719806,-0.089438372713292,0,0,0,0,0,0,0.176472165063924,0,0,0,0.19839990422114,0,0,0,0,0,0,0,-0.130648745228223,0,0,0,0.285167725431144,0,0,0,0,0.0857542427314839,0,0,0,-0.099248355712672,0,0,0,0,0,0,0,0,-0.188548118333207,-0.159161787286429,0.106870767353356,0,0,0,-0.0656429545929782,0,0
X600776.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0473432727479854,0,0,0,0,0,0.170013961370088,0,0,0,0,0,0,0,0,0,0,0,0.0273459759757601,0,0.301595154412759,0.0657996838869981,0,0,0,-0.0702190996631068,0,0,0,0,0.243957729235721,0,0,-0.225382631481095,0,0,0,0,0,0.101508948829117,-0.1823431369802,0,0,0,0.0736279612800786,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0291866527843189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105842434150374,0.0928125465102837,0,0,0,0,0,0,0.237691591998418,0,0,0,0,0,0.0231476572827682,0,0.386637602035071,0,0,0,0,0.051091303237037,0,0,0,0,0.0420507588403023,0,0
X600183.SH,0,0.00262304786102168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188127697270138,0,0,0,0,0,0,0,0,0,0,0,0,0.079957206343215,0.277005719836306,0,0,0,0,0.134263665047814,0,0,0,0,0,0.0349943597429795,0.0575823069632233,0,0,0,0,-0.0503682625256298,0,0,0,0,-0.0139972980591915,0,0
X600487.SH,0,0,0,0,0,0.475258891925858,0,0,0,0,0,0.0352945899297396,0,0.034535997466347,0.0931491509086033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101667989535765,0,0,0,0,0,0,0.00479290846684914,0,0,0.27954049471416,0,0,0.174774815984254,0,0,0,0.131240092548203,-0.0657484987863909,0,0,0,0,0.0170422970566415,0,0,0,0,-0.041041339678073,0,0
X300146.SZ,0,0,0.0416155634404554,0,0,0,0,0,0.121379700804171,0,0,0,0,0,0,0.034597492008146,0.0260469508314274,0,0,0,0,0,0,0,0.192874249164608,0,0,0,0,0,0,0,0,0.0112577780896174,0,0,0,0,0,0.0468277919269919,0,0,0,0,0,0.04691253406134,0,0,0,0,0,-0.0315664368583661,0.096729049047495,0,0,0,0.0511295190558341,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256862209174278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281052586346057,0,0.033336850056173,0.13539453028455,0.238863703895544,0,0,0,0,0.331923730329508,0,0,0,0,0,0,0,0,-0.056726660663108,0,0,0,0,-0.0205963323292165,0,0
X000050.SZ,0,-3.46944695195361e-18,0,0,0,0.0716139223108666,0,0.198088613376639,0,0,0,0,0,0,0,-0.202346111075796,0,0,0,0,0,0,0,0,0,0,0,0.335447494537296,0,-0.129652124080943,0,0,0,0,0,0,0.341396859521707,0,0,0,-0.147136536937709,0,0,0,0,0,0,0,0,0,-0.0805265271405493,-0.0013804021390148,-0.115535824629237,0,0,0,0.00990802281231085,0,0
X600066.SH,0,3.46944695195361e-18,0,0,0,0,0,0.245242139573928,0,0,0,0,0.0809592273169129,0.0181567689911976,0.0352231425384217,0.00366378448380651,0.00623264104576301,0.577018071400648,0,0,0,0,0,-0.436878518543274,0,0,0,0,0,0,0.238053366585844,0,0,0,0,0,0,0,0,0,0,0.0771746926334998,0,0,0,0,0.00470394021464977,0,0,0,0,0,0.00556868415338336,0,0,0,0.0325448372733064,0,0
