,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X000338.SZ,X002236.SZ,X000625.SZ,X601877.SH,X600487.SH,X002456.SZ,X002241.SZ,X002008.SZ,X600066.SH,X000100.SZ,X600809.SH,X300136.SZ,X002508.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600522.SH,X600867.SH,X600271.SH,X600089.SH,X000157.SZ,X002085.SZ,X000981.SZ,X000596.SZ,X600177.SH,X600699.SH,X600566.SH,X600498.SH,X002179.SZ,X300142.SZ,X600118.SH,X000661.SZ,X002129.SZ,X002049.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002179.SZ,0,0,0.0744745874557821,0,0,0,0,0,0.0375404455102748,0.0915335990988882,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0589226334069063,0,-0.0941642320600476,0,0.0519665757262842,0,0,0,0,0,0.169730773756585,0.249590775101503,0,0,0,0,0,0,0,0,-0.198223289693476,0,0,-0.0128121694183651,0,0,0,0,0,0,-0.0142364527740353,0.00543142267689199,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0.222567416218373,0,-0.138419452920461,0,0,0,0,0,0,0,0,0.206904228725103,0,0,0,0,0,0.286540881363394,0.420367321506583,0,0,-0.278349828292379,0,0,0,0.163571284918619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11146781487372,0,0,0,0.0550429169264149,-0.166070810999955,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.0512958305843053,0,0,0.039016110478599,0.00452200140003336,0,0,0,0,0,0,0,0.00276491372705952,0,0,0,0,0,0,0.161093725099973,0,0.139926187252425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382219103675668,0,0.121228988882787,0,-0.0154074225293504,0.017487061147857,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0.0906627606409773,0,0,0.0892116194195326,0.105849887663619,0.139829286591267,0,0,0,0,0,0,0,0,0.0900955761126268,0,0,0.0242193271292984,0,0,0,0,0,0,0,0.256281734045769,0,0,0,0,0,0.0256831801051698,0,0,0,0,-0.0616132446821877,-1.38777878078145e-17,0,0,-0.106517300110367,0,0,0,-0.0188437907935985,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.103909770894611,0,0,0,0,0.239692762014415,0,-0.537650661025394,0,0,0,0,0,0,0,0.175814643977223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511044482662507,0,-0.0882186493276533,0,0,0,0.142600078204639,0,0,0.0633087886825568,-0.0554304709295293,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.343781940052049,0,0.304125872618002,0,0,0,-0.126883615907587,0.0658138586333245,-0.722926338315445,0,0.0707888894640748,0,0.471660960498352,0,0,0,0,-0.0243560604096882,0,0,0,0,0,0,0,0.199409984098043,0,0,0,0,0,0,0,0.299575279922384,0,0,0,0,0,0.0515540641447012,0,0.02027634254484,0,0,0,0,0,0,0,0,0
X000050.SZ,0.0181440167225227,0,0,0,0,0,0.0898560750958452,0,0,0,0,0,0,0.316821287330573,0,0,0,0,0.261788035923052,0.249116864639242,0,0,0,0,0,0,0.0773232987256895,0.0590206171399045,0,0,0,0,0,0,0,0,0,0,0,0,0.0217947895311382,0,0,0,0,0,-0.14831676721143,0,0.0923873630920534,0,0,0,0.091979801255809,0,0,0,0,0,0
Change_TY3M,0,0,0,-0.076112242723059,0,0,0,0,0.0366216583901576,0,0,0,0,0,0,0,0,0,0.00743894380639389,0,0,0,0,0,0,-0.0969578969968359,0,0,0.0303592923812133,0,0.027936208971588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493952729118213,0,0,0,0,0,-0.112138985176484,0,0,0,0.205934814846759,0,0
Slope,-1.38777878078145e-17,0,0,0,0,0,0,0,0.718858200630037,0,0,0,0,0,0,0,-0.18925092121282,0,0,0,0,0,0,0,0,-0.0805072411025013,0.0698702261260314,0,0,0,-0.483696708321486,0,-0.344825829842754,0.22881016786298,0,0,0,0,0,0,0,0,0,0,0.274134129489916,0,0,0,0,0,0,0,0.236411628159102,0,0,0,7.71947582583841,0,0
TED,0,0,0,0,0.139088452879493,0,0,0.0526339709247615,0,0,0,0,0,-0.230940106653382,0,0,0,0,0,0,0,0,-0.270624124957625,0,0,0,0,0,0,0,0,0.0444171360388763,0,-0.00452681779987642,0,0,0,0,0,0,0,0,0,0,-0.22131224435107,0,0,-0.165053629530412,0,0.375276795613018,0,0.219153850176473,0,0,0,0,0,0,0
RealEstate_excess,0.173424128670917,0,0,0,0,0,0,0,0,0,0,0.0646355703867178,0,0,0,0.00882821326755284,0,0,0,0,-0.0399465681839968,0,0,0,0,0,0,0,0,-0.0156782338869281,0,0,0,-0.136241134814015,0,0.162364111550137,0,0,0,0,0,-0.0723392774798089,0.0273322781040072,0,0,0,0,0,-0.0685235595000308,0,0,4.33680868994202e-19,-0.0181629860768526,0,0,0,0,0,0
MKreturn,-0.0170963195542463,0.0202928384662568,0,0,0,-0.0717734697014852,0.0325108633661244,0,0,0,0,-0.0336716714648717,0,0,0,0,0,0,0,0,0.0136945102808825,0,-0.0616955187059928,0,0,0,0,0,0,0,0.187457527186545,-0.0326300079013372,0,0,0,0,0,0,0,0,0,0,-0.0469393569492754,0,-0.0503159001347022,0,0,0,0.0192267895657806,0.041483239714804,0,-0.00240378194550081,0,0,0,0,0.111537809874403,0,0
MKvol,0.00279796336373845,0,0,1.35525271560688e-20,0,0,-0.000451165243992209,0,0,0,0,0,0,0,-0.000604608983303364,0,0,0,0,0.000334530533467374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002178503313523,0,0,0,0,0,0,-0.000834470634589983,0,0,-0.00217929481665449,0.0041150723231682,0.000101943726944178,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018039735933285,0,0,0.0387242437157064,-0.0458549279469007,0,0,0,0,0,0
CarbonVol_Guangdong,0.0244912407130091,0,0,0,0,0,5.42101086242752e-20,-0.00835291668929388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00129637670248993,0,0,0,0,0,0,0.000161656172256539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0068810884417244,0,0,0,0,0.00767299140700768,0,-0.0217499995842816,0.0465168898069406,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0.000818325097629472,-0.00114868674672628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00131548424101533,-0.0051835405113722,0,0,0,0,0,0,0,0,-0.00103379722310786,0,0,0,0,0,0,0,-0.00169852330070075,0,0,0,-0.00229097798890704,0,0,0,0,0,0,0.00307102318769391,-0.00547889727555544,0,0,0,0,0,0
