,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000063.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X000100.SZ,X002049.SZ,X002236.SZ,X600372.SH,X000977.SZ,X600584.SH,X002241.SZ,X000157.SZ,X601877.SH,X000661.SZ,X600741.SH,X600522.SH,X002180.SZ,X000733.SZ,X002463.SZ,X002074.SZ,X000988.SZ,X600702.SH,X600460.SH,X000066.SZ,X300142.SZ,X000800.SZ,X002028.SZ,X002007.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002304.SZ,0,0.0346384507455692,0.318781825663798,0.0336061195703225,0,0.0910597523490029,0,0,0,0.0685443414958505,0,0,0,0,0,-0.0193702183121088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248818680318478,0,-0.00412515080973557,0.0991092750772768,0,0,0,0,0,0,0,0.0623702781791529,0.0191162369303198,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.133980122674147,0,0.0228233791509588,0,0.0911541957471758,0.00721921792812157,0,0,0,0,0,0.145037302130513,0,0.035495695162235,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0921499058295613,0,-0.111753154266058,0,0,0,0.127768905806143,0,0,0,-0.161588130935107,0,0,0,0,0,0,0,0,0,0.0373532166724977,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316292678374942,0.115427170751247,0,0,0,0,0,0,0,0.153764398135651,0,0.0176265428215873,0.00266320628491508,-0.0258670193554602,0,0,0,0,0,0,0,0,0,-0.0117973482424475,0,-0.00883582063330054,0,0,0.0177987705166533,0,0,0,0,0,0.0428202416770635,0.000571001720889462,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505065293648519,0,-0.14871025510211,-0.0415521802741638,0.0815469175912165,0,0,0,0.239710906026676,0,0.0549267308869804,0,0,0,0,0.168471038519044,0,0,0,0.119286869959577,0,0,0.0968296501766525,0,0,0,0,0.00625542280005231,0,0,0,0,0,0.197735175878626,0.0208098491710677,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.0250193280198925,-0.0338107917786313,0,0,0,0,0,0,0,0,0,0,0,0.0850567790410269,0,0.108322890687947,0,0,0,0.00988859664893397,0,0,0,0,0,0,0,0,0,0.0269948214853818,0,-0.0104862899704927,0,0.0462007645017706,0,0,0,0,0,0,0,0,0.233087084073684,0.0145713851287187,0,0.0560674326372086,0,0,0,0,0
X002371.SZ,0,0.14425429094827,0,0,0,0,0.124017097175583,0.408419852436467,0,0,0,-0.25134341990129,0,0,0,0,0,0,0,0,0.056060062211422,-0.340872085811876,0,0,0,0,0.161336379057921,0,-0.57599664626015,0.149048063557085,0,0,0,0,0,-0.0691598221851737,0,0,-0.118143885079064,0,0,0,0,0,0,0,0,0,0,0.462756292121331,0,0,-0.00254874846703011,0,0,0,0,0,0
X600031.SH,0,0,0.0897701729895349,0.037009753817446,0,0,0,0,0,0,0,0,0,0,0,0.0472267108854016,0,0,0.109045006869727,0,0.0495456658458978,0,0,0,0,0.054137050017597,0,0.0497961413426767,0,-0.0416328945685343,0,0,0.178453010828227,0,0,0,0,0,0,-0.00622972369776168,0,-0.00171695706091405,0,0.0301490891681935,0,0,0,0,0,0,0,0.0409655376700096,-0.0250830145023258,0,0,0,0,0,0
X000625.SZ,0,0,0.0104734302013455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004984769147647,0.062624845408714,0.182797013731753,0,0,0,0,0.0278364773562673,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180256435497231,0,0.0746777351214538,0.0645129102681353,0,0.3846520268207,0,0,0,0,0,-0.0267682455466823,0,0,0,0,0,0
X000596.SZ,0,0.32057155776961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619250002485898,0,0,0,-0.0126921042277301,0,0,0,-0.0384771650459315,0,0,0,0.0508296094576278,-0.0375000379193611,-0.106716935729438,0,0,0,0,0,0,0,0,0,0,0,0.235812365324559,0,0,0,0,0,0,0,0,0.0376884543501667,-0.0986288791886938,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,-0.0540050688821797,0.174662059730057,0,0,0,0,0,-0.00597062602053096,0,0,0,0,0,0,0,0,0,0,0,0,-0.237999999242928,0,0.0663964516194341,0,0,0,0,0,0.156654683280021,0,0,3.46944695195361e-18,0,0,0.00860297881203424,0,0,0,0,-0.120980394187436,0,0,0,0,0,0,0.040111715506428,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0755321718967572,0,0,0,0,0,0,0,0,0,0.0642784411297914,-0.000971800320334649,0,-0.0164131532573492,0,0.0401336983482959,0,0,0,0,0,0,0.0955546585573801,-0.0341287322582176,0.524855983612725,-0.0186020903033555,0,0,0,0.0841518794340258,0,0.139695526906132,-0.0609965527861376,0,0,-0.0369013545918752,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0.0258202992039033,0,0,0,0,0,0,0,0,0.0767402934819081,0,0,0.0492570391340186,0,0,0,0,0,0,0.0132005511085135,0,0.0609055638683945,1.73472347597681e-18,0,0,0,0,0.0174295959580019,0,0.142549919866591,0.0352483127291989,0,0,0,0.0625190151676618,0.103813772879976,0,0.0586173909744882,0,0,0,0,0,0,0.0422107080893954,0,0,0,0,0,0,0
X002179.SZ,0,0,0,-0.0803015190214331,0,0,0,0,0.029152789625058,0,0,-0.0448202107427755,0,0,0,0.0813576594380083,0,0,0.0853682125261807,0,0,0,0,0,0,0,0,-0.048072560382843,0.049729251340922,0,0,0,0.0260461478907135,0,0,0,-0.0426960865155876,0,0.282943058992515,0,0.0404900747288654,-0.0529074040953215,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
X600089.SH,0,0,0,0.0632183678489524,0.000584009693899806,0,0.0317214058425629,0,0.182701716090511,0,0,0,0,0,0,0,0,0.248177941399803,0,0.0266895899058963,0.0838067185695779,0.159010369769153,0,0,0,0,0.0395913433699321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00511039647633037,0,0,0,0,0,0,0,0,0,0.00720473694208941,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.285993331419217,0,-0.427150045197947,0,0,0,0,0,0,0,-0.185025432116554,0,0.511277530551329,0,-0.0613342883754167,0,0,0,-0.211348888247501,0.185057616003668,0,-0.236364823908428,0.160764059292488,0.0185659720621877,0,0,0.129190205536122,0,0,0,0,0,0,0.146507839768221,0,0,0,0,0.0520847175198556,0,0,0,0,0,0,0,0,0,0,0,0
