,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600690.SH,X000338.SZ,X000661.SZ,X600809.SH,X600741.SH,X002241.SZ,X600703.SH,X000596.SZ,X300003.SZ,X600183.SH,X601877.SH,X002007.SZ,X002236.SZ,X000100.SZ,X000157.SZ,X300142.SZ,X000066.SZ,X002179.SZ,X300124.SZ,X300136.SZ,X002008.SZ,X600271.SH,X300014.SZ,X002463.SZ,X000977.SZ,X000625.SZ,X002371.SZ,X600177.SH,X002506.SZ,X002129.SZ,X002456.SZ,X600066.SH,X600867.SH,X002049.SZ,X600498.SH,X002508.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000625.SZ,0,0,0,0,0,0,0,0,0.147415183158608,0,0,0,0,0,0,0,0.0858648744384517,0,0,0,0,0,0,0,0,0,0,0,-0.00917021753393846,0,0,0,0,0.0630599298647633,0,0.0481543307963094,0.00231425738133584,0.144464157414575,0,0,0,0,0,0.108275971101184,0,0,0,0,0,0,0,-0.00648995827436216,0,0,0,0,0.0172766329587879,0,0
X002371.SZ,0,0,0,0,0,0,-0.0677720361894808,0,0,-0.0521885767091375,0,0,-0.109247794048726,0,0,0,0,0,0,0,0.111822077747449,0.441261226727177,0.0980215702277946,0,0,0,0,0,0,0.245261676071653,-0.237011552078902,0,0,0,0,0,0,0.118418924657131,0,0,0,0.108592142331476,0,-0.0647399652317978,0,0,0.410847378312308,0,0,0,0,-0.0620671332895237,0,0,0,0,-0.00960038335753945,0,0
X600177.SH,0,0,0,0,0,0,0,-0.0120724706545962,0,0,-0.000160580317754294,0,0,0.0885568131584223,0.0806008583869032,0,0,0,-0.017019461573736,0.0245452585845964,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200674610662242,0,0,0,-0.0377266880714273,0,0,0,0,0.0215994894887675,0,0.0777463180859977,0,0,0,0,0.0362656717224767,0,0,-0.000765698773689494,-0.0404067782634577,0,0,0,-0.034106981748736,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,-0.0943613881661313,0,0,0,0,0,0,0,0,0,0,0,0.0229596035517559,0,0,0,0,0,0,0,0.125837358697721,0,0,-0.0578115267308765,0,0.115407423477732,-0.166125801606432,-0.0521026660465632,0,0,0,0,0,-0.082195780351448,-0.0183424777950379,0,0,0,0,0,0,0,-0.0382732488607459,-0.0431777057178977,0,0,0,-0.0951244030819192,0,0
X002129.SZ,0,0,0,0,0,0,0,0,-0.103883305780302,0,0,0,0,0,0,0,0,0.0919145612818801,0,0,0,0,0,0,0,-0.0873834134522689,0.115168691180252,0,0,0.0422871330446885,0,0.222998309002114,0,-0.413190411677714,0.0465229844207684,-0.166276244529349,0.156505248600399,0,0,0.146121759352294,0,0,0,0,0,0,0.0160807418687197,0.113931556273307,0,0.188321152743723,0,0,0,0,0,0,-0.124037175673403,0,0
X002456.SZ,0,0.033388723205431,0,0,0,0,-0.0326703047732886,0,0,0,0,0,0.205411808747354,0,0.0227287057829179,0,0,0,0.321484769309991,0.184492244348376,0,0,0,0,0,0,0,0,-0.045627072427826,0,0,0,0,0,0,0.244009039693017,0,0,0.131700955214766,0,0,0,0,0,0,0,0,0,0,0.235968562062371,0,0,-0.0637596886782771,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,-0.0477730567277758,0,0.0918971651936357,0,0,0,0,0.120332430028021,0,0.15262019849308,-0.0878505106910337,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.0142775597681372,0,0,0,0,0.247691857063124,0,0,0.00241239641412809,0,0,0,0,0,0,0.0383015591330445,0,0,-0.012388887314648,0,0,0,0,0.0018465845368795,0,0
X600867.SH,0,0,0,0,0,0,0,-0.0718060601522315,0,0,0,0,0,0,0,0,0,0,0.258395059372621,0.056994498796447,0,0.0578482153957957,-0.0421897631398506,0,0.180867739687648,0,0,0,0,-0.36337455870055,0,0,0,0,0,0,0,0.273984817017326,0,0,0,0,0,0,0,0,0,0,0.0516863534712753,0,0,-0.118987690542172,0,0,0,0,0.0938514491196365,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0728484158742787,0,0,0,0,0,0,0,0.0428702698533899,0,-0.0283375013837653,0,0.149420197183601,0,0.13120580487593,0,0,0,0.0833640014596663,0,0,0.0976255908264455,0,0,0,0.130483953483599,0,0,0.0857082058057599,0,0,0.11032896683788,0,0,0,0,0,0,0.303331982630438,0,0.0449880298289915,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,-0.175299226884737,0,0,0.0786392823990443,-0.154781288236246,0,0,0,0,0,0,0,0.0382557343672935,0.061301950069993,0,0.0708092692745022,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0842990039348087,0,0.0456824390044564,0,0,0.19262578659371,0,0,0,0,0,0,0,0,0.0448491950449658,0,0,0,0,0.0329482560768272,0,0
