,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X000568.SZ,X600104.SH,X002304.SZ,X000725.SZ,X000661.SZ,X600031.SH,X000063.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X600703.SH,X000338.SZ,X002007.SZ,X300142.SZ,X300124.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X600741.SH,X002049.SZ,X601877.SH,X300003.SZ,X002236.SZ,X000157.SZ,X600584.SH,X002129.SZ,X000800.SZ,X002414.SZ,X300136.SZ,X600183.SH,X000625.SZ,X002179.SZ,X000977.SZ,X000066.SZ,X002456.SZ,X600118.SH,X601799.SH,X002185.SZ,X000050.SZ,X002008.SZ,X002294.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,0,0.57616111080573,0.063941099209391,0,0,0,0,0,0.0976155099348219,0,0.0101635554620627,0,0,0,0.0459331283491819,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0930432412186539,0,0.0203944158138895,0,0,0,0,0,0,0,0,0,0,0.212263729338423,0.0158936969166074,0,0,2.16840434497101e-19,0.00481894849675017,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10207730456204,0,0.231110014458502,0,0.0948294735953703,0,0.00218036194699307,0,0,0.192150956940065,0,0.0877590318135667,0,0,0,0,0.143293330217365,0.021334530188847,0,0,0,0,0,4.33680868994202e-19,0,0.00127178558260645,0,0.0959885880444365,0,0,0,-0.00639365457629656,0,0,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0.0182856448984043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326631766908991,0,0,0.00978431616242492,0,0,0.033784541764483,0,0,0.12132306364613,0,0,0.412224561409692,0,0,0.116629281061647,0.122494122112214,0,0,0,0,-0.104533521306691,0,0,-0.068270979344346,0,0.162032642958873,0,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0.012515840790365,0,0,-0.0300371832191644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483719695987567,-0.0437556842245189,0.0426176695277374,0,0,0,0.17946208042639,0,0,0,0,0,0,0,0,0.0907459678731139,0,0,0,0,0,0,0,0,0,0,0,0,0.0248991336074585,0,0.0112440352511679,-0.0038453964355972,0,0,0,0,0,0
X002049.SZ,0,0,0,0.247008502024896,0,-0.0352078844344276,0,0,0,0,0,0,0,0,0,0,0.0576217497700453,0,0,0,0,-1.73472347597681e-18,0,0,0,0.281503536347458,0,0,0,0,0,0,0.571991449060499,0,0,0.0742330592956058,0,0,-0.0747766561275227,0,0,0.20756387354728,0,0,0,0,0,-0.110988128533565,0,0,0,-0.0613194102191754,0.00345387277579659,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0.0615414725942983,0.0649643911134352,0,0.0199807727655648,0.0613994583527188,0,0,0,0,-0.0373424823902874,0.0770964825651068,0,0,0,0,0.0474699164702257,0.0554938920395551,0,0,0,0,0,0,0,0,0,0.162710813448751,0,0,0,0,0,0,0,0.0696547123606507,0,0,0,0,0,0.0120675377708497,0.124814683744986,0,0,-0.0144956572149762,-0.0204658652350045,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0.193209747302335,0,0,0,0,0,0.0485110781162458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810618999340433,0,0,0,0,0,0,0,0,0,0,0,0,0.183669685293317,0,0,0,0.19597706993627,0,0,0,0.0109120140032937,-0.00307384634407659,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0.319728896618186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175385536372133,0,0,0,0.0113099416633301,0,0,0,0,0,0,0,0,0,0,0,0.0803272093324212,0,0.0471092669924099,0,0.070089125295917,0,0,0,0,0,0,0,0.106111196644198,0,0.0120565438927318,-0.0125998589323747,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0.021509894440646,0,0.226045947478928,0,0,0,0,0,0.00287919223123232,0,0,0,0,0.0484614418616992,0.0576751275994806,0.0120666678986502,0,0.0139799992627258,0,0,0,0,0,0,0.0160026552731277,0,0,0.127209612657941,0,0,0,0,0.0410075143038555,0.00974694271331315,0,0,0,0,0.0358246319254321,0,0,0,0.000477216097877437,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357738550396065,0,0,0,0.273837400031181,0,0,0,0,0,-1.73472347597681e-18,-0.0587874313779318,0,0.232590602209701,0,0.160689074742201,0,0.051113185926923,0,-0.0239404837857941,0,0,0,0,0,0.463802985619094,0,0,0,0,0,0.0375141147366734,0.0352343874408501,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0.0540534882689886,0,0,0,0,0,0,-0.235497174455514,0,0,0,0,0,0,0,-3.46944695195361e-18,0.53088921887543,0,0,0,0,0.0494752443954994,0,0.61695750308721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489545865135438,0,-0.0883503944874529,0.0386980843611456,0,0.00508665384924209,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0515204038469586,0,0,0,0,0.0589087046225701,0,0,0,0,0,0,0,0,0.146841166885198,0,0,0.395182198338891,0,0,0.22354132096855,0.0160294395137622,0.0307729794716649,0,0,0,0,0,0,0,-0.0179973744972381,-0.00548745383064382,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225791521731237,0,0,-0.104723246331803,0,0,0.383209775028234,0,0,0,-0.0172041212533613,0.102279924857647,-0.26922212708914,0,0,0.0162230481437438,0,0,0,0,0,0.074128041925571,0,0,0.0457918529358984,0,0,0.360469740397829,0.0895578590953101,0,-0.0094990279992436,-0.0103818437052494,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0210429425672472,0,0,0,0.483715013954133,0,0,0,-0.262666777843944,0,0,0,0,0,0,0.322344433273953,0,0,0,0,0,0,-0.0701186200870354,0.164260348668362,0,0,-0.0251830732127152,0,0,0,0,0,0,0,0,0,0,0.0327104765765558,0,-0.0314483499910783,-0.040503727558473,0,0,0,0,0,0
