,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X600104.SH,X002304.SZ,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X002371.SZ,X000063.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X000661.SZ,X002236.SZ,X600372.SH,X002049.SZ,X002241.SZ,X600741.SH,X000157.SZ,X600584.SH,X000977.SZ,X000800.SZ,X601877.SH,X600522.SH,X002007.SZ,X601799.SH,X600183.SH,X002074.SZ,X002180.SZ,X600418.SH,X002463.SZ,X300142.SZ,X002028.SZ,X002294.SZ,X000733.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002180.SZ,0,0,0,0,0,0,-1.73472347597681e-18,-0.277565849315094,0,0,0,0,0,0,0,0,0,0.0942538086278408,0.137295524355809,0,0.278257511282523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739762770206799,0,0,0,0.0470046931329149,0.0269144486547165,0,0,0,0,0,0.265450403100434,0,0,0,0,0,0.000431514340313635,0.0106357224187229,0,0,0,0,0,0
X600418.SH,0,0,0,-0.000216701804457466,-0.280643606457663,0,0,0,0.596732867577537,0,0,0,0,-0.0276501626251728,0.18217419431681,0,0,0,0,0.318194935482587,0,0,0,-0.037347706444512,0,0,0,0,0,0,0.0901146704600333,0,0,0,0,0.634262436480029,0,0,0,0,0,0,0,0,-0.00496758716139235,0,0,0,0,-0.168261681489597,0,0,-0.0402370485290321,0,0,0,-0.43506835562303,0,0
X002463.SZ,0,-0.195784196384658,0,0,0,0,0.161786632829158,0,0,0,0,0,0,0,0,0,-0.209843869361142,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.325997193921712,0,0.088921232279191,0,0,-0.183976685571252,0.100058861873734,0.342375057952807,0,0,0,0,0.0215871717582873,0.068445505996069,0,-0.0850742550670979,0,0,0,0,0,0,0.219742950203633,0,-0.00851909545193609,3.46944695195361e-18,0,0,0,0.00760961072720232,0,0
X300142.SZ,0,0,0,0,0,0,0,0,-0.042596159173544,0.110553814088944,0,0,0,0,0,0,0,0,0,0,-0.0285686873660074,0,0,0,0,0.392502640998356,0.0337613560023463,-0.113189191424255,0,0,0,0.64521716894324,0,0,0,0,0,0,0,-0.195506354176007,0,0,0.285379100199742,-0.0805412035545207,0,0,0,0.0513162429763492,0,-0.123880561550532,0,0.00589316630179547,0.00571889409187727,0,0,0,0,0,0
X002028.SZ,0.183124781503286,0,0,0,0,0,0,0,0.0842068403211721,0,0,0,0,0,0,0,0,0,0,0,0,0.118087797612133,0.126610740017353,0,0,0,0,0,0,0,-0.253523378334666,0,0,0,0,0,0,0,0,0.227647075725713,0,0.05348667314884,0,0,0,0,0,0,0,0,0.0988310231332652,0.00159181314859797,-0.0026261531467946,0,0,0,0,0,0
X002294.SZ,-0.0690656285620017,0,0,0.276039779256138,0,0,0,0,0.0197420904762184,0,0,0,0,0,0.0211960904006478,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113454115717878,0,0.00312275974653717,0,0,0,0,0.0225771550646829,0.142414905931778,-0.0143214610942419,0,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,-0.117967419102893,0,0,0,0,0,0,0,0,0,0,0,0,0.673992590942742,0,0,0,0.100184658825134,0,0.0642405434288847,0,0.0806265126010958,0,0,0,0.0684770640767798,0.0916246000752297,0,0,0.19903842394759,0,0,0.134568257732436,0,0,-0.0607379266705159,0,0,0,0,0,0,0.105843249652134,0.00732212271333718,-0.0613904901315405,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0.23100228347242,0,0,0,0,0,0,0,0,0,0,0,0.0107885393485923,0,0,0,0.0609866048794389,0,0,0,0,0,0.218721796457878,-0.0989082256732407,0,0,0.113328500682184,0,0,0,0,-0.188184660009987,0,0,0,0,0.21443862368097,0,0,0,0,0,0,0.0430582199868288,-0.0158247946309814,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.0931388043192227,0,0,0,0,0,0,-0.0236931297712703,0,0,0,0,0,0,0,0,0,0,0,0,0.0442091083231117,0,0,0,0,-0.229967566256214,0,0,0,0.0431288533098697,0,0,0,0,-0.0280029055981333,0,0.0264096961173902,-0.10834106282784,0,-8.67361737988404e-19,-0.16227610404979,0.0737413494548283,0.185088858608912,0.025971202865343,0,0,-0.0241235629864447,0,0,0,0,-0.0707209633126326,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0.0697847275354221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172921693616704,0,0,0,0,0,0,0,0,0.0780474731956455,-0.100943336358126,0,0,0,0,0,0,0,0,0,1.13549894381693,0,0,0,-1.81140135328379,0,0
TED,0,0,0,-0.117888422588513,0,0,0,0,0,0,0,0,0,0,0,-0.318761618673387,0,-0.138334049684915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927067435216201,0,-0.0568383490896977,0,0,0,0,0,0,0,0,0,-0.0203921018624137,0,6.93889390390723e-18,0,0,0,0,-0.0692888956700962,0.535116926580886,0,0,0,0,0.345111685740023,0,0
RealEstate_excess,0.0535195681695566,0,0,0,0,0,0.0212290967355634,-0.227392856036878,0,0,0,0,0,0,0,0,0,-0.0406439146015439,0,0,0,0.0135527445387051,0,0,0,0,0,0,0,0,0,0,-0.289293986072332,0,0,-0.0241924668391915,0,0.0885486755578183,0,0,0,0,0.0748562941506996,0,0,0,0,0,0,0,0,-0.0301912370168928,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429601290113938,0.0720702635133899,0,-0.0345788289686587,0,0,0,0.0508294964455132,0,0,0.0279357868229762,0,0,-0.0220307085991248,0,0,0,0,0,0,0,0.181044885017576,0,0,-0.0455589544465371,-0.0276662866696042,0,-0.0366374125133161,0,0,0,0,0.000196454046096135,-0.0949140754757042,-0.00065768527740867,0,0,0,0,0,0,0
MKvol,0.00304123707950891,0,0,0,0,0,-0.000611593051079317,0,0,0,0,0,0,0,0,0,0,-0.000201003586984173,0,0,0,0,0,0,0.00087731316297541,0,0,0,0,-0.000852857826211604,0,0,0.00159321847128554,0,0,0,0,0,0,-0.00217997219905472,0,0,0,0.000599269290420292,0,0,0,0,0,0,0,0.000813205986512035,-0.00181622272410675,0,0,0,-0.0105567121049299,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0063822268403701,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,-0.00377412125008572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232837479961955,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.00712792510885832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00355624161757076,0.000312178787743519,0.00263422224960842,0,0,0,0.0222049492143703,0,0
