,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X600703.SH,X000568.SZ,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X002236.SZ,X002008.SZ,X002456.SZ,X002007.SZ,X000100.SZ,X600487.SH,X600566.SH,X600498.SH,X000625.SZ,X000661.SZ,X002179.SZ,X600867.SH,X300146.SZ,X600809.SH,X000596.SZ,X600177.SH,X002180.SZ,X002294.SZ,X000157.SZ,X002506.SZ,X300142.SZ,X600089.SH,X300136.SZ,X600066.SH,X600372.SH,X002241.SZ,X000977.SZ,X600522.SH,X000981.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0,0,0.563654729157603,0,0,0,0,0,0,0,0,0,0,0.113656934766796,0,0,0.288846315639193,0,0,0.0265510946502342,0,0,0,0,0,0,0,0,0,0,0.0318046320676728,0,0,0,0,0,0,0,0,0.133825417331174,0,0,0,0,-0.172886120788574,0,0.168825668478009,0,0.70602673436011,0,0,0.0497132059876708,0,0,0,0,0.100987887584405,0,0
X002008.SZ,0,0,0.378983318167292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104417572834009,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.00454495351393742,-1.38777878078145e-17,0.00328528651766188,0,0.321079287372448,0,0,0,0,0,0,0,-0.0754697964675604,0,0,0,0,0,0,0.0329073994204775,0.0173600254006112,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0485336643438985,0,0.337150972397757,0,0,0,0,-0.152890852521326,0.103417070832523,0,0,0,0,0,0,0,0.0515353778502953,0.260146989625625,0,0,0.0258999913016092,0,0.0996463672930063,0,0,0,0,0,0,0,0,0,0,0.309294022380593,0,0,0,-0.0448063018865508,0,0,0.219640847356729,0,-0.0461136480486932,0.0246367468900642,0,0.1240607342875,0,0,0,0
X002007.SZ,0,0,0,0.33543448447589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115393530407612,-0.047599946221722,-0.0406904159210847,0,0,0,0.236764790544367,0.0109592328503689,0,0,0,0,0,0,0,0.469439526563552,0,-0.069390986830478,0,0,0,0,0,0,0,0,0,-0.0472532032178569,-0.219298913024493,0,0.159661929556879,0,0,-0.0166198037592667,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0.0350789425203866,0,0,0.192387083907458,0,0,0.0972216327663515,0,0,0,0,0,0,0,0,0.0173911461234194,0.0212686385315206,0,0.0561972781383034,0,0,0,0,0,0,9.67726858444591e-06,0,0,0,0,0,0,0,0,0,0,0.0955313526836162,0,0,0,0.0223555022032092,0,0,0.0755574732223837,0,0.13110852006706,0,0,-0.0434002299264752,0,0,0,0,0,0
X600487.SH,0.135710258710445,-0.0308482124847446,0.0408046928987089,0,0,0,0,0.307343126068505,0,0.245768303245404,0,0,0,0,0,0,-0.109389692528875,0,0.0473063863638321,0,0,0,0,0.315257993185312,0,0,0,0.28228223973942,0,0,0.123717139195352,0,0,0,0,0,-0.108651615139421,0,0,0,0,0,0,0.134078864658162,0,0,-0.0815291757201998,0,0,0,0,0,0,0,0,0,-0.332942519947211,0,0
X600566.SH,0,0,0,0.111840277475255,0,0,0,0,0,0.036623191006781,0,0.159872142286149,0,0,0.0117728674787563,0,0.246205468839733,0,0,0,0,0,0.0340729539275561,0.0576470815802701,0,0,0,0,0,0,0,0.270656130637746,0,0,0.0716533393169823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247499868003662,0,0,0,0,0,0,0
X600498.SH,0,0,0.122642148523767,0,0,0,0,0,0,0.455975605994273,0,0,0.150254987704949,0,0,0,0,0,0,0.121820769835815,0.122296222175041,0,0,0,0,0.0428978537007178,0,0,0,-0.0570679457902122,0,-0.00304656713389511,0,0,-0.150476549527801,0,0,0,0,0,0,0,0.0448149302950191,0,0,0,0,0,0,0.0965887672960037,0.482471077496917,0.0807001882194311,0,0,0,0,0,0,0
X000625.SZ,-0.0316890210784999,0,0,0,0,0,0,0,0.115938800397108,0,0,0.0156513436688855,0,0,0,0.0818500042410002,0,0.0410998640338783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314425938803478,0,0,0,0,0,0,0,0.113885900167302,0,0,0,0,0.063334415545852,0.283639687596897,0,0,0,0,0,-0.0772867374083469,0,0,0,0,0,0
X000661.SZ,0,0,-0.359035981517118,0,-0.330011158820617,0,0,0,0,0,0,0,0,0,-0.22189992718684,0,0.537068422907367,0,0,0.238658337356091,0,0.120709853150207,0.380351554115301,0.333035126742055,0,0,0,0,0,0,-0.00529163917799344,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419694529415789,-0.0189933922272516,0,0.603130443925018,0,0,-0.39561667877463,0
