,X600519.SH,X000858.SZ,X002415.SZ,X600690.SH,X600809.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X600031.SH,X000625.SZ,X000063.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600089.SH,X000157.SZ,X600703.SH,X002463.SZ,X600372.SH,X002241.SZ,X002028.SZ,X600066.SH,X000921.SZ,X002236.SZ,X000977.SZ,X600584.SH,X600741.SH,X002049.SZ,X600522.SH,X600183.SH,X601877.SH,X000661.SZ,X002223.SZ,X002129.SZ,X000800.SZ,X002180.SZ,X600060.SH,X002156.SZ,X600177.SH,X600487.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300014.SZ,0,0,0,0,0,0.00959601376147271,0.0349749592557181,0,0.0504010820715127,0,0,0,0,0,0,0,0,0,0,0.14140450906985,0,0,0.140983629753488,0.0694603973526178,0.0873111048975014,0,-0.0362157534100185,0,0.18239906834157,0,0,0,0,0,0,0,0.127309777377915,0,0,0,0,0,0.39359721714673,0,0,0,0,0,-0.153435334449323,0,0,0,-0.0247758910314123,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.166908637292931,0,0.146986278704964,0,0,0,0,0.531513575363968,0,0,0,0.00665316414750163,0,0,0,0.0546545618556248,0,0,0,0,0,0,0,0,0,0,0,0,0.101658401962273,0,0,0,0,-0.00926231439771228,0,0,0,0,0,0,0,0.0562107399064819,0,0.0635227677284344,0,-0.3791414972239,-4.33680868994202e-19,0.0974296769343022,0,0,0,-0.176598120697404,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0.0384235095130783,0,0.0479995952403126,0,0,0,0.100528347418884,-4.33680868994202e-19,0.0306976041183112,0,0,0,0,0,0,0,0,0.108180813112693,0.217318726933521,0,0,0,0,0,-0.0719304737702671,0.0692961325207841,0.0633702769969001,0,0,0,0,0,0.0970735405262874,0,0,0,0,0,0,0,0,0,-0.0276552402008747,0,0,0,-0.0555528280673101,0,0
X600089.SH,0,0,0,0,0,0,0.101613809872786,0.566798684034251,0,0,0,0,0,0.0571691618094647,0.0546716295124123,0,0.0355297011160581,0.0958339053033848,0,0,0,0,0,0,0.103032757975371,0,0,0,0,0,0,0,0,0.074189028137686,0,0,-0.0219145409866453,0,0,0,0,-0.136597391474596,0,0,0,0,0,0,0.0197045768203556,0,0,0,-0.0289185762655695,0,0,0,0,0,0
X000157.SZ,0,0,-0.00409251235369445,0,0,0,-0.0491860740515397,0,0,0,0,0,0,0,0.278493215975217,0,0.199912654843978,0,0,-0.0258616559110535,0,0,0,0,0,-0.0135492367748856,0,0,0,0,0.0239466658843088,0.264204233240306,0,0,0,0,0,0,0,0,0.102638282257644,0,0,0,0,0,0,0,0,0.0597509664561774,0,-0.0459075193144828,0.00370101944658675,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279295315057476,0,0,0,0.0668669185276041,0,0,0.0270952991028804,0,3.46944695195361e-18,0,0,0,0,0,3.46944695195361e-18,-0.00780240830884368,0,0,0,0,0,0,0.19868915546747,0,0,0.115870008219906,0,0,0.0276164007185717,0,0,0,0.0819997206718443,0,0.209372692691371,0,0,0,-0.00746837084354774,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,-0.322516813050446,0,0,0,0,0,0,0,0,0,-0.102619655922367,0,0.0555941649466241,0,0.0407136677565717,0,-0.0373233719548827,0,0,0,0,0,0.103430615080169,0.304104902685949,0,0,0,0.203719601957765,0,0,0,0,0.139698786828322,0,0,0,0,0,0,0,0.202285937857248,0,0,0,0,-0.0486410588940381,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0.0986972318780213,0,-0.0204640226623961,0,0,0,0,0,0,0,0,0,0.019512205837657,0,0,0,0,0,0,0,0.00372506361127474,0,0,0,0,0,0,0,0,0,0.398475981950199,0.0264983659166244,0,0,0,0,0.0441753542820497,0,0.137976779715895,0,0,0,0,0,0,0.00895882849272161,-0.0212096339928172,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0.326732455424536,0,0,0,0.00387238418493749,0,0,0,0.0338176170830184,0,3.46944695195361e-18,0,0.129716607506327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356012230054261,0,0,0,0,0,0,0,0.0620097061589864,0.0412095019212538,0.00887138446796249,0,0,0,0.162367011271206,0,0,0.11283184166167,-0.0415610454628831,0,0,0,0.0719982595365056,0,0
X002028.SZ,0,0,0,0.0798623830990626,0,0.0314335679933984,0,0,0,0,0,0,0,0.0209707806775922,0,0,0,0,0,0,0,0,0,0.0116473624517382,0,-0.147923719852358,0.13339653088165,0,0,0,0,0.0648978065041342,0,0.0790818324566916,0,-4.33680868994202e-19,0,0,0,8.67361737988404e-19,-0.197465398861241,0,0,0,0,0.0295131679126883,0,0,0,0.193796681585004,0,0,-4.33680868994202e-19,0,0,0,0.0991367995688858,0,0
X600066.SH,0,0,0,0,0,0,-0.0287348934584916,0,-0.102100832264269,0.0294115681621268,0.0313308936245387,0,0,0,0.64531229333787,0,0,0,0,0,0,-0.102734265244572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456138033353042,0,0,0,0,0.124286653767291,-0.176469844666786,0.556947981116402,0.0610732504370333,0,-0.147505927868743,0,0,0.16528864852213,0,0,0.0117784220082924,0,0,0,0,0,0
X000921.SZ,0,0,0,0,-0.106720001674712,0,0,0.389155387843754,0,0,0,0,0,0,0.0449300472305701,0,0,-0.00820154795514724,0,0,0,0,0,0,0.138040572617151,0,0,0,0,0,0.35008773955972,0,0,0,0,0,-0.0305994768028543,0,0,0,0,0.0755145343129777,0,0,0,0.238564444337451,0,0,0.0572136466743737,0,-0.138462605250344,0,0,0,0,0,0.097420851235809,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,-0.021348783083493,0,-0.0198814170351934,0,0,0,0,0,0.0459905253204803,0.614932237061592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10863189787455,0,0,0,0.162072938957243,0,0,0,0.116950145258054,0,0,0,0,0,0,-0.0878546747093385,0,0,-0.0870272312438414,0,0,0,0,0,0
