,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X600372.SH,X000338.SZ,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X000100.SZ,X600703.SH,X600118.SH,X000623.SZ,X601877.SH,X000559.SZ,X000581.SZ,X000568.SZ,X002236.SZ,X000550.SZ,X600066.SH,X600271.SH,X600177.SH,X000800.SZ,X000050.SZ,X300124.SZ,X002475.SZ,X002294.SZ,X600839.SH,X000869.SZ,X002465.SZ,X002129.SZ,X002456.SZ,X300003.SZ,X000400.SZ,X002007.SZ,X002292.SZ,X600252.SH,X600435.SH,X002038.SZ,X000977.SZ,X600166.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000581.SZ,0,0.0298078543517772,0,0,0.0566085779450742,0,0,0,0,0.0376578987608062,0,0,0,0,0,0,0,0.0316917778809824,0,0.0103653617120808,0,-0.0823856507569344,0,0.0324430925210276,0,0,0,0,0,0,0,0,0,0,0,0.197058953755946,-0.0873832360110168,0,0,0,0,0,0.228561494368237,0,0.0796760502448619,0.251062929965531,0,0,0,0,0,-0.00967707955728317,-0.0196259322673224,0,0,0,-0.0308820387815536,0,0
X000568.SZ,0,0,0.0099706639820696,0.0683469757478391,0,0,0.335365207081014,0,-0.0190543155090228,0,0,0,0.00409875875298334,0,0.0397877774951337,0,0,0,0,0,0.128238315064686,0,0,0,0,0,0,0,0,0.1983384752285,0.0615349224602475,-0.0272427158498454,0,0.0396275362482252,0,0,0,0,0,0,0,-0.0897554035918295,0,0,0,0,0,0,0.0567813706464674,0,0,0,0,0,0,0,0,0,0
X002236.SZ,0,0,-0.0545102879434388,0,0.0965865985242679,0,0,0,0,0,0,0,0,0,0,0,0,0.1945625108585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674710146724585,0,0,0,0,0,0.078549416027043,0.256424895731749,0,0,0,0.170139739980473,0,0,0,0,0,0,-0.00617978819095615,-0.020974144748002,0,0,0,0,0,0
X000550.SZ,0.108742900686881,0,0,0,0,0.0760748399285197,0,0,0.0671083037120462,0,0,0,0,0,0,0,0,0,0,0.0766133109355153,0,-0.0417485934122798,0,0,0.228222658895346,0,0,0,0,0,0,0,0.152701520150029,0,0,0,0,0,-1.73472347597681e-18,0,0,0.00232189561231248,0,0,0.231349456310809,0,0,0,0,0,0,-0.0144761453130667,-0.0154246650181545,0,0,0,0,0,0
X600066.SH,0.377528344174392,0,0.0165005156591205,0,0,0,0,-0.0199133714122115,0,0.0518580857289649,0,0,-3.46944695195361e-18,0,0,0,0,0,0.133511268709481,0,0.103322010754605,0.00456472745884914,0,0,0,0,0,0,0,0,0,0,0.0573986592277388,0,0,0,0,0,0.0129483299943792,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00683944149445937,0,0,0,0,0,0
X600271.SH,0,0,0.160900189331148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153962478963481,0.151699732823186,0,0,0.0418118176237018,0,0,0,0,0,0,0,0.115796935669062,0.0747103199979452,0,0,0,0,0,0,0.110282071448107,0,0,0,0,0.166841728942818,0,0.0555086806918316,0,0,-0.0602963806075934,0.0257218154702,0,0,0,0,0,0
X600177.SH,0,0,0.0401707324939909,0.083465212314744,0,0,0,0,0.165241585113647,0,0,0,0,0,0,0,0,0,-0.0417596555151333,0,0.0623650857552477,0.360447065276719,0.0723182882440683,0,0,0.0644196223928026,0,0,0,0,0,0,0,-0.00957180910302589,0,0,-0.0289148611320421,0,0.149421908767775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243852459508198,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0450212297444712,0,0,0.159525847698254,0,0,0,0,0,0.0902980082892568,0,0,0.0732460147249147,0,0,0,0,0,-0.0542379371122594,0,0.152270965358355,0.00236968699816062,0,0.0245080580096572,0,0.0936525710679483,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0192272797842544,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0.0257245830723164,0,0,0,0.0462502175472636,0,0,0.0410169145142786,0,0,0,0,0.059310086692877,0,0,0.115570845196255,0,0,0,0,0,0,0,0,0,0,0.246259482411954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126304113494121,0.069804420654333,0,0,0,0,0
X300124.SZ,0,-0.0963429788417209,0,0,0,-0.309615963915551,0,0,0,0,0,0,0.171445011297874,0,0,0,0,0,0.0782664604442377,0,0,0,0,0,0,0,0.480433017679489,0.0695318199690699,0,0,0,0,0.160749283331437,0,0,-0.287469677103405,0,0,0,0,0,0,0,0.0345105542426498,0.22587062942611,0,0,0,0,0.165610460288252,0,-0.0378674283194784,0.0702614550526681,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0236507927359037,0,0,0,0,0,0,0,0,0,0,0,0,0.0702280192712861,0,0,0,0.016079973631164,0.0229828761104275,0,0.11460584024479,0,0,0.0534713655000977,0,0,0,0,0,0,0,0,0.0440220307046077,0.0772471927901151,0,0,0,0,0.00657903096335961,0,0.0186059926561201,0,0.190878080462924,0,0,0.14822464167764,0,0,-0.00293700580225842,0.0381467107757253,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,-0.048997514381443,0,0,0,0,0.0885740286603764,0.0346782926083008,0.0986432651620225,0,0,0,0,0,0,0.253718997300225,0,0,0.0644181821068829,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0513752075576003,0,0,0.0746879896217118,0,0,0,0,0.154390003347279,0,0,0,0,0,0,0.0156471375836863,-0.041351144973139,0,0,0,0,0,0
X600839.SH,0.249381320399507,0,0.0992111780082984,0.0243373481090792,0,0,0,0,0.0203883156927642,0,0,0,0,0,0,0,0.129621054989838,0,0,0,0,0,0,0,0,0,0,0,0,0.0748774339878097,0,0,0,0,0,0,0,0.202851977384904,0,0,0,0,0,0.0970495855952137,0,0,0,0,0,0.000664906335779168,0,0.0308205639882635,-0.122093477360757,0,0,0,0,0,0
X000869.SZ,0,0,0.0781105429079016,0,0,0,0,0.219495766097564,0,0,0.00829265622160853,0,0,0,0,0,0,0,0,0.180654001792461,0,0,0,0.119556378197828,-0.181411424361299,0,0,0,0,0.173002847898482,0,0,0,0.147069066682518,0,0,0.110682688642887,0,0,0,0.0398089484632641,0,0,0,0,0,0,0,0,0,0,0.0504019022712463,-0.0732195669111661,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0.0713296554662938,0,0.0306024876293241,0,0,0,0.065134469421042,0,0,0,0,0,0,0,0,0.252134947838555,0,0,0,0,0,0,-0.134977815331845,0,0.0891505395954907,0,0,0,0.115167992459412,0,0,0,0,0,0.16745019539047,0,0.0424769869529483,0,0.159814631986458,0,0,0.112441549050962,0,0,0.179825378472085,-0.0909324455865462,-0.00751499875853058,0.0466875729529609,0,0,0,0.0470371003371259,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0769139096093102,0.022864078891509,0,0,0,0,0,0,0,0.0542485482841917,0,0,0,0,0,0,0,0,0,0,0.0379315409049519,0.0202562845360736,0.264680574773681,0,0,0,0,0.0649442003145252,0,0,0.0577869491629758,0,0.0758097121291281,0,0,0,0,0,0,0,-0.0883380927332495,0,0.0878877755696855,0,0,0.153729995711512,0,0
X002456.SZ,0,0,0,0,0,0,0,0.0197523523872872,0,0,0,0,0,0,0,0,0,0.0678191061384259,0,0,0,0,0,0,0,0,0.267894421298135,0,0,0.036396285588129,0,-0.024846513491992,0.141836036266328,0,0.0100531917290563,0,0,0,0,0,0,0,0,0.00954636933574807,0,0,0,0,0.174260287497901,0,0,-0.0237800508439192,0.0147487601080134,0,0,0,0,0,0
X300003.SZ,0,-0.290396881637172,0,0,0,0,0,0,0.0962693284753535,0,0,0,0,0,0,0.0799516518909687,0,0,0,0,0,0,0,0,0,0,0.00126891204793711,0,0,0,0,0,0,0.102085390340526,0.102437041729606,0.389095771577848,0,0,0,0,0,0,0,0,0,0,0.129484404357413,0,0,0.0780994567521287,0,-0.00152331628007878,-0.0217644346514696,0,0,0,0,0,0
X000400.SZ,0,0.0577332295535999,0,0.0101657647707015,0,0.0688630227795658,0,0,0,0,0,0.114174832456374,0.0383452481638375,0,0,0.00134284173255284,0,0,0,0.0114720043493836,0.0141449768588148,0,0,0,0,0,0.0296205599008179,0,0,0.0521446215952429,0,0,0,0.0726464292995615,0,0.0754067128654396,0,0,0,0.0295182410455149,0,0,0,-0.0609660346832509,0,0,0,0,0,0,0,0,-0.010961843623826,0,0,0,0,0,0
