,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X002475.SZ,X000568.SZ,X600276.SH,X600690.SH,X002304.SZ,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300014.SZ,X300124.SZ,X003816.SZ,X002241.SZ,X000063.SZ,X000338.SZ,X002129.SZ,X002371.SZ,X600703.SH,X002049.SZ,X000596.SZ,X601877.SH,X000625.SZ,X002179.SZ,X600741.SH,X000100.SZ,X300142.SZ,X600089.SH,X600460.SH,X002180.SZ,X002074.SZ,X000661.SZ,X000157.SZ,X600702.SH,X002236.SZ,X600522.SH,X600884.SH,X000733.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X002007.SZ,X600779.SH,X601799.SH,X600183.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.638745002157827,0.0309750032807181,0,0,0,0,0,0,0.0641501024215674,0,0,0,0,0,0,0,0,0,0,0.158458999621569,0,0,0,0,0,0,0,0.107274368130308,0,0.046443444893829,0.271220203779656,0,0,0,0,0,0,0,0,0,-0.0387852425553366,-0.0987322767911274,0,0,0.00319711223150978,0,0
X003816.SZ,0,0,0,0,0.00301366556442187,0.0947881572011865,0,0,0,0,-0.0467546398387154,0,0,-0.0275250662223097,0.0758776860133069,0,0,6.93889390390723e-18,0.16845830386523,0,0,0.141560009070549,0,0,0,0,0,0,0,0,0.197601595170741,0,0,0,-0.0269109553330556,0,0.0512681225100683,-0.0617688905975754,-0.0096392454956282,-0.0428074615337974,0,0,0,0,0,0,0,0,0,0,0,0.0144366175690832,0.0048066387497462,0,0,0,0,0,0
X002241.SZ,0,0,0,-0.174096435268607,0.35683541129105,0,0,0,0,0,0,0,0.163161114346887,0.313399257329192,0,0,0,0.368432994322908,0,0,0,0,0,0,0,0,0,0.0491131611512937,0,0,1.38777878078145e-17,0.223972058383691,0,0,0,0,0,0,0.129843998650501,0,0,0,0,0,0,0,0,0,0,0.339456396861615,0,0,0.0410686505944699,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736670850432156,0,0,0,0,0,0.0091146490378917,0,0,0,0,0,0,0,0.234811213934464,0,0,0,0,0,0.164785417053173,0,0,0,0.012432594275153,0,0,0,0.0492616536696636,0,0,0,-0.119069485018079,0,0,0.00289223972481721,0,0,-0.00451129259650464,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180327201316783,0,0,-0.0217988021526974,0,0.171198047219573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127794337244046,0,0,-0.000327854469095125,0,0,0.0155037160033684,0,0,0,0,0,0,0,0,0,0.018911998433724,-0.0109499999572076,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830885309465837,0.0845652570495675,0,0,0,-0.0572771067396818,0,0.148267088679181,0.0907387288157948,0.0360209638898611,0,0,0,0,0,0,0.0107449331901508,0,0,0,0.31671750639346,0,-0.249880704301165,-0.232565648604915,0,0,0,0,0,0.0845176856797634,0,0,-0.227440378681298,0,0,0,0,0,0.0671256661517785,-4.33680868994202e-19,0,0,0,0,0,0
X002371.SZ,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0840895786103432,0,0,0,0,0,0,0,0,0.181034552399442,0,0.041145421924741,-0.233490622020648,0,0,0,0,0.175312848788138,0.380224466378793,0,0,0,0,0,0,-0.0388233759566337,0,0,0,0,0.429907066652997,0,0,0,0,0,0,0.129666329268291,-0.0971694004298754,0,0,0,0,-0.147284994877515,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0863418797700849,0,0,0,0.28790777828258,0,0,0,0,0,0,0,0,0,0,0,0,0.166671229613185,0,0,0.251876073017183,0,0,0,-0.24091936576809,0,0,0,0.00732915120720126,0,0.0683927056525594,0,0.322225284308011,0,0,0,0,0,0,0.00309593943803864,-0.014072935001229,0,0,0,0,0,0
X002049.SZ,0,0,0,0.197331106053029,0,0,0,0,0,-0.102327088276894,0,0,0,0,0,-0.202042027324355,0,0,0,0,0.143915534158913,0,0,0.0829694005507832,-0.0962075627684767,0,0,0,0,0,0,0,0,0.178854322344637,-0.095555490178349,0,0,0,0.0268285526155476,0,0.181287678723361,0,0,0,0,0,0,0,0,-0.00111757736256822,0,-0.0353497444546233,0,0,0,0,0,0,0
X000596.SZ,0,0.189402953595422,0,0,0,0.350238342421317,0,0,0.16993376632397,0,0,0,0,0,0,0,0,0,-0.0505137788074817,0.211804102564992,0.101049505754208,0,0,0,0,0,0,0,0,0.00895625356750696,0,0,0,0,0,0,0,0,0,0,0,0.0556119696160203,0,0,0,0,0,0,0,0,0,0.0471028520764651,0,0,0,0,0.0581551955128922,0,0
X601877.SH,0,0,0,0,0,0,-0.0414460864616434,0,0,0,0.0442207482588246,0,0,0,0,0,0.0843411829614506,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228213305557264,0.170743988548957,0,0.18157794248336,0.0614573824130084,0,0,0,0,0.0682013786660519,0,0,0,0,0,0,-0.170760002034202,0,0,0,0.0335583934180251,0.404023828062079,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980316531612608,0.180818271123649,0,0,0,0,0,0,0,0,-0.0968286455193159,0.295671559977649,0,0,0,0,-0.14120909301994,0.132821287839128,0.245519234811604,0.0646811715209385,0.115461378921784,0,0,0,0,0,0,0.145564081114745,0,0,0,0,0,0,0,0,0,0,0,0.00519185826131859,0,0,0,0,0,0
X002179.SZ,0,-0.054141621183658,0,-0.12581057012043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.357085197196107,0.119413932415596,0,0.0226970305584394,0,0,0,0,0,0,0,0,0.0162083277664821,0,0.101697769731412,0,0,0.154537817713675,0,0.157962946104918,0,0.167722402316208,0,0.115288920301491,0,0,0,0,0,0,-0.120737310670729,0,0,-0.012849877781309,0,0,0,0,0,0
