,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600690.SH,X000568.SZ,X600276.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000725.SZ,X002371.SZ,X002304.SZ,X000338.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X002179.SZ,X300014.SZ,X600089.SH,X000157.SZ,X600703.SH,X002463.SZ,X600372.SH,X000977.SZ,X002236.SZ,X002241.SZ,X600066.SH,X000921.SZ,X002028.SZ,X600741.SH,X600522.SH,X600183.SH,X002049.SZ,X000661.SZ,X601877.SH,X600584.SH,X002129.SZ,X002180.SZ,X000800.SZ,X002085.SZ,X002223.SZ,X002074.SZ,X600487.SH,X600177.SH,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600177.SH,0,0,0,0.052205010212523,0,0,0,0,0,0.132418160494873,0,0,0,-0.015146069896107,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851106429466855,0,-0.0228983264986948,0,0,0.180145451868949,0,0,0,0,0,0,0,0,0,0.0292129532147599,0,0,0,0,0.0408207507208622,0,0,0,0.0124635280359614,-0.0132878745531566,-0.0407930476885147,-0.147385334421575,0,0,0,0,0
X601799.SH,0,0,0,0,0,-0.0734605147018979,0.0786705371312686,0,0.139354849410886,0,0,0,0,0,0,0,0,0.15288778166105,0,0,0,0,-0.148277013029303,0,0,0,0,0,0,-4.33680868994202e-19,0.170363765955879,0,0,0.00708630931613641,0,0.154836319556796,0,0.0454363366508853,0,0,0,0,-0.065819868520219,0,0,0,0,0,0,0,0,0.0705025563709045,0.0179285236995009,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,-0.0735621873029139,0,0,0,0,0,0,0,0,-0.0098000688773484,0,0,0,0.0930231486752432,0,0,0,0,0,0,-0.0646135479438104,0,-0.211048062569316,-0.0542007334733689,-0.0578569788334092,0,0,0,0,0.131290922950716,-0.156055065142618,0,-0.0629013429095498,0,0.13492577224686,0,0,0,0,0,0,-0.154781224145435,0,-0.134331842855697,0.0314666359775838,0.0312114080157979,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,-0.502161526340177,0,0,0,0,0,0,0,0,-0.26650599432451,0,0,-0.190753054704861,0,0,0,0,0,0,-0.0511044008626793,0,-0.182037569125433,0,0,0,0,0,0,-0.0345648299667842,0,0.567265279064993,0,0,0,0.274642205316765,0,0,0,-0.0990710599652417,0,0,0.685839758155256,-0.127340868409725,0,0.11529266834926,0.024491106396147,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115216749073533,0,0,0,0.0189428253141268,0,0,0,-0.279716408828695,0,0,0,0,0.481632087038805,0,0,0,-0.404279043795791,0,0,0,0,-0.582661870198456,0,0,0,0,0,0,0,0,0.427958835204935,0,-0.106702374602849,0,0,0,0,1.19524808676624,0,-0.363496396909672,0,0,1.76789828429692,0,0
RealEstate_excess,0,0,0.042200333712509,0,-0.107552353541064,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0689531916900105,0,0,0,0,0,0,0.137666934931362,0,-0.0305975828811853,0,0,0,0,-0.0182212646018276,0,0,0,-0.174492851143788,0,0,0,0,0,0,0.0336168933855914,0,0,0,0,0.156873576682959,0,-0.0765123930396515,-0.0340543628079974,0,0,0,0,0,0
MKreturn,0,0,0,0,0,-0.0016033791365528,-0.0445959344437122,0,0,0,0,0,0,0,0,0,-0.0939943168114043,-0.0605830191316434,0,-0.142650888921452,0,0.000144027415683738,-0.0210570716084065,0.0474786608927288,0,0,-0.0115432105608889,0,0,0,0,0.0158619074672912,0,0,0,0,0,0,0.0728459223511206,0,0,0,0,0,0,0,0,0.0301524050979281,0,0,0,0.0451238400054118,0,0,0,0,0,0,0
MKvol,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00065991510846118,-0.00112917484725801,0,0,0.00193085024594505,0,0,0,0,0,0,0,0,-0.00282751750662003,0,0,-0.00155575082189012,0,0,-0.00211675087045317,0,2.71050543121376e-20,0,-0.00283646343526339,0.00242077399005051,0,-0.0197827169705509,0,0.0202718813311861,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0.0232669983201504,0,0,0,0,0,0,0,0,-0.112135842015123,0,0,0,0,0.0361029446898494,0,0,0,0,0,0,0,0,0,0.0506099362111298,0,0.00228228823702789,0,0,0,0,0,0,-0.0834034680884113,0,-0.0303749517440247,-0.061264600749753,0.0196600505642828,-0.00243748688546377,0,0,0,0,0,0,-0.122833167962383,0.171707562541181,-0.206909074539481,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,-0.0050395192725548,0,0,0,0,0,0,0,0,0,0,0,0,0.00123268820785284,0,0,0,0.00682452568130399,0,0,0,0,0,0,-0.00406184392026143,0,0.00249581320790638,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.00524130546320652,0,0.00173569635748197,0,0,0,0,0,0,0.0105622952291834,0,0.00522982161956429,0,0,0,0,0
