,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X600066.SH,X600741.SH,X002292.SZ,X600031.SH,X002236.SZ,X002475.SZ,X600118.SH,X002506.SZ,X002049.SZ,X000559.SZ,X002241.SZ,X000157.SZ,X600372.SH,X000338.SZ,X000568.SZ,X300003.SZ,X600089.SH,X002085.SZ,X600177.SH,X002294.SZ,X002074.SZ,X600867.SH,X600582.SH,X300124.SZ,X002465.SZ,X002180.SZ,X600498.SH,X601877.SH,X002007.SZ,X000869.SZ,X002456.SZ,X000550.SZ,X300001.SZ,X002426.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,-0.0447042261570908,0,0,0,0,0,0,0,0,0,0.0502520265416284,0,0,0,-0.112277583629405,0.349055150719781,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.120617475106757,0.427457865792826,0,0,0,-0.142255347264991,0,0,-0.311244185217346,0,0.0256801510799303,-0.00910953242356002,0,-0.419211035292191,0,0,0,-0.113139977531214,0.218207568842531,0,0,-0.0820298026691145,-0.0984512876138924,0,-0.0374162972885919,0,0,-0.209983237323415,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571953107748984,0,0,0.0655128196296875,0,0,0,0,0,0,0,0.0966533661636639,0,0,0,0,0.105949829850655,0,0,0.0840379183394776,0.0436694380317471,0.0406351011753573,0,0,0.134002982981397,0,0.13326631263777,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0.0530057640368059,0,0,0,0,0,0.212010874053994,0,0,0,0,0,0,0,0,0,0,0,0.0926292057227044,0,0.0639236026925247,0,0,0,0,0,0,0,0,0.0219524729210338,0,0,0,0.00796150141892094,0,0,0,0.00266322873726269,0.0558644838691825,0,0,0.183874900144519,0,0,0,0,0.0347864365288851,-0.0298695197588975,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0.0165406279399676,0.166844110265771,0,0,0,0,0,0,0,0.0829218120570125,0,0,0,0,0.200553344507024,0,0,0,0,0,0.100408417506917,0,0,0.0205482660271981,0,0,0,0,0.0672720582315155,0.0440648650147985,-0.0382099501619365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0.361743561394102,0.13110905362129,0,0.0331032282048742,0,0,0,0,0,0,0,0.0191640364030126,0,0,0,0,0,0,0.0213862705817065,0.0410241758013749,0,0,0.0105014633365845,0,0,0,0,0,0,0,0.134012396810533,0,0,0,0,0,0,0,0,0.0589537210810506,0,0,0.0602498763931919,0,0,0,0,0,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862208666388759,0,0.0520293414391816,0,-0.0259304319666743,0,0,0,0,0,-0.364120547950427,0,0,0.217716131247054,0,0,0,0,0.0794658000107468,0,0,0,0,0.0930757194727577,0,0.611305491672704,0,0,-0.0162003103066806,-0.0787871223687342,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0710451016093903,0,0,0,0,0,0,0,0,0,0,0.0322081204188997,0,0.00499042908180539,0,0.170760162985873,0,0.0994434978286662,0,0,0.0676443532046448,0,0.36055162889244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327494715353455,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0.0468035252121749,0,0,0,0,0,0,0,0,0,0,0.0360442404104154,0,0,0,0,0,0,0,0,0,0,0.16210551314035,0,0,0,0.0382771561029439,0,0,0,0.105985016014888,0,0,0,0.235558429570806,0.140047459108249,0,0.0759526796419981,0,0,0,0.358448772092959,0,-0.0231703464888041,-0.0407515665601532,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937168658227764,0,0,0.299365775283555,0,0,-8.67361737988404e-19,0.0624499925835635,0,0,0,0,0,0,0.0479781256149505,0,0,0,0,0,0.0698755156590949,0,-0.0981507531267014,0.0218907966586868,0,0.0695656020342754,0.0256111478088902,0,0,0,0,0,0,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317570419895677,0,0,0,0,0.0552999252729933,0,-3.46944695195361e-18,0,0,0.374835287325182,0.0588479121346167,0,0,0,0.0518749645670323,0,0.0067572156957225,0,0.104543524066429,-0.0715840347719258,0,0,0.071821169190479,0.103589770853943,0,0,0,0,0,0.217047529163433,0,0,0.00104576639730058,0,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.121539982837938,0,0,0,0,0,0,0.133570640071308,0,0,0.0400304446608877,0,0,0,0.0340327412128008,0,0,0,0,0,0,0,0,0,0.126165069891752,0,0,0,0,0,0,0.231307204804592,0,0.171023544461256,0,0,0.0821601486808828,0,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0.0247024423118562,0,0,0,0,0.0133903972512108,0,0.0206859707629935,0,0,0,0.0234996574870079,0,0,0.0195504281460478,0,0,0,-0.044212323592344,0.0586871410962144,0,0.0164895754971227,0.017985560797742,0,0,-0.122506271868575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934208199967189,0,0.0919709112862819,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800532327122715,0,0,0,0,0.120546967873027,0,0,0,0,0,0.117470256562842,0,0,0,0,0.0681936946044599,0,0.0188324062547698,0,0,0,0,0,0,0.25089849608886,0.0646413579653973,0,0,0,0.257296413443117,0,0,-0.0270501694936334,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.137158022899354,0,0,0,0,0,0,0,0,0,0.0605481275918223,0,0,0.307208720371793,0,0,0,0,0,0,0,0.131520267632068,0,0.106534266811673,0,0,0,0,0,0.0868094442440595,0,0.0478734683507333,0.0482796787631238,0.0122605491766478,0,0,-0.142221154563741,0.0596953383880422,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271697911031626,0,0,0.422090270885896,0,0,0,0.142846195178175,0,0.0281798661611539,0,0,0,0,0,0,0.0483816305406392,0,0,0,0,0,0,0,0,0.0596992857163656,0,0,0.0444738069475163,0,0,0,0,0,0,0.0283909154568785,0.0293530698402037,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466055229437148,0.0985369637572288,0,0,0.116150401139883,0.137070914063474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021455155768526,0.112491841064104,-0.0114267963309266,0,0,0,0.00321964440690037,0.0262021631897821,0,0.0598781646455342,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646028134227238,0.298923217773418,0,0,0.13818921946896,0.0615135779772945,0,0.0497610353395546,0,0,0,0,0,0,0.0959404495357718,0,0,0,0,0.0592808920758771,0,-0.0442099928092669,0,0,0.0623119525026941,0,0,0,0.079130404012523,0,0,0,0,0.0273185436467725,-0.0176070245693944,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0,0.161859396604324,0,0,0,0,0,0,0,0,0,0,0.0198306446159004,0,0,0,0,0,0,0,0,0.0790081444523854,0,0,0,0,0.0920650407087446,0,0,0,0,0,0.10943130461069,0.0741413697631691,0.0350996097745992,0,0.0399573169665705,0.106486721872092,0,0,0.00402750727975378,0,0,0,0,0,0,0
