,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002475.SZ,X600276.SH,X002304.SZ,X000651.SZ,X600104.SH,X002371.SZ,X300014.SZ,X300124.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X600031.SH,X000725.SZ,X000625.SZ,X000063.SZ,X002241.SZ,X002179.SZ,X600703.SH,X000338.SZ,X600089.SH,X600522.SH,X000661.SZ,X000733.SZ,X300142.SZ,X002180.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X600460.SH,X600884.SH,X000157.SZ,X600702.SH,X600584.SH,X002236.SZ,X000799.SZ,X002414.SZ,X601799.SH,X600487.SH,X002176.SZ,X600563.SH,X300003.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002074.SZ,0,0,0,0,0,0,-0.0770937522225945,0,0.160163061872454,0,0,0,0.147170286273734,0,0.06696176760101,0,0.0110387647957575,0,0,0,0,0,0,0,0,0,0,-0.311435109964765,0,0.390929261709915,0,0,0.171353374391274,0,0,0,0,0.536348580245626,0,0,0,0,0,-0.0297268532754446,0.24823567035172,0,0,0,0,0,0,0.143293046818853,-3.46944695195361e-18,0,0,0,-0.103756685790782,0,0
X600741.SH,0,0,0,0,0,0,0,-0.0275767129255942,0,0,0.381281380589297,0,0.0612775561926046,0.0699857969901826,0,0,-0.204614172142359,0,0,0,0.0911055045967115,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,-0.0479619403737252,0,0,0,0,0,0,0,0.0315201428917432,0,0,0,0.0459903190915531,0,0.0681424078584742,0.0297334155144777,0,0,0,0,0,-0.0188597886732611,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0.293136174002568,0.0225211124117931,0,-3.46944695195361e-18,0,0.0775369433849681,0,0,0,0,0,0.0888463394688239,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0231789939852413,0,0.0462500717163737,0.202220626742204,0,0,0,0,0.104974363117801,0,0,0,0,0,-0.0266687467194787,-4.33680868994202e-19,0,0,0,0.0584611684939485,0,0
X600884.SH,0,0,0,0,0.0812774844946213,0,0,0,0,0,0,0.0435144379288655,0,0,0,0,0,0,0,0,0.0643835830964433,0,0.0500338391507076,0.0447784922984947,0,0,0.0866042407188687,0.0335389235096065,0,0,0,0,0,0.330873957454518,0.106064426960653,0,0,0,0,0,0,0,0,0,0.21676279020652,0.181135418450485,0.220589272777164,0,0,0,0,0.103475188987034,-0.0129361474281544,0,0,0,-0.0205824330017627,0,0
X000157.SZ,0,0,0,0,0,0,0,0.0139634846644769,0,0,0,0,0,-0.0370923456951884,0,0,0,0,0.36766051528667,0,0.0815390717466424,0,0,0,0,0,0,0.0512648996251519,0,0,0,0,0,0.0776866797912486,0,0,-0.0435409553381693,0,0,-0.00899316650085343,0,0,-0.0387398545849487,0,0,0,0,0.00724735142688348,0.0467910734164049,0,0,0,-0.0110789117534626,0,0,0,0,0,0
X600702.SH,0,0,0,0.433456887435459,0,0,0,0,0,0,0,0,0,0,0,0.0955866826790355,-0.0171596293111894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760240817161629,-0.0283066272401093,0,0,0,0,0.812844086138898,0.0721024125110744,0,0,0,-0.0319432481017956,0,-0.0954102546383138,0,0,0.0524091300143895,0,0,0,0,0,0
X600584.SH,0,0,0,0,0.132194100112301,0,0,0,0,0,0,0,0,0,0,0,-0.0262412150257836,0,0,0,0,0,0,0,0,0,0,0.0292431305990701,0,0,0,0,0,0,0,0,0.367867373450012,0,0,0,0,0.293601690650329,0,0,0,0,0,0,0.213161280229375,0,-0.00293732182685394,-0.00247770269078688,0.0405239789872513,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0.378197638268018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400309264613684,0,0.0130143729690573,0,0,0,0,0,0.00552596338967514,0,0,0,0.00105152200746886,0,0.00731965819917756,0.0178047138370413,0,0,0.127629038909891,0,0,0,0,0,0.0559126396742438,0,0.0120365101231372,0,0,0,-0.0110865779775108,0,0,0,0,0,0
X000799.SZ,0,0,-1.73472347597681e-18,0,0.0106301734768103,0,0,0,0,0,0,-0.00870511459080733,0,0,0,0,0.0539631873615349,0,0,0,0,0,0,0,0,0,0,-0.0364673450075752,0,0,0.0882719851024493,0,0.0733663648667892,0,0.00681333255642863,0,0,0,0,0.47850881418012,0,0,0,0.0126068460368537,0.071332698672137,-0.00551315682315938,0,0,0,0,0,0,0,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0.104046915013757,0,0,0,0,0,0.0383522156770483,0.0460334430270821,0.0258422755809241,0,0,0.121347813567169,0,0,0,0,0.225409297298115,0.110332620263674,0,0,0,0,0,0,0.267697597614521,0,0,0,0.0280902630827225,0.285065867366564,0,0,0,0,0,0,0,0,0,0,0,0.038641527886094,0,0,0,0,0.133848800718025,0,0,0,0,0,0
