,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002475.SZ,X600741.SH,X002236.SZ,X600031.SH,X000625.SZ,X002456.SZ,X000338.SZ,X002241.SZ,X600487.SH,X002008.SZ,X300136.SZ,X601877.SH,X600066.SH,X000100.SZ,X600522.SH,X600809.SH,X300124.SZ,X002508.SZ,X002294.SZ,X300003.SZ,X600271.SH,X600867.SH,X002085.SZ,X000981.SZ,X600089.SH,X600498.SH,X600177.SH,X600699.SH,X000157.SZ,X000661.SZ,X600584.SH,X300142.SZ,X000596.SZ,X002129.SZ,X600118.SH,X002049.SZ,X000050.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600867.SH,0,0.0356047027661346,0,0,0,0.0860133226211299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16733421000112,0,0,0,0,-3.46944695195361e-18,0.118169493022809,0,0,0.0913316832746356,0,0,0,0,0,0,0,0.00204817087874146,0,0,0,0.0119022900074903,-0.0740388329730083,0,0,0,0,0.0129546528445081,0,0,0,-0.0173011288685967,8.67361737988404e-19,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0.0043215365992008,0,0,0,0.247585188345875,0,0,-0.269503159458807,0,0,0,0,0,0,0,0,0,0,0.0696022187478789,0.0582332891692081,0.0911694927760069,0,0,0.0253657708914604,0,0,0,0,0,0,0,0,-0.522002539394992,0,0,0,0,0,0,0,0,0,0,0,0.0224102727940421,-0.0360365150319584,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918221826209351,0,0,0,0,0,0,0.0223591896504987,0.052544364382577,0,0,0.00355574798654137,0,0.0031981760431035,0,0,0.117774829062923,0,0,0,0,0,0,0,-0.0458194586202296,0,-0.0204137389261427,0.0239486059173829,0,0,0,0,0,0,-0.0194344556739699,0,-0.0214854103744242,0.024967581759165,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0.016846586482836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013660885265414,0,0.0459124016088571,0,0.129130851190522,0,0,0.0263263265046562,0,0,0,0,0,0,0.00129703492350114,0,0,0,0,0,0,0,0,0.0337743952986519,0.00949142477858355,0.00953418250571597,0,0,0.0657555895407309,0,0,0,0.0131967640325663,-0.00902064715009578,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0.304824557890712,0,0,0.108913704399613,0,0,0,0,0,0,0.516615686479182,0,0.0488769222437228,-1.38777878078145e-17,-4.33680868994202e-19,0,0,0,0,0.0809992216604574,0,0,0,0.00144479946698799,0,0,0,0,0,0,0,-0.11273238710123,0,0,0,0.163545665693634,0.0673915245589659,0,0,-0.0160040474195355,0,0,0,-0.0549826854722398,0.0727112434486323,0,0,0,0,0,0
X600177.SH,0,0,0,0,-3.46944695195361e-18,-0.016597879019823,0,0,0,0,0.0150151368581452,0,0,0,0.0223746946993703,0,0,0,0.073216716860091,0,0.0103684062511033,0,0,0.0369787617540087,0,0,0,0,0,0,0,-0.0268772654080795,0,0,0,0,0,0,0,0.0442588106012283,0,-0.0368149730544289,0,0,0,0.0370542690857618,0,0.0235650125340637,0,0,0,-0.005241008987353,0.00262432631066028,0,0,0,0,0,0
X600699.SH,0.0480300516152994,-0.00356224711961375,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11701413480084,0,0,0,0,0.0138418832435928,0,0,0.0393390607179318,0,0,0,0.000397302406580603,0,0,0,0,0,0,0,0,0,0.030349510359748,0,0,0,-0.0936886010877571,0,0.0842751757585856,0,0,0,0,0.12996330091017,0,0,-0.000750810590221988,0,0,0,0,0,0,0
X000157.SZ,0,-0.138606929294101,0,0,0,0,0,-0.0926343189269787,0,0,0,0,0,0,0,0.0981856600060922,0,0,0,0,0,0,0.0138271505150414,8.67361737988404e-19,0,0,0.00784018904244131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154647626227911,0.00753469617233698,0,0,0,0,0.0429600673509827,0.12368742361704,0.0260903066533995,0,0.0304864335761019,0.00221929509848513,0,0,0,0,0,0
X000661.SZ,0,0,0.024011636628936,0,0,0,0,0.122179174232508,0,0.200387648791691,0.0292869079270591,0,0,0,0,0,0,0,0,0.0220384624282902,0,-0.0673582807335,0,0,0,0.305687781312983,0,0,0,0,0,0,0,0.0953388154405821,0,0,0,0,0,-0.14709547327325,0,0,0,0,0,0,0,0,0,-0.0898186553134467,0,-0.00271578235747063,0.0301185546428175,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0.173658514821664,0,0,0.0545870369044673,0,0,0,0,0,0,0,0,0.141764131201306,0,0,0.172225806567923,0.0581057658169951,0,0.0394025942773912,0,0,0,0,0.0363230814786723,0,0,0,0,-0.0406484116730838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20251908584959,0,0,0,-0.0370564937010561,0.0417740518985849,0,0,0,0,0,0
X300142.SZ,0,0,0,0.0373484006294769,0,0,0,0.42551317535882,0,0,-0.450713007693891,0,0,0,0,0,0,0,0,0,0.480528817137204,-0.0463366594102148,0,0,0,0.46359977235051,0,0,0,0,0,0,0,0,0,0,0,0.0128594504195699,0,0,0,0,0,0,0,-0.297196795613355,0,0,0,-0.200331624937984,0,0.0154202066993316,-0.033232840015983,0,0,0,0,0,0
X000596.SZ,8.67361737988404e-19,0,0,0,0,0,0,0.113449818874635,0,0,0.0319107434558213,0.0905816233742976,0.054675202948564,0,0,0,0,0.120437531346016,0,0,0,0,0,0,0,0,0,0.354904449918063,0,0,0,0,0,0.12771478025176,0,0,0,0,0,-0.0446455199259134,0,0.0865988471887349,0,0,0,0,0,0,0,-0.0216193293135891,0,-0.0127044889987772,0.0383665108291943,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000910552710166742,0,0,0,0.00572174887477456,-0.0208871798930124,0,0,0,0,0,0,0,0,0.197680780312896,0.0122367469952623,0,0,0,0,0,0.0132777367580198,0,0,0,0,0,0,-0.213122027598823,0,0,0.0451095090578584,0,0.0718760518824454,-0.0302004061900924,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,8.67361737988404e-19,0.0202667558931991,0,0,0,0,-0.0903965364713307,0,0,0,0,0,0,0,0,0,0,0,0,0.143385689153095,0,0.0295164677016119,0,0,0,0.133917305702046,0,0,0,0,0.0284459649239561,0,0.0598253708820604,0,0,0,0,0,0,0,0,0.089442774681986,-0.00602490804151309,-0.16774035742607,-0.0149509840851061,0.0239178857966751,0,0,0,0,0,0
