,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X002241.SZ,X000625.SZ,X002456.SZ,X600031.SH,X000338.SZ,X600066.SH,X000100.SZ,X601877.SH,X002008.SZ,X300124.SZ,X300136.SZ,X600487.SH,X600809.SH,X002508.SZ,X300003.SZ,X600522.SH,X002085.SZ,X600867.SH,X600089.SH,X002294.SZ,X600699.SH,X000157.SZ,X600498.SH,X600177.SH,X600271.SH,X000050.SZ,X000596.SZ,X600566.SH,X002180.SZ,X600118.SH,X000559.SZ,X600707.SH,X300115.SZ,X002179.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0.202584996543848,0,0,0,0.0168704585813402,0.212493466205731,-0.0467691691723377,0,0.0374940920996144,0,0,0,0,0,0,0,0,0,0,0,0,-0.203710995236228,0,0,0,-0.031964338954963,0,0,0,0,0,0,0,0,0.0612101272284152,0,0.143994212678473,0,0,0,0,0,-0.0435362407848364,0,0,-0.0704817179660569,0,0,0.119839254432021,0,0.0485886763076586,-0.018954537028475,0,0,0,0,0,0
X000568.SZ,0,0,0,0.100042280025249,0.430119567917412,-0.00412652635833537,0,0,0,0,0,0,0,0,0,-0.00828970653412522,0,0,0,0,0,0,0,0,0,0.0551805296343576,0,0.125472097559759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831782119057342,0,0,0,0,0.192345931596435,0,0,0,0,0,0,-0.0204286192586146,0,0,0,0,0
X600741.SH,0,0.524301311710755,-0.0832152981032514,0,0,0,0,0,0.078769695782792,0,0.10996282286276,0,0,0,0,0,0,0,0,0,0,-0.301902149948883,0,0,0,0.146025532629097,0.0593080378939836,-0.0845976638250682,0,0.00801692909299143,0,0,0,0,0,0.0774236133243135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00566190925369569,0,0.0284120486435408,0,0,0,0,0
X002236.SZ,0,0,0.1695096042994,0,0.0106753180279409,-0.0599065094846879,0,0,0.295145907617865,0.235404775260691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159946303431345,0,-6.93889390390723e-18,0,0,0,0,0,-0.01558628894034,-0.150823661079424,0,0,0,0,-0.104237519050656,0,0,0,0,0,0,0,-0.0814587787821713,-0.120388597619369,0,0,0,0,0.00287066351475149,-2.71050543121376e-20,0,0,0,0,0,0
X002475.SZ,0,0.0705814095696644,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0318101229391213,0,0,0,0.0369714237326247,0,0.0722280441935212,-0.0772969393739694,0,0,0,-0.261960310722488,0.0524251805250916,0,0.438114481362867,0,0,0,0,0,0,0,0,0,-0.0137532813534845,0,0,0,0,0,0,0,0,0,0,0.150944128840405,0.358204170465841,0,0,0,-0.0521243228887909,0,0,0,0,0,0,0
X002241.SZ,0,0,0.167976541960693,0,0,0,0,0,0,0,0,-0.124248528322637,0.042581553055416,0,0,0,0,0.376784406688022,0,0,0,0,0,0.124937917380761,0,0,0,0,0,0.051996457509113,0,0,0.121683937828661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141605510380426,0.040719223837003,0,0,0.0175568445234405,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.125979285920696,0,0,0,0,0.00206728949563761,0,0,0,0.0373584835571439,0,0,0,0,0,0.0301280090330689,0.127494599263268,0.0394257060173235,0,0.0333451030262185,-0.0180827203564538,0,0,0,-0.0190330375679524,0,0,0,0,0,0,0,0.124778622423861,0,0,0,0,0.0851756538796466,0.00921214258232642,0,0,0,0,0.0916267222102863,0,0,0,0,-0.0212199583411718,0.0446961339656227,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,-0.0170130844884581,0,0,0,0.175713721089479,0.1948341466493,0.239445373908963,0,0,-0.0853206801003231,0,0,0.105697891405778,0,0,0,0,0,0.00920600921761913,0,0,0,0,0,0,0,0,0,0.199193766372101,0,0,0.196878746147955,0,0,0.155214968412165,8.67361737988404e-19,0.0166505512925879,0.112102532283486,0,0,0,0,0.0097038170531038,0.00895592639638128,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.170717950419405,0,0,0,0,0,0,0,0,0,0,0,0.0730198043877945,0,0,0,0,0,-0.0570137919206367,0.135604079809506,-0.0603812564481852,0,0,0,0,-0.026750321296955,0,0,0,0.452700863130748,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.248535113425562,0,0,0,-0.0833325890282962,0,0,0,0,0,0,0
X000338.SZ,0,0,0.050891679744628,0,0,0.0400336813235845,0,0,0.0203930620963091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656749481754594,0,0,0,0.00826905806388821,0,0,0,0,0,0,0.455675429875598,0,0.0908699145398467,0,0.0215923141634902,0,0,0.119493604447715,0,0,0,0,0.131329082948154,0.0201346314953492,0.105091018776982,0,0,0,0.00243817353044821,0.0036793358618275,0,0,0,0,0,0
