,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X600418.SH,X002179.SZ,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002049.SZ,X002236.SZ,X600183.SH,X600741.SH,X000066.SZ,X600522.SH,X600066.SH,X600839.SH,X601877.SH,X600460.SH,X002456.SZ,X002156.SZ,X600487.SH,X000800.SZ,X000661.SZ,X002085.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000157.SZ,0,0.388049030891043,0,0,0,0,0,0.0179604621341682,0,0,0.0548216554131238,0,0.12248367420863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193901091262006,0,0,0,0,-0.0748472308945812,0,0,0,0,0,0.0343553748455095,0.120548580490466,0,-0.0447354714719512,0,0,0,0,0.00738245196220399,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.113426077746882,0,0.15197291658754,0,0,0,0,0,0.121165710879086,0,0,0,0.153577754618251,0,0,0,0,0,0,0,0,0.00791726076536254,0.00909128581639349,0.125321951180527,0,-0.0610938388616969,0,0,0,0,0,0,0,0,0,0,0.0729850850877163,0,0,-0.0329173810298343,0,0,0,0,0.00783589114222171,0,0
X002028.SZ,0,0,0,0,0,0.0366386020757191,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.173335909871068,0,0,0,-0.0796954390178535,0,0,0,0,0,0,0,0.0075714817944879,0,0,0.090930807354024,0,0,0.27779761306056,0,0,0,0,0.0990557395422784,0,0,0,0,0.08411169785245,0,0.0938092105377405,0.0450941604294689,0.134887883201228,0,0,0.0406404524407713,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0.163929328258663,0,0,0,0.247539657149654,0,0.0400612136805157,0,0,0,0,0,0,0,0,0,0,0,0.137493725830826,0,0,0.299916471016776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0782317101631777,0,0,0.139153421888964,0,0,0,0
X002236.SZ,0,0,0,0,0,0.0231135086934726,0,0,0,0,-0.0464896812221395,0,0.0769794381281238,0,0.0867623045079257,0,0,0.0517135210560005,0,0,0.229522432187112,0,0.207238983206738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053383048296093,0,0,0.00556105943001741,0,0,0,0,0,0,0,0,0,0,-0.0189715610898677,-0.0123962845676777,0,0,0,0.00220680642532791,0,0
X600183.SH,0.0855849062423676,0,0,0.0275530944430872,0,0,0.0421159903893454,0,0.0117999017201147,0.0472083704423635,0,0,0.124936511027514,0,0,0,0,0,0,0,0,0,0.160692777960251,0,0,0.167107899703193,0.0761858506365298,0,0.143846846920624,0,0,0,0,0,0,0,0,0.0615312291703644,0,0,0.0721843357106809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328816939923158,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0.0342363096942137,0,0,0,0.0375029580862076,0,0,0,0,0.192714444437517,0,0.0110303802059295,0,0.0935194398156256,0,0,0.0849259656651603,0,0,0,0,0,0,0,0,0,0,0.0182341752530652,0,0,-0.180425552609377,0,0,0,-0.115130794089298,0,0.469070399491988,0,0,0,0,0,0,0,0,0,0.0134149428404599,0,0
X000066.SZ,-0.0751277481136881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382525649779397,0,-0.433629939673803,0,0,0,3.46944695195361e-18,1.00546536425555,0,0,0,-0.0579924006346569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.059420961561136,0,0,0,0.0221427327912557,0,0,-0.0828616127064967,-0.0467058296848359,0.00410617235168602,0,0,0.211040929336407,0,0
X600522.SH,0,0,0.142763259332287,0,0,0,0,0,0,0,0,0,0.166176072738234,0,0,0,0,0,0,0,0,0.181163979047458,0,0,0,0.122315147523297,0,0,0.301470847884431,0,0,0,0,0,0,0,0,0,0,0,-0.191042929229757,0,0.0202020841412866,0.120280234303496,0,0,0,-0.0966672971235631,0,0,0,0,0,0,0,0,0.0118362647641704,0,0
X600066.SH,0,0.0306184190935205,0,0.250520644386782,0,0,0,0,0,0,0.0247161108891949,0.0925331399729348,0.0485878774038791,0,0,0,0.0698259859982366,0.291163889229875,0,0,0,0,0,0.128530212002542,0,0,-0.240024605870499,0.105228765124904,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0644400358440071,0.0396616518435354,0,0,-0.162018229100803,0,0,0,0,0,0,0,-0.0109494081707411,0,0
X600839.SH,0,0,0,0.159409547679644,0,0,0.152627513077931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13168508578037,-0.039469051677023,0,0.0776816993268416,0.220221114011301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428960698244233,0,0,0,0,0,0,0,-0.00926683996242746,0,0,0,0,0.0356807134312233,0,0
X601877.SH,0,0,0,0,0,0,0.0895148172318312,0,0,0,0,0,0.00893927918545941,0,0,0,0,0,0,0,0.262477807324902,0,0,0,0,0.0335155751661875,0,0,0.0626998006552734,0,0,0,0,0,0,0.00883555698398322,0,-0.0391408537863877,0.0424776150839632,0.0314221994783332,0.00184163803454884,0,0,0,0.00643652272192668,0,0,0,0.0218994433170092,0,0,0,0,0,0,0,0.00253918145818053,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15941438553293,0,0,0.282008062979165,0,0,0.247908703549214,0,0,0,0,0,0,0.367343514232376,0,0,0,-0.0549315522932911,0,0,0,0,0,0.0778742121935283,0,0,0,0,0,0,0,-0.0731671216135695,0,0,0,0,0.0293148643120465,0,0
X002456.SZ,0,0,0,0.00629538166371656,0,0,0,0,0,0,-0.188356447743274,0,0.203866344681366,0,0,0,0,0,0,0,0,0,0.472462042320533,0.230630419172478,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200765337679445,0,0,0.0762006562280977,0,0.0540487758148413,0,0.0391595221061397,0,0,0,0,0.457404407115653,0,0,0,0,0,0,0.0767395321506536,0,0
X002156.SZ,0,0,0,0,0,0,0,0,0.0833614250998377,0,-0.354865215379766,0,0,0,0,0,0,0,0,0,0.262764522601314,0,-0.0714386378442225,0,0,0.0435930746123789,0,0,0,0.246483121798982,0,0,0,0,-0.323115180564917,0,0,0.0109660302869577,0,0,0.137552854576397,0,0.120882434413386,0,0,0,0,0,0.0704014256647816,0.200657150767354,0,-0.191090955061284,0,0,0,0,0.0891652481672076,0,0
X600487.SH,0,0,0,0.0115297324076528,0,0,0,0,0,0,0,0,0.0828037775278037,0,0.121754143983031,0,0,0,0,0,0,0,0.0547713867224853,0.0295677824209875,0,0.088166866408428,0,0,0,0,0,0,0.164205531870079,0,0,0,0,0,0.371095691698703,0.0677273903860776,-0.103196038878129,0,0,0,-0.0100400090072465,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.00652008002161277,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0.0739607471147122,0,0.0436324378655025,0,0,0,0.248953583366679,0,0,0,0.00676829261973607,0.0593491912499749,0,0.116585434379492,0,0,0,0,0,0,0,0,0,0,0,0,0.187008958054356,-0.00782619039635753,0.0377261557067796,0.0479050228818235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102530134951416,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0.0334694355168371,0,0.436005276698174,0,0,0,0,0,0,0.118439818895724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098950960923821,0,0,0,-0.0172353382127655,0,0,0,0,0,0,0.0694744422520364,0,0,0,0.0521321738879911,0,0,-0.0553572827669867,0.0147611053275988,0,0.00954192957200355,0,-0.00664478784123502,0,0
X002085.SZ,0,0,0,0,0,0,-0.1178628978224,-0.321455808075042,0,0,0,0,0,0,0,0,0.0199614771837254,-0.0939335933799079,0,0,0.194335082964853,0.554929544797698,0.0343188796640022,0,0,-0.0828650965115788,0,0,0,0,0,0.235131771654217,0,0,0,0,0,-0.0663083740355547,0,0,0,0,0,0.0854354078674888,0.610446171463243,0,0,0,0,0,0,-0.0657264160572901,0,0,0,0,0.0704570328044075,0,0
X000921.SZ,0,0.0833827739450103,0,0,0,0,0,0,0,0,0.152712313598982,0,0,0,0,0,0.0230835911925871,0.222362602500707,0,0,0,0,0,0,0,0,0,-0.0435287414631909,0,0,0.240971880207968,0,0.114823749716668,0,0,0,0,0,0,0.0368226054604497,0,0,0,0.126532148823231,0,0,0,0,-0.0275840672828608,0,0,-0.0539880342548713,0,0,-0.00069695770389298,0,0.0215117259957618,0,0
Change_TY3M,0,0,0,0,0,-0.132406464325905,0,0,0,0,0,0,0,0.00780974618683896,0,0,0,0,0,0.0824674028759024,-0.01558937924978,0,0.037200434505708,0,0,-0.0519640115773514,0.0293332941435991,0,0,0,0,0,-0.0516391980868189,0,0,0,0,0,-0.117615611583589,0,-1.0842021724855e-19,0,0.00819500947901516,0,0,0,0,0,0,0,0,0,-0.0273193376117294,0.0156417515911096,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0.397375072920744,0,0,-0.280185283242556,0,0,0,0,0,0,0,0,0.358749806431505,-0.528749455049404,-0.562237214824546,0,0,-0.429340181785491,0,0,0,0,0,0,0.37966558880902,0,0,0,0,0.0642486098447968,0,0,0.318978438591753,0,0,0,0,0,0,0,0,-0.72434799374336,0,0,0.587108457251394,0,0,0,0.167896989868696,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,-0.105947248866016,0,0,0,0,0,0.0601971544852358,0,0,-0.0126512513043524,-0.048367065976487,0,-0.121240058589783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0840030715378527,0.065679281140825,0,0,0,0,0.0673702363203079,0,0.139549570652644,0,0,0,0.44493300478205,0,-0.0964725941052841,0,0,-0.241183806060437,0,0
RealEstate_excess,0,-0.474113085935581,0.283150217663112,-0.0636910282523503,0,0,0,0,-0.090120171754355,0,0.0796370914094947,0,0,0,0,0,0,0,0,0.461924582085403,0,0,0,-0.0558839001664499,0,-0.0841761398201225,0.283271309656364,-0.334730852606335,0,0,0,0,0,0,0,0,0,0.145055266021808,0,0,0,0,0,6.93889390390723e-18,0.0561369685823925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.098492201286618,0,0,0,0,-0.297456281176445,0,0,0,0,-0.0398334506603616,0,0,0,0,0.0793652572955426,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0383342156288918,0,0,0.0105371396073467,0,0,0,0.0317593737325034,0,0,0.327598357636693,0.0847130875374092,0,0,-0.0548982872582944,0,0.175600596046933,0,0,-0.0491232293894774,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0531236277364252,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,-0.0053374344416706,0,0,0,0.0132992169186689,0,0.0274541624241489,0,0.00233007602046769,0,0,0.0255080512483881,0,0,0,0,0,0.00116216782931348,0,0.00817677804925961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155995215628689,-0.0104809016030564,0,0,-5.42101086242752e-20,0,0,-0.0202826100777076,0,0,0,0,-0.00541983558241744,0,0,0,0,-0.0623174986785594,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0.0142093134562105,0,0.000934712547200821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132517923832037,0,0,0,0,0.0026762385465261,-0.0264848145680212,0,-0.00229123657572351,0.00356663414223753,0,0,0,0,-0.00617525111247356,0,0,-0.0197098384883877,0,0,0,0,-0.0340086112425523,0,0
