,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X000559.SZ,X002241.SZ,X002292.SZ,X600066.SH,X002129.SZ,X600089.SH,X600741.SH,X002475.SZ,X002236.SZ,X601877.SH,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X002465.SZ,X000568.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X600252.SH,X002456.SZ,X000977.SZ,X002276.SZ,X002179.SZ,X002008.SZ,X000066.SZ,X002242.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002276.SZ,0,0,0,0,0.0334142136391722,0,0.272686979638564,0,0,0.285290355200031,0,0,-0.344336289256052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14907448018863,0,-0.068320761742807,0,0,0.0221093611331934,0,0.0534921149556368,0,0,0,0,-0.157533099888733,0,0.275639258444632,0.199924362790568,0,0,0,0,0,0,0,-0.0297159265708946,-3.46944695195361e-18,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0.313825573241987,0,0,0,0.599588831353254,0,0,0,-0.00142799453806724,0,0,0,0,0,0,0,0,0,0,0,0,0.0059764579006063,0.0100149788953485,0,0,0,0,0,0,0,0,0,0.109662460753656,0,0,0,0.0833712902894665,0,0,0,0.0173817613637324,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0813309910007368,0,0,0.0205603519709709,0.144232249357535,0,0,0,0.292727614352737,0,0,0,0,0.00811387811857928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334819228104829,0,0,0,0,0,0.0215342476375571,0,0,0,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0.193942156750805,0,0,0,0,-0.108554638487837,0,0,0,0,0,0,-0.128193796450467,0,0,0,0,0,0,0,0,0,-0.121652972581465,-0.0356088796358599,0,0,0,0,0,0.0324485724625081,0,0,0,0,0,0,0.207874828793322,0,0,0.168207225589263,0,0,0,-0.00811983439488731,-0.0308985724501014,0,0,0,0.0841704965831954,0,0
X002242.SZ,0,0,0,-0.047173097624184,0,0,0,0.135977986915585,0,0,0,0,0,-6.93889390390723e-18,0,0,0.00547904975113915,0,0,0.0825860388578082,0,0,0,0,0,0,-0.0273335074967329,0,0,0.0210285097542776,0,0,0,0,0.30345976705167,0,0,0,0.42555772349565,0,0,0,0,0,0,-0.122759824054168,0,0,0,0,0.0509947029937878,-0.0384111254336818,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.041735363806734,0,0,0,0,0,0,-0.0722593346139338,0,0,-0.039735298806109,0,0,0,0,0,0,0,0,0,0.145083129700919,0,0,0,0,-0.0188007863607117,0,0,0,0,0,-0.109030125901766,0,0,0.0478164411106902,0.0509391644615029,0,-0.148617842027855,0,0,0.128107668214499,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0634069417755222,0,0
Slope,0,0,0,0.543029058617509,0,0,0.205570556007501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.923118944759413,0,0.289301678385086,0,0,0,-0.122277585855462,0,-0.507091117823743,0,0,0,0,0,0.191778204314791,0,0,0.0105566939170474,0,8.67361737988404e-19,0,0,0,0,0.444846837370259,-0.419010592872507,0,0,0,0,0
TED,0,0,0,0,0,0,0,0.0659136847357165,0,0,0,0.145337582331614,0,0,8.67361737988404e-19,0,0,-0.0871190584738051,0,-0.242482666375153,0,0,0,0,0,0,0,0.164002297106139,0,0,0,0,0,-0.381596384510503,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.316335749044221,0,0,0.103107149223692,0,0.192985497050984,0,-0.219388119293222,0,0,0.151244836214129,0,0
RealEstate_excess,0,-0.0372013316138195,0,0,0,0,-0.0917903239094819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.113309357468181,0.324082352492792,0,0.161533859967873,0.102370559172224,0,0,-0.107216008180363,0,0,-0.312900564470938,0,0,0,0.0567553704689985,0,0,0,0.209052463167507,0,0,-0.011149112116099,0,0,0,0,0,0
MKreturn,0,0,-0.209320431128308,0,0,0,0,-0.290347843504897,0,0,0,0,0,0,0,0,0,0,0,0.0539229520165989,-0.0547199619872708,0,0,0,0,0,-0.00759959077548094,0,0,0,0.117812270253095,0,0,0,0,0,0,0,0,0.191312096880206,0,-0.0110190669269274,0,0,0,0,0,0,0,0,0,-0.0228229381874698,0.0176594419824253,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,-0.00223350127220175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152238283279855,0,0,0,0,0,0,0,0,0,0,-0.00364100761688062,0,0,0,0,0,-3.91007170679437e-05,0,0,0,0,0.162676083703764,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210560565820673,-0.00324128313604759,0,0,0,0,0,0
