,X600519.SH,X000858.SZ,X600809.SH,X600690.SH,X002415.SZ,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X300014.SZ,X000157.SZ,X002179.SZ,X600089.SH,X600066.SH,X600703.SH,X002463.SZ,X000921.SZ,X600372.SH,X002236.SZ,X002241.SZ,X002028.SZ,X000977.SZ,X600741.SH,X600522.SH,X002049.SZ,X600183.SH,X000661.SZ,X600584.SH,X601877.SH,X002129.SZ,X000800.SZ,X002223.SZ,X601799.SH,X002180.SZ,X600487.SH,X600060.SH,X600566.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,-0.00526817072688029,0,0,0.00226369605931988,0.0391076668019008,0,0,0,0,0,0,0.108899576782785,0,0,0,0.0399419647370308,0.0209145752992095,0,0,0,0,0,0.0102201412755338,0,0,0,0,0,0,0,-0.0587930476261415,0,0,0,0,0,0.0432131436577989,0,0,0,0,0,0,0,0,0,-0.0784886621537057,0.0395290591269256,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,-0.0318702490062083,0,0.146581995308283,0,0,0,0,0,0,0,0,-0.0641909130523729,0,0.120146749204528,0,0,0,0,0,0,0.112914069722642,0,0.0901539721378747,0,0,0,0,0,0,0,0,0.0950496844949567,0,0,0.0434930804022022,0,0,0,0.00712201828946058,0,0.00860787845872469,0,0,0.0915670253484088,0,0,0,0.0403411021816012,0,0,0,0,0,0
X000725.SZ,0,0,0.0198926369284023,0,0,0,0.0526074998175775,0,-0.0141788254343194,0,0,0,0,-0.0686182652255796,0,0,0.0301130712781648,0,0,0.119994488108393,0.125298251662739,0,0,0,0,0,0,0,0,0,0.0760148288069676,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0163822234574525,0,0,0,0,0,-0.0139938558023773,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,-0.17512525634545,0,0,-0.0296276996528388,0.0482223029148286,0,0,0,0,0,0,0.0846152421329183,0,0,0,0,0,0.225683705800643,0,0,0.202214245896148,-0.0228227877307177,0,-0.0316425325144255,0,0,0,0,-0.0530332227792888,0,0,0,0.0949326034150716,0,0,0,0,0,0,0,-0.114183951426472,0.138491711347913,0,0.0347072932428531,0,0,-0.0314052643903851,0.00497441523828656,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159789834858189,0,0,0,0.0828905679872673,0,0,0.0594834344714655,0,0,0,0,0,0,0.26141063670438,0,0.0523727715867722,-0.185792916344399,0.116024927508879,-0.168294807985619,0,-0.0194597566289071,-0.137689161737326,0,0,0.0289288112992036,0,0,-0.0495657218739697,0.117902714189441,-0.115598267953304,0,0,0,0,0
X600031.SH,0,0,0,-0.0305853210630171,0,0,0,0,0,0,0,0,0,0,0,0,0.0920477046292408,0,0,0,0,0.0177147812858659,0.294242912808284,0,0.141830427405961,0.0170922926132403,0,0,0,-0.0993683446809247,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0567475629948963,0,0.074765649690501,0,0,0.0965565104717488,0,0,0,0,0,0,-0.0333194413959357,0,0,0,0,0,0,0
X000625.SZ,0,0,0,-0.172116211674616,0,0,0.0881432218562377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283058657229383,0,0,0,0.0332248815534432,0,0,0,0.381470719694807,0.0968576843875814,0.0169832558519071,0,-0.0699320611105178,0,0,0,0,0,0,0,0,0.495812182709154,-0.113830237106726,0.127811381076605,0,0,0,0,-0.346395195770716,0,-0.0938052013403616,0.160072969287717,-0.120145365999524,0,0,0,0,0
X002304.SZ,0,0.203218859957289,0,0,0,0,0.0367759201453586,0,0.0617692137703826,0,0,0,0,0,0,0,0,0,0.127918279222466,0,0,0,-0.0451092515266027,0.0796711060065237,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.236715065942074,0,0,0,0,0,0,0,0,0,-0.226849027177927,0,-8.67361737988404e-19,0,-0.0136944888525035,0,0,0,0.0509816972391902,-0.0977923137443753,0,0,0,0,0
X000596.SZ,0,0.0521750079337204,0.220875904835669,-0.0139453243665078,-0.0489760843656328,0,0.516432365632007,0,0,0,0,0.0279129737624758,0,0,0,0,0.0133636430357737,0,0,-0.171980466982566,0.0641607569020569,0,0,0,0,0,0.143154487564893,0.10410275709641,0.119295432805029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0736687829868309,0,0,0,0,0,-0.0195092254548327,0,0,0,0,0,0,0
X000063.SZ,0,0,-0.042071320431956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0798885671614293,0.0456434064597991,0.134950164246484,0,0,0.039071935803085,0.191286508504361,0,0,0.229777634649904,0,0,-0.0876570624953757,0,0.0885338943305375,0,0,0,0,0.122813422694526,0,0,0,0,0.0119356352310588,-0.0179508083516083,0,0,0,0,0,0
