,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X002304.SZ,X600104.SH,X300014.SZ,X600690.SH,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X002241.SZ,X600703.SH,X000625.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X000338.SZ,X002049.SZ,X000596.SZ,X601877.SH,X000661.SZ,X002179.SZ,X600089.SH,X600460.SH,X000100.SZ,X600741.SH,X300142.SZ,X002074.SZ,X002236.SZ,X000799.SZ,X600884.SH,X600779.SH,X601799.SH,X600702.SH,X000157.SZ,X000733.SZ,X600584.SH,X002414.SZ,X600183.SH,X002007.SZ,X000800.SZ,X600563.SH,X600522.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0147379798351698,0,0.53073271839805,0,0,0,0.0126181572276871,0,0.0317990186409051,0,0,0,0,0.0387715626842701,0,0,0,0.0368364959876012,0,0,0,-0.0249900254791501,0.037964657512634,0,0,0,0,0,0,0.0508414787357883,0,0,0,0,0,0.0302557207844493,0,0,0,0,0,0.0195073054543954,0,0,0,-0.03685639816447,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0.0377075749607082,0,-0.160310133151379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185199576880932,0,0,0,0,0.0488996690219336,0,-2.71050543121376e-20,0.023687853826407,0,0.0251740351387541,0.214070547652961,0.0386886818424148,0,0,0,0,0,0.073499838569741,0,0,0,0,0.023579324918761,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0.146701836532996,-0.0872636382121584,0,0,0,0,-0.0371113758202221,0.14177440482134,0,0,0,0.234192645379595,0.349588459183163,-0.0740713249268453,0,0,0,0,0,0.0623789165664191,0,0,0,0,-0.0895045770787923,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.385218404788438,0,0,0,0,0,0,0,0,0.206817139605298,-0.116135175224161,0,0,0,0.123277255895098,0,0
X002074.SZ,0,0,0,-0.13608247882791,0,0,0,-0.150155051446274,0,0.198616976497309,-0.0824844450027934,0,0,0,0,0,0,0,0.126809308859216,0,0,0,0.0410068580286955,0,0,0.0344864472802963,0,0.180580148295346,0,0.153744079357971,0.0185713920857051,0,0.112920156403085,0,0,0,0.305812248112328,0,0,0,0,0,0,0,0,0,0,0.0543093981312684,0,0,0,0.022441880665029,0,0,0,0,0.116416880318289,0,0
X002236.SZ,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0582001002128467,0,0,0,0.000288766060987298,0,0,0,0,0,0,0,0,0,-0.0421243767387915,0.11719891590278,0,0,0.0673737941558378,0,0.162678438625191,0.107330129221147,0,0,0,0,0.022334182251749,0,0.0102793050937432,0,0,0,0,0,0,0,-0.111077716565774,0,0,0,0,0,0,0,0,0,0,0
X000799.SZ,0,0,0,0.64031072377116,0.186058243411378,0.0138648340168835,0,0,0,0,0,0,0,0,0,0.0340057954008284,0.146513961998837,0,0,0,0,0.0485580227576039,0,-0.0216885392884257,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0690912523424695,0,0,-0.0199258278541757,0.119642307717824,0,0,0,-0.0678524669795965,0,0.0311272002637538,0,0,0,0,0,0,0,0,-0.0229606839087597,0,0,0,-0.0703544697004976,0,0
X600884.SH,-0.283959551653221,0,0,0,-0.0725019825529668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115293378332979,0,-0.0800865400009853,-0.0039047883552457,0,0,0.182256740320201,0,0.0285129817180588,-2.16840434497101e-19,0,-0.58515976475326,0,0,0.193328972425896,0,0,0,0,0,0,0.199766883650201,0,0,0,0,0.0303148931044016,0,0,0,0,0,0,0,0,0,0,0.0305034383709705,0,0
X600779.SH,0,0.55971235767397,0,0,0,0,0,0.02308199060023,0,0,0,-0.00102721263439913,0,0,0,0.019566869957688,0,0,0,0,0,0,0,0,0.0296102478451814,0,0,0,0,-0.0230497369227383,0,0,0,0,0,0,0,0,0,0.227828439685087,0,0,0,0,0,0,0,0,0,0,0,-0.0137684194691702,0,0,0,0,-0.0877346828232382,0,0
X601799.SH,0,0,0,0.0611011468930503,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.273158421920983,0,0.12269975641365,0.0514688223951577,0,-0.0884189139970306,0,-0.13256220343685,-0.0643076517047699,0,0,0,0,0,0.0457370241875928,0,0,0,0,0.0759547927092446,0,0,0,0,0,0.145340290128261,0,0,0,0,0,-0.00159261841477712,0,0,0.0196092466375366,0,0,0,0,0.0553831300206154,0,0
X600702.SH,0.108368088276339,0,0,0,0,0,0,0,0,0,0.128448767902949,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0739164182475637,0.0493985661824382,0.0416995627315602,0,0,0.166187398585241,0,0,0,0,0,0.493222545437402,0,0.239868006135315,0,0,0,0,0,0,0,0,0,0.0564154503703847,0,0,0,-0.0498002119137083,0,0,0,0,0.00720330393197344,0,0
