,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X600104.SH,X002371.SZ,X003816.SZ,X000568.SZ,X000063.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000100.SZ,X300014.SZ,X000596.SZ,X002241.SZ,X002179.SZ,X002463.SZ,X600418.SH,X000977.SZ,X600584.SH,X600089.SH,X000157.SZ,X600066.SH,X600703.SH,X600372.SH,X600183.SH,X002028.SZ,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X600522.SH,X000921.SZ,X000066.SZ,X002156.SZ,X600460.SH,X600487.SH,X600839.SH,X600177.SH,X000988.SZ,X000661.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000157.SZ,0,0,0,0,0,0,0,0.0405183226749485,0,0,0,0.127507143648223,0,0,0.280032644114497,0,0,0,0,0,0.0921554884592126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573632335320017,0,0.00975104602274937,0,0,0,0,0,-0.0293221888250801,0,0,0,0,-0.0468755188788792,0,0
X600066.SH,0,0,0,0.0355164781964647,0,0,0,0,0,0,0.0432974462546239,0,0,0,0,0,0,0.159956091507414,0,0,0,0,0,0,0.00863226436347409,0,-0.194443709893682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462094345072694,0.0619125503934043,0,0,0,0.493822135415655,0,-0.0664230010463254,0.0576056482008019,-0.237405756647479,0,0,-8.67361737988404e-19,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0.0838031474638202,0,0,0,0,0,0,0,0,0,0,0.0215798935047027,0,0.0204327699817091,0,0.0328256621081463,0,0.0645990431298732,0,0,0,0,0,0,0,0,0,0.181544511009088,0,0,0,0,0.073517631718148,0,0.114171173399781,0,0.0220269038346856,0,0.0298312027622844,0,0,-0.0387315335917908,0,-0.00303855631274871,0,0,0,0,0,0
X600372.SH,0,0,0,0.0138959932723754,0,0.055274184660253,0,0,-0.0305829657126729,0,0,0,0.0681000154081717,0,0,0,0.101030128322591,0,0,0,0.224152138975572,0,0,0.226521311634553,-0.0591697980833923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329850818795808,0.0718037797244128,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.00361292017926937,0,0,0,0,0,0
X600183.SH,0,0,0,0.274765639375152,0,0,0,0,0,0.0354937016086316,0,0,0,0,0.0832549530973258,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0745266853801738,0,0.0421873100131723,0,0.2570643935689,0,-0.0372541326525436,0,0,0,0,0,0,0.00921651479192527,0,0,0,0.0632910382731347,0,0,0,0.0830156738780606,0,0,0,0,0,-0.0172583647186656,-0.00291099129882264,0,0,0,0,0,0
X002028.SZ,0,0,0,0,0,0.587403808826256,0,0,0,0.0214334025068795,0,0,0,0,0,0,0,0,0,-0.00700010988149331,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.135846415790192,0.130613497915208,0,0,0,0,0,0,0,0.0206933091368018,0,0,-0.0516660513014029,0,0,-0.00782074699709324,0,0.0559592486161177,0,0,0,0.0653827377538038,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.0584607760763111,0,0,0,0,0,0,0,0,0,0,0.00363307797526954,0,0,0,0,0,0.0738600143647961,0.0785779042467448,0,0,0,0,0,0,0.24817619752841,0,0,0,0,0,0,0.0105522644084493,0.0714275326279504,-0.049177983700289,0,0,-0.210143159206082,0,0,0,0.165818001188869,0,-0.0503779587137991,0.0464322376653873,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0.430629604900677,0,0,0,0,0.10272227591385,0,0,0,0,0,0,0,0,0,0,0,0.0838831404256367,0.173474497137974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445287490532504,0,0,0,0.0268015566314248,0,0,0,-0.0287305648206459,0.0170534402920859,0,0,0,-0.04084095267486,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,-0.0127076491760858,0,0,0.0735686457457743,0,0.185161696843969,0,0,0,0,0.0126456664853294,0.165258832183707,0,0.175366392118199,0,0,0,0,0.0983570180952225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535372035226387,0,0,0,0.0147436316963054,0,0,0,0,-0.033258427703355,-0.015444935646904,0.00625086489412264,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0.0268761152225812,0.10392759691785,0,0,0,0,0.0960707550519816,0,0,0,0,0,0,0.13163526110332,0.00663672003905821,0,0,0,0,0,0,0.127309752067014,0.083005332671826,0,0,0,0,0,0,0.0245782492393018,0,0,0,0,0,0.0110361563660843,0,0,0,0,0,0,0,0,0.0197614947930757,-0.000270350059947912,0,0,0,0,0,0
