,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000625.SZ,X002008.SZ,X600487.SH,X600809.SH,X601877.SH,X002241.SZ,X000100.SZ,X002508.SZ,X600066.SH,X002456.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600867.SH,X600271.SH,X600522.SH,X600089.SH,X000596.SZ,X600177.SH,X000157.SZ,X300136.SZ,X600566.SH,X002085.SZ,X000661.SZ,X000981.SZ,X600498.SH,X600699.SH,X300142.SZ,X002179.SZ,X600118.SH,X002129.SZ,X002180.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0,0,0,-0.152569834074613,0,0,0,0,0,0,0,-0.0953116454613607,0,0,0.217003862521003,0,0,0.00361723910280296,0,0,0.375426465559081,0,0,0,0.216119234380216,0,0,0,0.22312269767942,0,0,0,0,0,0,0,-0.118695407009055,-0.149306652094758,0,0,0,0,0,0.0387311973327836,0,0,0.0430825061254119,-0.0894456138068155,0,0,-0.0213133569906322,0.0338758006517332,0,0,0,0,0,0
X300003.SZ,0,0.138801507998787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16585085709854,0,0.100155932781877,0,0,0.0973756679731206,0,0,0,0,0,0,-0.0404012303297519,0,-0.204198026119144,0.0828619832849557,0,0.0765975359881639,0,0.0234638958075578,0.0993376338615778,0,0.127009576969202,0,0,0,0.0178908578743898,0,0,0,0,0,0,0
X002294.SZ,0,0,0.0460070046819505,0,0,-3.46944695195361e-18,0.229054550807638,0,0.0941199534445148,0,0.113838866968696,0,0.0888173298469696,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.00174810365285676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554667492219107,0,0,0.128251825306383,0,0,0,-0.0916998437227,0,0,0,0,0,0,0.0155540795024721,-0.0786541578363658,0,0,0,0,0,0
X600867.SH,0,0.0214873782501105,0,0.0247198736421198,0,0,0,0,0.0456525019136414,0,0.0825480791028166,0,0,0,0.118566543426181,-0.0955759659064717,0,0,0,0.174253990828289,0,0,0,0.0274207707284677,0,0,0,0,0,0,0,0,0.117583903278712,0,0,0,0,0,0,0,0,0,-8.470329472543e-22,0,0,0,0,0,0,0,0,-0.0105815072227911,0.0143240122960656,0,0,0,0,0,0
X600271.SH,-0.0303157246808604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000533776639390041,0,-0.232108192127333,0,0.0326025791694789,0,0.137429788499087,0.0906505880005339,0,0,0,0,0,0,0,0,0,0,0.226539941065767,0,0,0,0,-0.00193911518585389,0,0,0,0,0,0.242134710477505,0,0,0,0.209335917711297,-0.00724119748551516,0,-0.144770768249074,0.0192700642764206,-0.00717359019947489,-0.401192598314952,0,0,0,0,0
X600522.SH,0.27937062599981,0,0,0,0,0,0,0,0,0,0.185007628411616,0,0,0,0,0,0,0,0.135416048511743,0,-0.0377805675159994,0.150117210335064,0,0,0,0,0,0.140824220276914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.109163861941474,0.2212286213603,0,0.000436424212639513,0.0116270614040527,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0.0157715414918398,0,0,0,0.0975817507446718,0.0498691188401093,0,0,0,0,0,0.0760006605927332,0.0457029940218999,0,0,0,0.0240902377166354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118639546577633,0,0,0,0,0,0,0,0,-0.00249249200445519,0,0,0,0,0,0,0
X000596.SZ,0.0549125480073149,0,0,0,0,0,0,0,0,0,0.110620510638294,0.198751222121429,0,0,0,0,0,0,0,0,0.289702094715296,0.0196792217359587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112667080342466,0,0,0,0,0,0,0,0,0,0,-0.17599179311571,0,0,-0.0236325123297415,0.0491093563076244,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0711792173332186,0,0,0.0282631288989188,0,0,0,0,0,0,0,0.0520066258396451,0,0,0,0.0924541871403889,0,0,0,-0.00737932882174569,0,0,0,0,0,0,0,0,0,0,0.0349505459457498,0,0,0,0,0.0232197760848822,0,0.0151955975068193,0,0.00194979735744695,0.00420772791574507,0,0,0,0,0,0
X000157.SZ,0,-0.061791962333682,0,0,0,0,0,0,0,0,0,0,-0.0555416863000789,0,0,0,0,0,-0.0841625297729169,0,0.0209940033563179,0.170754747963102,0,0,0,0,0,0,0,0,0,0,0.0946921747571174,0,0.0544790384111217,0,0,0.0093388370443594,0,0,-0.0558796845841085,0,0,0,0,0,0,0,0.00613820641747727,0,0,0,0.0259645321211604,0,0,0,0,0,0
X300136.SZ,0,0,0.18859269457481,0.0215966749300638,0.365724083791749,0,0,0,0,0,0,0,-0.285004907025923,0,0.108800465174556,0,0,0,0,0,0.143323777204846,-8.67361737988404e-19,0,0,0,0,0.348233940031533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068300210359105,-0.194649124603126,0,0,0,0,0,0
X600566.SH,0,0,0,0,0,0,0,0,0,0,0.19579679289817,0,0,-0.0274671994191551,0,0,0,0,-0.03079161645954,-0.023759292091074,-0.011237340964986,0,0,0,0,-0.149241983191388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517903871328884,0,0.0571319715965707,0,0,0,-0.0261458235989869,0,0,-0.0550969609561036,0.0796843621468952,0,0,0,0,0,0
X002085.SZ,0,0,0,-0.143890862772635,0,0,0,0,0,0,0,0,0.0606314273663893,0,-0.0408159747499904,0,0,0,0,0,0,0,0,0,0,0,-0.0531611961063449,0,0,0.117493118461684,0,0,0.0152313027395454,0,-0.0238609873300658,0,0,0.0161053818891886,0,0,0.0917711011081407,0,0,0,-0.0417235447004985,0,0.133409279715156,0,0,0,0,0.0143520501962499,-0.0386959340792649,0,0,0,0,0,0
X000661.SZ,0,0,0,0,6.93889390390723e-18,0.106359680162658,0.0722434644207271,0,0,0,0.127955264187278,0,0.100825239238237,0,0,0,0,0,0,0,0,0,0,0.085658620624729,0,0,0,0,0,0,0.0664614547812569,-0.157893659982625,0,0,0,0,0,-0.0548747965994563,0,0,0,0,0.153622254563795,0,0,0,0,-0.0199535235307496,0,0,0,-0.00147435540063909,0.0127902906084141,0,0,0,0,0,0
X000981.SZ,0,0,0,-0.170552459014727,0,0.0928961474268739,0,0,0.0266508023264464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544041560919335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017364415071094,0,0,0,0,0,0,0
X600498.SH,0,0,0.0231362476578565,0,0,0,0,0,0.142432929257712,0,0,0,0,0,0,0.445860098291547,0,0,0,0,0,0.382058146226366,0,0,0,0,0,0,0.0836180659257651,0,0,0.122852113506027,0,0,0,0,0,0,0,0,0,0,0,0.0285471176755731,0.0113903619552888,0,0,0.0711456427797322,0,0,0,-0.0060555223567876,-0.00951984471130757,0,0,0,0,0,0
X600699.SH,0,0,0,0,0,0,0,-0.0283461558377044,-0.00903482673798343,0,0.159998866664278,0,0,0,-0.181582399915721,0,0,0,0.220373602515515,0,0,0.0485696686392394,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609322652663946,0,0,0,0,0,0,0,0.0447152799332416,0,0.087925653989224,-0.17856421858469,0,0,0,0,0,0,0,0,0,0,0,0,0
