,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600809.SH,X600703.SH,X300003.SZ,X002007.SZ,X000596.SZ,X600183.SH,X002371.SZ,X600741.SH,X300014.SZ,X300142.SZ,X000100.SZ,X002241.SZ,X000977.SZ,X300124.SZ,X601877.SH,X000157.SZ,X002236.SZ,X000800.SZ,X002463.SZ,X000625.SZ,X002129.SZ,X600118.SH,X002179.SZ,X002456.SZ,X300136.SZ,X600498.SH,X002223.SZ,X600271.SH,X002414.SZ,X600584.SH,X000066.SZ,X002049.SZ,X002185.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300136.SZ,0,0,0,0,0,0.0193506978522502,0,0.0226208343336214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113962375077707,0,0,0.180134942162572,0,0.0294446450947912,0,0,0,0,0,0,0,0,0.047004599017357,0,0,0,0.141907539359862,0,0,0,0,0.0470159922644083,0,0,0,0.176078927309064,0.0221341321675107,0,0.0189447796225389,0,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152659556383926,0,0,0,0,0,0,0,0.127930995435133,6.93889390390723e-18,0,0.0159482240216963,0,0.0149821510807763,0,0,0,0,0,0,0.0816426164425659,0.207684006948203,0,0,0.101067902192271,0,0.197546168983203,0,0,0,0,0,0,0,0,0,0.264445426717977,0.0260929868829251,0.0181008808026212,0.0186295690581993,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0.161220700623746,0,0,0,0,0,0,0,0,0,0,-0.27081312803851,0,0.261576718007438,0.299159771506378,0,0,0.112980851580324,0,0,0,0,0,0,0,0,0,0,-0.165466980961693,0,-0.0469389256958572,0,0,0,0,0,0,0,0,0.163823323002144,0,-0.247810486852024,0,-0.0187356542500846,0,0,0.00761906798569753,0.0333894550922451,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0.0905152020369695,0,0,0,0,0,0,0,0,0.08698906543446,0,0,0,0.116711980985533,0.00380909011821625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283610357266404,0,0.0422179844654743,-0.0261101953019058,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0.127552362259984,0,0,0,0,0,0,-0.201497422007671,0,0,0,0,0,-0.0414323871254432,2.16840434497101e-19,0.002306056385213,0,0,0,0.566713276465435,-0.13843465900806,0,0,0,0,0,0,0.00435668224396046,0,0,0,0,0,0,0,0.170508607178822,0,0,0,0.0512497789368842,0.13135754127534,0,0,0,0.0137394587400099,-0.0362309967089246,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00989558327549151,0,0,0.396905780435317,0,0,-0.0410827149419519,0,0.0293420744166902,0,0.202258348601541,0,0,0.0623487263181548,0.0438760247365556,0,-0.0796864112207393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161028554524801,0,0.151172017517081,0,0,0,0,0.0340981385800536,-0.00201890057145165,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,-0.101703354028877,0,0,0,0,0,0.00468780032708029,0,0.322625936344799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164817087949253,0,0,0,0,0.247697292207206,0,0,0,0,0,0.0121605186295718,0,0,0,0,0,0.183393975375054,0,0,0,0,0,0,0.0197900303090737,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0.0423125270298293,0,0,0.0164332913965149,0,0,0,0,0,0,0,0,0,0,0,0,0.280070043241222,1.0842021724855e-19,0,0,0,0.237351693875432,0,0,0,0,0,0,0,0,0,0,0,0,-0.00335336271112722,0,0,0,0,0,0,0,0,0,0,0,0,0.00236468095981383,0,0,0,0,0,0
X002185.SZ,0,0,0,0,0,0,0,0.057203619960904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304082196318833,0,0.030883239540587,0,0,0.118607624084523,0,0,0,0,0,0,0,0,0.489816638258604,0,0,0.0646678036992493,0,0,0,0,0,0,0,0,0,0,0,0.00328371509044235,0.0420762013910097,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,-0.0124043137078905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129349540086912,0.180869357117372,0,0,0,0,0,0,0,0,0,0,0,0.0590421985767524,0,0.0747014430394377,0,0,0.0548327303657137,0,0,0,0,0,0.0485269373576295,0,0,0.0588825709729352,0,0,0.0492277995017849,0.0281387358360875,0,0.124938197606607,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216755436129636,0.529835043256452,0.129910587734643,0,0,0,0,0,0,0,-0.204823422567867,0,0,0,0,-0.149347015441227,0.186761718315755,0.237480026022115,0,0,0,0,0,0,-0.0829675680019312,0,-0.252417661913176,0,0,0,0,-0.131344227892897,0,-0.0476904729417002,-0.0769209090551589,0,0,0,0,0,0
