,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X002292.SZ,X600703.SH,X000100.SZ,X600066.SH,X600741.SH,X600031.SH,X600118.SH,X002506.SZ,X002241.SZ,X002236.SZ,X002475.SZ,X000559.SZ,X000157.SZ,X600372.SH,X600177.SH,X000568.SZ,X000338.SZ,X002074.SZ,X300003.SZ,X300124.SZ,X600089.SH,X002294.SZ,X002085.SZ,X002465.SZ,X002049.SZ,X600867.SH,X600498.SH,X601877.SH,X002456.SZ,X002007.SZ,X600582.SH,X002180.SZ,X000981.SZ,X000869.SZ,X300001.SZ,X000050.SZ,X000623.SZ,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000157.SZ,0,0,0,0,0,0,0,0.167777732787264,0,0,0,0,0,0,0,0,0.293373874315048,0,0.0957739418501046,0,0.0695267344825416,0,0.0410347501177154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.00321728376483568,0,0,0,0,0.068566470461578,0,0,0,0.0273369409011825,-0.0140980201524034,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388709029608657,0.0978559696608395,0.196353156179692,0,0,0,0,0,0.0438424976803088,0,0,0,-0.00744725626689836,0,0,0,0,0,0,0,0.0257564094601732,0,0.12706062262335,0,0,0,0,0,0,0,0,0.0411468541491143,0,0,0.0189939658590363,0,0.0149659189068497,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108252744474658,0,0,0,1.73472347597681e-18,0,0.0342758392131968,0.0472316491174612,0,0.11808596248868,0,0,0,0,0,0.0590339580687837,0,0,0,0,0,0,0,0,0,0,0,0.0517078684461266,0,0,0,0,0,0,0.507057683771785,0,0,-0.00455995877015295,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0076321195611978,0,0,0,0,0,0,0.00389347557524346,0,0,0,0.0195463925295605,0,0,0.031463319329715,0,0.0419783062578612,0,0,0,0,0,0,0,0,0.139736164197085,0,0,0.0642231763706677,0.0942889503863407,0,0,0,0.210279186473924,0.0458169567125189,0.068341584614399,0,0,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0.15005881360379,0,-3.46944695195361e-18,0,0.109926112768135,0,0,0,0,0.298930333351562,0.150320318497364,0,0,0,0,0.0781526071668755,0,0,0,0,0,0,0,-0.0575450970307268,0,0,0,0,0,0.125200281605566,0.070149046274938,0,0,0,-0.0488058979218361,0,-0.0140883138049611,0,0,0,0,0,0,0.0192244801888327,-0.0296779512924402,0,0,0,0,0,0
X002074.SZ,0,0,-0.278077423993237,0,0,-0.0387074752218661,0,0,0,0.0450812780924225,0,0.176607986124841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112329566802063,0,0,0,0,0.36404725352623,0,0,-0.103415576069458,-0.2645389118681,0,0,0,0,0.128690039484418,0,0,0.032128517467879,0,0,0.281468106481501,0,0,0.0206672879167693,0,0.0089880944779879,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259165816689603,0,0,0.0053921164881596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440579339547713,0.0820012940147671,0.0163102563329171,0,0.218010957477391,0,0,0,0.0422160399033541,0,0,0,0,0.0266964288027658,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609410261438271,0.0779955961794685,0,0,0.043080327391379,0,0,0,0,0,0.083873417155412,0,0,0,0,0,0,0,0,0.064333287792437,0.0741581765169146,0.0428896790543917,0.234384341913408,0,0,0,0,0,0.257228462685224,0,0,0,0.00941457687793005,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0.216561867274313,0,0,0,0,0,0,0,0,0.10181274776599,0,0.00666517731468107,0,6.93889390390723e-18,0,0.0692552709238501,0,0.0459014160203927,0.162085896370248,0,0.00032187485486301,0,0,0.0261102518511596,0,0,0,0.00288581345632403,0,0,0.0299814414841418,0,0.0647019131848764,0.0943374274064833,0,0,0,0,0.0533970774306993,0,0,0,0,0.0127207934411975,0,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549336833582897,0.0264050025762321,0.00613986417306693,0,0,0,0.114961108632246,0,0,0,0,0,0,0,0.0597186546264486,0.270854631275423,0,0.0544977862313259,0,0,0,0,0,0.0102143000897456,0,0,0,0,0,0.0243710889395454,0.0258684955432287,0,0,0,-0.00447200060037889,0,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0,0.170713635201431,0,0,0,0,0,0,0,0,0,0.141229729017816,0,0,0,0.155098203259421,0,0,0,0,0,0,0,0,0.241598786999721,0,0,-0.511925769435797,-0.0310852148534085,0,0,0,0,0,0.149100878064501,0,0,0,0.00625960725011941,0,0,0.0416962932347064,0,-0.0192734377900585,0,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0767310650466239,0,0,0,0,0.0683852939678804,0.289778473289855,0,0,0,0,0,0,0,0,-0.681396010804454,0,0.186661291350057,0,0,-0.15946344568242,0,0,0,0,0,0.178576665744737,0,-0.224365771952833,-0.120574024901523,0,0,0.295583767621555,0,0,0,0,-0.0144321687089273,-0.103803737683654,0,0.141003821087973,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0982592317198139,0,0,0,0,-0.0804231726682509,0,0,0,0,0,0,0,0.0697051567761986,0,0,0,0,0,0,0,0,-0.27378474770843,0.137585266762806,0,0,0,0,0,0
X600867.SH,0,0,0,0.196437196757176,0,0,0,0,0.0375807703564338,0.000312377652302636,0,0,0,0,0,0,0,0,0.188882643780482,0,0,0,0,0,0,0.302018173756908,0,0,0.0040032368072923,0,0,0,0,0,0,0,0,0,0,0,0,0.0182382410014026,0,0,0,0,0.0699703574758903,0.0351488597189281,0,0,0.0110761662006886,0,0,0,0,0,0,0
X600498.SH,0.718189024148849,0,0,0,0,0,0.0179734140427957,0,0,0,0,-0.182897270652455,0,0,0,0,0,0,0.218431190025433,0,0,0,0,0,0.154451122431015,0,0,0,0,0,0,0,0,-0.0262152706909686,0,0,0.0835541391289264,0,0,0.0816013912605441,0,0,0,0,0,-0.230385048491586,0,0,0.537828965197503,0,0.0402014801803131,0,0,0.365004431604032,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0.0370165346936024,0,0,0,0,0,0,0.0769050903860346,0.0407900951592963,0.0856449377645791,0,0.226139214714215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142854180118367,0,0,0,0,0.14218461024217,0.0227819105352237,0,0,0.195492985378347,0,4.33680868994202e-19,-0.038028278726325,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277299199637492,0.35989277691716,-1.73472347597681e-18,0,0,0,0.161575672135679,0,0,0,0.101765174127539,0,0.0412844043134546,0,0,0,0,0,0,0.036525231981001,0,0,0,0,0,0,0,0,0,0,0,0,0.00768421136395904,-0.0515390111209216,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062902798839254,0,0.0123501264817629,0,0,0.0914496291981332,0,0,0,0.290746516851253,0,0.021795199639099,0,0,0.257519023874541,0.110643710917943,0,0,0.0500440140398089,0,0,0.00829472097210545,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402885310870329,0,0.0370562365502054,0,0,0,0,0
X600582.SH,0,0,0.00809562492878119,0,0,0,0,0,0,0,0,0.109696430740698,0,0.0999258153169398,0,0,0,0,3.46944695195361e-18,0,0,0,0.191078520929802,0,0,0,0,0,0,0,0.0792048065795722,0,0,0,0,0,0.161518236747327,0,0.0186234147133769,0,0,0,0,0,0,0.0883947688711138,0.0184446670061837,0,0,0,-0.00685499412797993,0,0,0,0,0,0,0
