,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X600031.SH,X300124.SZ,X300014.SZ,X000725.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000338.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000625.SZ,X000661.SZ,X300142.SZ,X002049.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X601877.SH,X600702.SH,X000799.SZ,X002007.SZ,X600584.SH,X000157.SZ,X002074.SZ,X600741.SH,X002236.SZ,X600183.SH,X002414.SZ,X600779.SH,X601799.SH,X600089.SH,X300146.SZ,X000800.SZ,X300003.SZ,X600884.SH,X000977.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002241.SZ,0,0,0,0.100557881384248,0,0,0,0.339162042488135,0,-0.248011063008845,0,0,0,0.0961771695226446,0.24015573042566,0,0,0,0,0,0,0,0,0,0,0,-0.27282967916265,0,0,0,0,0,0.200952269632504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00654445250489977,0,0.0501148495545428,0,0.132943708143103,-0.182673265177069,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186747401901119,0,0,0,0,0,0,-0.0512639477569236,0,0,-0.00274599389460663,-0.0227593773858154,0,0,0,0,0,0,-0.0115941821482597,0,0,0,0,-0.00943438781457218,0.0316391379941814,0.0701393922239997,0,-0.0567342013886104,-0.0121166907910044,-0.0472852571518729,0,0,0,0,0,0,0.00380184392273677,0,0.0187034883084995,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.57523299593493,0,0,0.115755043964038,0,0,0,0,0,0,0,0,0,0.206912291044544,0,0,-0.14435475211315,0.0820929332588782,0,0,0,-0.110607989323686,0,0,0,0,0.115336693653139,0,0,0,0,0,0,0,0,0,0,0.359672550750552,0,0,0,-0.130065279270696,-0.214772667007123,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0.122534721880544,0,0,0,0,0,0,0,0.205522403467857,0.143222838905524,0,0,0,0,0,0.0712662563847697,0,0,-1.73472347597681e-18,0,0.267121947361711,-0.0691392958322966,0,0,0,0,0,0,0.173497236305692,0,0,0,0,0,0,0,0,-0.161840412191996,0,0.159346653110646,0,0,0.353350050475397,0.115992385644898,0,-3.46944695195361e-18,0,0,-0.122696668422308,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0.0990726468560751,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.09824911509833,0,-0.141920004250532,0.204629577866555,0,0,0,0,0,0,0.321640900525245,0,0,0.330362839289081,0,0,0,0,0.0766312063666646,0.00977359154523082,0,0,0,0,0,0,0.351417989582673,0,-0.0977624510481118,-0.0598547846408022,0,0,0,0,0,0
X002049.SZ,0,0,0,-0.0439381115247556,0,0,0,0.119964193584978,0,-0.143696723118933,0,0,0.0629929587893061,0,0,0.19198911686937,0.132286208063938,-0.0658175135513638,0,0,0,0,0.094472193155468,0,0,0,0,0,0,0.0173911317517131,0,-6.93889390390723e-18,3.46944695195361e-18,0,0.0480426324434154,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.105952946803038,0,-0.0205937933940368,0,-0.0638442066415689,0,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0.397104478132568,0,0.133502604258272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102893455972614,0,0,0,0,0.373157237186203,0,0,-5.42101086242752e-20,0.116159848329035,0.267494533177907,0,0,0,0,0,0,0,0.3313694288171,0,0,-0.176614629051068,0,0,0,0.0525015993120061,0,0,0,-0.0986490871181342,0,0,0,-0.116543427898637,0,0
X000100.SZ,0,0,0,0,0,0,0,0.0502211091304563,0,0,0,0,0,0.0543719505857689,0.687993332562876,0,-0.015780497664299,0,0,0,0,0,0.022314095152413,0,0.0932124594797219,0,0,0,0,6.93889390390723e-18,-0.0518332934817916,0,0,0,0,0,0,0,0,0,0,-0.00747754363782157,0,0.0427482514366426,0,0,0,0.0106583667996662,0,0.00356908207967905,0,0,0.0143649600402611,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0.245102682229108,0,0,0,0,0,0,0,0,0,0,0.0589605372099987,0,0,0,0.387624600482503,0,0,0,0,-0.0113390827911184,0,0,0,0,0.0253702570039029,0,0,0,0,-0.167091914930523,0,0.126476606163472,0,0,0,0,0.211006053087274,0.00252030815020022,0,-0.0337290736184818,-0.0951621307854344,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,-0.0434821113612317,0.136096337260222,0,0,0,0,0,0,0.146956370103504,0.0967244005487894,0,0,0,0.262530296865619,0,0,0,-0.443421051680313,0,0,-0.422675585678723,0,0,0,0.205879023681181,0.196119984159079,0,0,0.768778015048978,0,0,0,0,-0.260744238890067,0,0.0462206547169442,0,0,0,0,0,0.0986598651826777,0,0,0,0,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0.0472282402969611,0,0,0,0,0.055577093330159,0,0,0.0891476733565966,0,0,0,0,0,0,0,0,0,0,0,0.0439581161553094,0,0,0,0,0,0,0,0,0,0,0,0,0.112784123176851,0,-0.00841892310261478,0.204813847771478,0,0,0,0,0,0,0,0,0.0322819728211114,0,0,0,0,0,0,0,0,0
X600702.SH,0,0,0,0,-0.376748321373477,0,0,0,-0.378993603260699,0,0,0.248808568983034,0,-0.151275650556156,0,-0.0454696168637939,0,0,0,0,0,0,0,0,0,0.0657370409222578,0.351947988141248,0,0,-0.128378716715982,-0.149889584095193,0,0,0,0,0,0,0.229942066369652,0.591202400247212,0,0,0.347160510992329,0,-0.112281141201595,0,0,1.73472347597681e-18,0,0,-0.0937962811882785,0,-0.0644284061850956,0.349026146334698,0,0,0,0,0,0
X000799.SZ,0,0,0,0.56237962739707,0,0,0,0,0,0,0,0,0,0.0439038557007212,0,0,0.0813333750234154,0.0734885743663245,0,0,-0.0342536698567799,0,0,0,0,0,0.00103975698429183,0,0,0,0,0.0173340683355297,0,0,0,0,-0.0819231229363421,0,0,0,-0.00699693372007213,0.229518281269861,0,0,0.216687094194347,0,0,0,0,-0.00481170909579391,0,0,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0.0901030412137794,0.0488569917021859,0.0545499142092214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741195765448389,0,0.0665817636536181,0,0,0,0,0,0,0,0.139252539879602,0,0,0,0,0,0,0.0382131058725722,0.0972342312796507,0,0,0,0.0828267465712294,-0.0502168754934043,0,0,0,0,-0.0766543075401528,0,0,0,0,0,0
X600584.SH,0,0,0,-3.46944695195361e-18,0,0,0,0.184314162712975,0.145880190537566,0,0,0,0,0,0,0.00103342187199873,0.0386875085001178,0,0,0,0,0,0.214313794269669,0,0,0.106346952002081,0,0,0,0.0284824987386519,0,0,0,0,0,0,0,0.0624056669653067,0,0,0,0.0309732112066169,0,-0.134477067394895,0,0,0,0,0,-0.110233567670087,0,-0.0412499650819983,-0.0474914254264551,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0.108298695382148,0,0,0,0,0.389813763246389,0,8.67361737988404e-19,0,0,0,-0.00537097339939145,0,0,0,0,0,0,0,0,0,0,0,0,-0.105737657842,0,0,0,0,0,0,0,0,0,0,0,0,0.0687303886506556,0,-0.0330832447348527,0,0.0601447304286743,0,0.0521685115950933,0,0.0146756389209817,0,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0.0541866479238969,0,0,0,0,0.0729548040160867,0,0.207310969540973,0,0.108565786901763,0.102286483098615,0,0,-3.46944695195361e-18,0,0,0.0185504214085815,0.111134983933265,0.0439661725517398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00295279411686515,0,0,0.0141461525671892,0,0,0,0.0438740783952315,0,0,0.0932860390082167,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0.117212128990813,0,0.0569698769231275,0.0114589804080769,0.126640620237002,0.00313864390389732,0,0,0,0,0,0.200577803812537,0,-0.0625714307455421,0,0,0,0,0.279041688445711,0,0,0,0,0,0.141371495118768,0,0,0,0.0955135015727203,0,0,0,0,0,0,-0.10438386975386,0,0,0,0.119683433072845,0,0,-0.0209045880150137,0,0,0,-0.116322930567359,0,0,0,0,0,0
