,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002241.SZ,X000063.SZ,X002371.SZ,X600703.SH,X003816.SZ,X000338.SZ,X002049.SZ,X002129.SZ,X000596.SZ,X000625.SZ,X601877.SH,X000661.SZ,X002179.SZ,X300142.SZ,X600741.SH,X000100.SZ,X002074.SZ,X600089.SH,X600460.SH,X002180.SZ,X600702.SH,X000157.SZ,X002236.SZ,X600884.SH,X000733.SZ,X000799.SZ,X002007.SZ,X002414.SZ,X601799.SH,X600779.SH,X600183.SH,X600584.SH,X002008.SZ,X600522.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0.0915197447683855,0,0,0,0,0.104841569226356,0,0,0,-0.0161183420482714,0.115780077008097,0.0432348722786444,0,0.0837355476613032,0,0,0,0,0.0112680751941334,-0.00819100011824002,0,0,0,0,0,0,0,0,0,0,0.0692149908244934,0,0,0,0,0,0,0,0,0,0.00473905208770546,0,0,0,0,0,-0.0436227515758706,0,0,-0.0135099597031323,0,0,0,0,-0.0229470257391519,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240606214002394,0,0,0,0,0.0930475574779587,0,0.0610009094399475,0.045292333661506,0,0,0,-0.107412318017108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417035357501424,0.27070077520403,0.0310138275095912,0,-0.0506008078364487,0.135956311471758,0,0,0,-1.73472347597681e-18,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0.0841453739080901,0,0,0.0441715004189431,0.0959819268487536,0.0128098905793944,0,0,0,0,0,0.423818255523481,0,0,0.10358980459405,0,0,0,0.158245383806352,0,0,0,0.0074598253854529,0,0,0,0,0,0,0,0,0,0,-0.0970452326916639,0,0,0.0127765094310473,0,0,0,0,0,0,0,0,-0.0309074945405759,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645305005049053,0,0,0,0.289878450632791,0,0,0,0.055692641664951,-0.0392316778781995,0.0598892654213528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280434549405537,0.0358089071417347,0,0,0,0,0,0,0,0,-0.00457045256028623,0,0,-0.0202518947299534,0,0,0,0,-0.0727150164337377,0,0
X002180.SZ,0,0,0,-0.0498022952606021,0,0,0,0,0,0,0,-0.0147423535917275,0,0,0,0,0,0.0584846025667041,0.152176662888941,0,0,0,0,0,0.0469825737298548,0,0,0,0,0,0,0,0,0.0157218157478675,0,0,0,0,0,0.113332601856591,0,0,0,0,0,0,0,0,-0.0281466142083257,0,0,0.0101766284627276,0,0,0,0,-0.0320074411231277,0,0
X600702.SH,0.24243914409743,0,0,0.112746967499963,0,0.0949504189848209,0,0,0,0,0,0,0,0,0,0.133474107746233,0,0,0,0,-0.1574536137355,0.0673347739773962,0,0,0,0,0,0,0,0.0188329914643396,0,0.0343985751403332,0,0.12598065693698,0,0,0,0,0,0,0.120535104742904,0,0,0,0.159288927002202,0,0,0,0,0,0,0,-0.0172368110319367,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0.0500967505781284,0,0,0,0,0,0.0141463866308542,0,0.188005900666589,0,0,0,0,0,-0.0381906524455893,0,0.0681956611789232,-0.018853773123323,0,0,0,0,0,0,0.0323091919286985,0,0.0619741561713563,-0.0181820804422145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0432743480175974,0,0,-0.000568534123584297,0,0,0,0,-0.0504309790559765,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0.0565227372318586,0,0,0,0,0,0,0.0745212164135062,0,0.131270201171475,0,0,0,0,0,0,0,0,0.207061051519986,0,0,0.0160674609180083,0,0,0,0.135284710409654,0,0,0,0,0,0,0,0,0,0.0900132698514279,0,0,0,0,-0.0385801897084848,0,0,0,-0.0040942927335709,0,0,0,0.00602953238474786,0,0
X600884.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217595443370392,0,0,0,0,0,-0.0924209942028856,0.00896277922286202,-0.290512190776102,0,0.0327875571274683,0.111568870639494,0,0.00579602847732508,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140215165271033,0,0,0,0,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,-0.0548429900018408,0,0,0,0,0,0.0519749562900626,0,0,0,0,0,0.215199427384886,0.0468139797074986,0,-0.0224317550291442,0,0.0847969955373181,6.93889390390723e-18,0,0,0,0.279518616537313,0,0,0,0,0,0,0,-0.10226400377408,0,0,0,0,0,0,0.179486646792793,0,-0.0162032250257521,0,0,0,0,-0.641834388471442,0,0.0226344867882107,0,0,0,0,0,0,0
X000799.SZ,0.472991602076101,0,0,0,0,-0.102984124010798,0,0,-0.0899290123602804,0,0,0,0,0,0,0,0,0,0,0,0.0452775272584835,-0.0889422247407554,0,0.241551479706708,0,0,0,0,0,0,0,0,0,0,0,0.218038817662305,0,0,0,0,0,0,0,0,0.0814205645203994,0,0,-0.0235318939996748,0,0,0,0,-0.00991095909323009,0,0,0,0.0797194803177241,0,0
X002007.SZ,0.0375835601531569,0,0,0,0.0271173469826133,0.0668118562686476,0.274740516769475,0,0,0,0,-0.015323252374985,0,0,0,0.118258743348724,0,0,0,0,-0.0184638680137522,0.0233904090357752,0,0,0,0,0,0,0.0376442232820179,0,0,0,0,0,0,0,0,0.0188524523786555,0,0,0,0,-0.0104587808324057,0,0,0,0,0,0.0749630555643153,0,0,-0.0412256746372443,0.0878589922004818,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0.0762469217255962,0,-0.806038152726073,0,0,-0.0192641469202377,0.137070083421343,0,-0.107544059988253,0,0,0,0,0,0,0,0,0,0.0195647396092512,0,0,0,0,0,0.379763193055674,0,0,0,0,0,0,0,0,0.230986863240361,0,0,0,0,0,0,0.43065437363452,0,0.0273841558113212,0,0,-0.0163706688287421,0,0,0,0,-0.0297230229919403,0,0
X601799.SH,0,0,0,0,0,0,0,0,0.135906982426124,0,0,-0.0343653582741001,0,0,0,0,0,0,0.00780357631423707,0.00550893436932035,0,0,0,0,0,0,0.0258793311787158,0,0,0,0,0,0,0.261406828751619,0,0.0790003381886335,0,0,0,0,0,0,0,0,0,0,0,0,-0.0379757227821544,0,-0.0033083983687689,0,-0.00297460312295096,0,0,0,0,0,0
X600779.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119414083425468,0,0,0,0,0.0560844632064209,0,0,0,0,0,0,0,-0.038498384606907,0,0,0,-0.0863818571439127,0,0,0.0294248040748929,0,0,0,0,0.22040010196407,0,0,0,0,0,0,0,0.0434555185300443,0.0430026960359952,0,0.0232515553675677,0,0,0,0,0.0260788965135505,0,0
X600183.SH,0,0,0,0,0,0.115786218593574,0,0.0134472798454147,0,0,0,0,0,0,0,0,0,0,0.0777739651812597,0,0,0,0,0,0,0,0,0,0,0,0,0.122510110843824,-0.215320909191486,0,0,0,0,0.0845820698871586,-0.0182574198300672,0,-0.084338877319952,0,0,0,0,0,0,0,0,0,0,0,-0.00498237156999281,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,-0.180743562368191,0.26039663461073,0.0392370538880924,0,0,0,-0.0463873345881984,0.0751742150463175,0,0,0,0,0,0.155478524227947,0,0,0.0803212560050819,0,0,0,-0.0872788917399459,0,0,0.029595838028784,0,0,0,0,0,-0.0870589447515058,0.154737305587589,0,0.128102716700857,-0.0203783519656003,0,0,0,0,-0.0326270975700582,0,0,0,0,0,0,0,-0.0213071486845443,4.33680868994202e-19,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0421049899594006,0,0.0434632496682782,0,0,0,0,0,0.0374036906018211,0.179838089150264,0.0706913403445674,0,0,0,0,0,0.0817758651426705,0.111843620655604,0,0,0.0723570822247143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00801640800650321,-0.0372747169410055,0,0,0,0,0,0
X600522.SH,0,0,0,0,-0.0671873519324601,0.10482462073673,0,0,0,0,0,0,0,0,0,0.333186968274676,0,0.1807742128886,0,0,-0.263930811723113,0,0,0,-1.38777878078145e-17,0.15776665063442,0,0,0,-0.00754396294781676,0,0.174632578704642,0.106049211407555,0,-0.221825962262082,0,0,0.0929318193715424,0.258363720497141,0,0,0,0,0,0,0,0,0,0,0,0,0.0358145367476953,0,0,0,0,0.00881018832304468,0,0
X000977.SZ,0,0,0,0,0,0.0591053255728218,0,0,0,0,0,0,0,0,0,0.00571510403907371,0,0,0.109316077214668,0,0,0,0.00309581449567894,0,0,0.0340754021682412,0,0,-0.0738838582971128,0,0,0,0,0.020937533685287,0,0,0,0,0,-0.0197983209483903,0,0,0,0,0,0,0,0.118787140704916,0,0,0,0,-0.133901320795171,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.0522700690674595,0,0,0,0,0,0,-0.0123520241599724,0.182943107926797,0,-8.67361737988404e-19,-0.148909716158281,0,0.0053062886445092,0,0,0,-0.0555706141512055,0,0.0683303699795037,0,0.0963155396961781,0,0,0.0143541658638864,0,0,-2.16840434497101e-19,0,0.0792027298542622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829095980395818,-0.277101435780108,0,0,0,0,0,0
Slope,0,0,-0.372511116955869,0,0,0,0,0,0,0,-0.0257068834831248,0.123716055408622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0948101426032664,0,0.0746387881420267,0,0,0,0,0,0,-0.185694072867124,-0.0172998520175163,0,0,0,0,0,0,0,0,0,0,0.149435066635196,0,1.09488295018354,0,0,0,0.765041778407741,0,0
TED,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.0933193980264738,0,0,0,0,0,0,0,-0.0942736349388717,0.0060939191416094,0,0,-0.147683443027773,0,0,0.0313469270747207,-0.0856020393570433,0,0,0.0445702381093795,0,0,-0.188568421772111,0,0,0,0,-0.0846443718136754,0,0,0,0,0,0.159478791043517,0,-0.450636879912892,0.509441410608328,0,0,0,0,-0.870096081863345,0,0
RealEstate_excess,0,0,0,0,0,0,0,0.074383214138351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109628640528201,0,0.0418953604995421,-0.055973394464241,0.0174554257862356,0,0,0,-0.0165630970719005,0,-0.0175378396429014,0,0,0,-0.021233954213695,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292247442613586,0.0166372798102097,0,0,0,-0.00642846778513689,0,0
MKreturn,0,0,0,0,0,0.00804030330068143,0,-0.0130881088829316,0,0,0,0,-0.0137447289968493,0,0,0,0,0,0,0,0,0,-0.0965270766209288,0,0.104333042089077,0,0.0355261870133074,0,0.0522985738636541,0.0220464598092319,0,0,0,0,0,0,0,0,0,0.0122836233591641,0,-0.0242141227797421,0,0,0,0.0237669235096623,0,0,-0.0446828369505439,0,0,0.00325430399210274,0,0,0,0,0.0180108233295681,0,0
MKvol,0,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,-2.71050543121376e-20,0,0,0.000497205026873907,0,0,0,0,0,0,-0.00122970309170325,0,0,0.00026417813678322,0,0.000517463055030173,0,0,0,0.00134434112630061,0.000346475302932618,0,0,0,-0.000112657051312211,0,0,0,0,0,0,0.000174642951554716,0,0.0102357793231796,-0.0104483977685106,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,-0.220589263277298,0,0.0549538549175777,0,0,0,0,-0.180477249152577,0,0,0.250321344848536,0,0,0,0,0,0,0,0,0,0.234150031057604,0.00624142223424536,0,-0.0328952515038872,0.112756648039844,0,0,-0.103553136207868,0,0,0.0098268062949651,0,0,0,0,-0.0144065285074028,0,0,-0.264899612612265,0,0,0,0,-0.000607782939971865,0,0,0,0.481737314585345,-0.990614079195062,0,0,0,0,0,0
