,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X000063.SZ,X002371.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X002236.SZ,X600372.SH,X000661.SZ,X002241.SZ,X002049.SZ,X000157.SZ,X600741.SH,X600584.SH,X000977.SZ,X601877.SH,X600522.SH,X000800.SZ,X002007.SZ,X002074.SZ,X600183.SH,X601799.SH,X600460.SH,X002463.SZ,X600418.SH,X002180.SZ,X300142.SZ,X002028.SZ,X002294.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,0,0,0,0,0,0,0.00295659818142561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242034571401549,0,0,0,0,0.0356657390862164,0.163604407546099,0,0,0,0,0,0,0,0.350556124176663,0,0,0.0858508134843766,0,0,0.0203721613929236,0.022120116981098,-0.297737191475019,0,0.0958214916536849,0,0,0,0.136225218608013,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179855233147924,0.0198740417487873,0,0,0.0507960426447369,0,0,0,0,0,0,0,0,0,0.102992606390836,0,0,0.180592236259846,0.028874365494653,0,0,-0.00864508293236649,0,0.299544302755289,0,0,0,0,-0.0227144778664306,0,0.230401253743325,0,0,0,0,0.00707587121912127,4.33680868994202e-19,0,0,0,0.0680518120115426,0,0
X002236.SZ,-0.0622767319196422,0,0,0,0,0,0,0,0.0807230494141523,0,0,0,0.132276314653101,0,0,0,0.149750069678497,0.559879145241276,-6.02705313324427e-05,0,0.0449215143381742,0,0,0,0,0,0,0,-0.134597120699735,0,0,0,0,0,-0.0481694326706975,0,0,0.00535053126924348,0,0,0,0,0,0,-0.0498348877312858,0,0,0,0.0487333515699711,0,0,-0.00949677581935338,0,0,0,0,0,0,0
X600372.SH,0.0247031077193388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907698452661691,0,0,0,0,0.00914688016779915,0,0,0,0,0,0.106627748877224,0,0,0,0.0108127756764651,0,0.00117166798372149,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0666060481741041,0,0,0,0.118182119789735,0,0,-0.090860235757591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0371938692615241,0.0984314247509848,0,0,0,0,0,0.430744711878284,0,0,0,0.00780190151552326,0,0.216752151124638,0,0,0.0142576434621694,-0.0508921056732612,0.00124076801090837,-3.46944695195361e-18,0,0,0,-0.0837860885865555,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723357846139499,0,0,0,0,0,0,0,0,0.0453408558188305,0,0,0,0,0,0,0.170622129945277,0.0120520574861497,0,0,0,0,0,0.210238834808966,0,0,0.0969588164624305,-1.73472347597681e-18,0,0.0180772576894384,-0.0417598338057533,0,0,0,0.0428965397780929,-0.0876496835614015,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018045568792668,0,0,0.102107616083495,0,0.189666827789662,0,0.0902193064817791,0,0,0,-0.0125560647390894,0,0,0.0821532484340113,0,0.0322089393101538,0,0,0,0,0,0,0,0.301472470452173,0,0.117932791497393,0,0.0176682661927642,0,-0.203633147890246,-0.229374319083364,0,0.0832670506372624,-0.201635021968567,0,0,0,0,0,0
X000157.SZ,-0.0314515182636319,0,0,0,0,0,0,0,0,0.0880808709740407,0,0.00456174180835073,0.137378546293013,0,0,0,0,0,0,0.324502592807632,0,0,0,0,-0.143636574576968,0.139746437144004,0,0,-0.00754775486298104,0,0,0,0,-0.0247209334570436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192019492611516,0,0,0.00712184023347357,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669312058156094,0,0,0,0,0,0,0.132558019113179,0,0,0,0,0,0,0,0,0.195732985430485,0.212824909987079,-0.000673278706808226,-1.35525271560688e-20,-0.201516698087383,-0.00121266874643552,0.0519110531906684,0,0,0,0.116764303146145,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180437016091154,0,0,0,0,0,0,0,0.161575767502865,0,0,0,0,0,0,0,0.00202329406324824,0,0,0,0,0,0,0,0.242773692183131,0.10497245372248,0.0352463309080884,0.0481489475399852,0.062935749415469,0,0,0.158559563306378,0,-0.0180474557627116,0,0,0,0,0,0,0
