,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X003816.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600703.SH,X600809.SH,X600690.SH,X002371.SZ,X000596.SZ,X002007.SZ,X300003.SZ,X000100.SZ,X002241.SZ,X600183.SH,X300142.SZ,X600741.SH,X300014.SZ,X000977.SZ,X300124.SZ,X601877.SH,X002129.SZ,X000157.SZ,X600584.SH,X002236.SZ,X000625.SZ,X000800.SZ,X002049.SZ,X002463.SZ,X000066.SZ,X002414.SZ,X002456.SZ,X300136.SZ,X600498.SH,X600118.SH,X002179.SZ,X002185.SZ,X600522.SH,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X003816.SZ,0,0,0,0,0,0,0.0385871124097122,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0291759968706723,0,0,-0.102019536334433,0,0,0,0,0,0,0,0.0118890685401244,0.0134187901739022,0,0,0,0.0347705255964936,0,0,0,0,0,0,0,0.213820666863004,0.0170234572537099,0.0511683459328962,0,0,0,0,0,0,0,0,-0.0090223939550653,-0.00881087672118263,-0.0553064143973848,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,-0.0924391438038532,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.0542470094535444,0,0,0.0128046411791879,0.0794774333460548,0.555739184589302,0,0,0,0.149077020241569,0,0,0,0,0,0,0,0.0336136958717469,-0.011228420823651,0,0,0,0,0,0,0,0.0142852043168499,0.0426716754657161,0,0,0,0,0,0,-0.000214577018504776,-4.33680868994202e-19,0,0,0,0,0,0
X000661.SZ,0,0.0586236299295884,0.563955378718352,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114951886786486,0,0,0,0,0.169879355687532,0,0,0,0,0.0289189873882447,0,0,-0.0842090317833468,0.0802732549241478,0,-0.0232575947056832,0,0,0,0,0.00721454922315129,0.0423296649766894,0,0,0,0,0,0
X000568.SZ,0,0.684336675512197,0,0,0.0183224905226394,0,0,0,0,0,0,0,0,0,0,0.045357564621771,0.0702763331105598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434138995698228,0,0,0,0,0,0,0,0,0,0,0,0,0.0257759330101305,0,0,-0.0135114086270571,0.0105361411370402,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0.00908859643211498,0,0,0,0,0.073536840069726,0,0,0,0.210918844599649,0,0,0,0.0870568849246843,0,0,0,0,0,0,0,0,0.0352440113533044,0,0,0,0.119540737979024,0,0,0,0,0,0,0,0,0.117596061739154,0,0,0,0,-8.67361737988404e-19,0,0,0.089958517162101,0,0,0,0.00581058283403083,-0.0208040164449316,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130500502852438,0,0,0,0.163372158242809,0,0,0,0,0,0,0,0,0.0652209538671677,0,0.295357128827188,0,0,0,0,0,0,0.145683962889773,0.161224507814906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0.11954651502767,0,0,0,0,0,0,0,0,0,0,0.907688951424923,0,0,0,0,0.0720271324095202,0.0225223539732284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141577155887684,0,-0.0960370661005682,0,-2.16840434497101e-19,-0.0920177345031029,-0.0182990915266798,0,0.0505248962076026,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.306448990952713,0,0,0,0,0,0.128124002007169,0,0,0,0.0853884689384684,0,0,0,0,0,0.0386596585091413,0,0,0,0,0,0.0259242573543342,0,0.00393609700984743,0,0,0,0,0,0,0,0,0,0.0596417523752748,0,0,0,0,0,0,0.0683959326785926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0.0939698092402921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147934127762264,0,0,0,0,0,0.102706314595162,0,0.328142474035189,0,0,-0.168292875859729,0,0,0,0,0,0.161460361740917,-0.0501882174944345,0,0,0.180275586686948,0,-3.46944695195361e-18,0,-0.243025708518499,0.0229707557568929,0.011697145756072,0,0,0,0,0,0
X000596.SZ,0,0.0537639610361421,0,0.401702243990332,0,0,0.029488484181615,0,0,0,0,0,0,0.336207671963998,0,0,0.053055467770314,0,0,0,0,0,0,0,0,0,0.0543403148805818,0.0235992873599588,0,0,0,0.0539861123705969,0,0,0,0,0,0,0,0,0,-0.0193228115646056,0,0,0,0.0810635044757134,0.0275819723359404,0,-0.0479629055514897,0,0,0.0108531459984916,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0372347392353467,0,0,0,0,0,-0.145066347238788,0,0,0.404232275450183,0,-0.0968315421906719,0,0.1651183205723,0,0,0.195233831628447,0,0,0,0,-0.0636318870212689,0,0,-0.320692579529234,0.152399097596598,0,0,0,0.151380939111932,0,0,0,0,0,0,0,0,0.113615156834507,-0.00730366147569404,-0.035856906426337,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0.126289031107061,0,0,0,0,0,0,0,0,-0.0366215259610096,0,0,0,0,0,0,0.109137143576337,0,-0.0330719571172438,-0.275190469130992,-0.150216577280039,-0.159863264691399,0,0,0,0.452227856920652,0,0,0,0,0,0,0,0,0,0,0,0.0561863275846239,0,0.0844266106062621,0.058323157067826,0.151390300252583,0,-0.192843609936137,0.0298535481603676,0,0,0,0,0,0,0
