,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300124.SZ,X300014.SZ,X003816.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X002129.SZ,X000625.SZ,X002049.SZ,X601877.SH,X000596.SZ,X300142.SZ,X000661.SZ,X002179.SZ,X600089.SH,X000100.SZ,X600460.SH,X000799.SZ,X600741.SH,X002236.SZ,X000157.SZ,X600702.SH,X002074.SZ,X600884.SH,X600779.SH,X002414.SZ,X600584.SH,X601799.SH,X002007.SZ,X000800.SZ,X600183.SH,X002176.SZ,X000733.SZ,X300003.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600183.SH,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0233115045375412,0,0,0.0366917080542706,-0.053028746002422,0,0,0,0.0861346741102019,0.0192832712111371,-0.00168296986540959,-0.0315774529279204,-0.0674944315552995,0,0,0.0419013979212256,0,0,0,0,0,0,0,0,0,-0.0720609855091664,0,0,0.0553468417659,0,-0.0947247934097154,0,0,0,0,0.308486722662565,0,0.01504040593813,0,0,0,0,0,0,0
X002176.SZ,-0.138472584893953,-0.339598838808768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18353174390508,0,0,0.212700512637204,0,0,0,0.0747948573606949,-0.146827879014859,0.138050914405464,0,0.302293602817325,0,0.320214236832037,0,-6.93889390390723e-18,0,0,0,0,0.166516821808341,-0.147158672540823,0.303297832872106,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010770588386063,0,0,0,0,0,0,0
X000733.SZ,0,0,0,-0.032868469902155,0,0,0,0,0,0,0,-0.195246682810288,0,-0.0563419585403096,0.0111918616100514,0,0,0,0,-0.0382348423081733,0.236258462994313,0,0,0,0.103110166892594,0,-0.00296041619045903,0,0.495677451756972,0,0,0,0,0.075000382130705,0,0,0,0,0.0839949467333244,0,0,0.14472465820042,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0.0131793837733812,0.280802508736772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274429926332836,0,0,0.0396358423294838,-0.110366155924095,-0.0153712868863484,0,0.074022540057088,0,0,0.028167875752858,0,-0.0354475697588298,0,0,0,0,0.0680840960688605,0,-0.0653102642796179,0,0,0,0,0,0,0,0.0311953468685904,0,0,0,0,-0.0214260745261028,0,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0.0702837669828305,0,0,0,0,0,0.197287471630938,0,-8.67361737988404e-19,0,0.0275522218448372,0,0,0,0,0.060609583824295,0,0,0,0,0,-0.0413059550378831,0.13282725747822,0,0,0,0,0,0,0,0,0,0,0,0,0.117804817045104,-0.198374118734495,0,0.0324132185605007,0,0.468175594169999,-0.0505755398110005,0,0,0,0,-0.0590704938565645,0.0334912148118612,0,0,0,0,0,0
Change_TY3M,0,0,0.0740088873507892,0.12806358924664,0,0,-0.0159982210806676,0.0471131311205576,0,0,0,0,0,0,-0.122780666960489,0,0,-0.0357244508806432,0,0,0.0959984122816907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104643272992724,0,0,0,0,0,0,0,0,0,0,0.0125782659251761,0,-0.0483430268037931,0,-0.0208500588364368,0,-0.0779062302636083,0,0,-0.102562296119132,0,0
Slope,0,0,0,0,0,0,-0.130705932946673,0,0,0,0,0,0,0.209304213117375,0,0,0,0,0,0,0,0.0890818970531684,0,0,0.055725999068424,0,0.242001492849324,0,0,-0.0577715240311949,0,0,0,-0.00852296475411043,0,0,0,0,0,0,-0.334377165496622,-0.0150002480483514,0,0,0,0,0,0,0,-0.508041817056728,0,0,0.850025447191911,0,0,0,0,0,0
TED,0,0,0,-0.235409264397738,0,0,0,0,0,0,0,0,0,0,-0.0691871353421966,0,0,0,0,0,0.0422035758835823,0,0.044209414055264,0,0.0393145924840155,0,0,0,0,0,0,0.0981747584803243,0,0,0.0635334295394558,0,0,-0.144917760865188,0,0,0,0,0,0.0709312199582389,0,0,0,0,0,0.40657424637612,0,0.69586393941859,0,0,0,0,-0.143721578928667,0,0
RealEstate_excess,0,0,-0.104138689228364,0,0,0.017168939666433,0,0,0,0,0,0,0,0,0,0.0138467855397589,0,0.0981642467855429,0,0,0,0,-0.045063693396928,0,0,0,-0.0258983698500275,0,0,0,0,0,0,0.063619683589482,-0.091453552607008,0.151188655775538,0,0.0111473932258451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00692053410350256,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0676120092969046,0,0,0,0,0,0,0,0,0.0366800445775195,-0.0800422320007564,0.0083747802127474,0,0,0.0113608986251651,0,0,0,0,-0.0536582093351366,0,0,0,0,0,0,0,0.11265131014912,0,0,0,0,-0.0464585326817279,0.0410616361957984,0,0.0327057897668735,0,0,0,0,0,0,0,0,0,0
