,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600188.SH,X601898.SH,X600688.SH,X601991.SH,X600362.SH,X002466.SZ,X600660.SH,X600547.SH,X600795.SH,X601992.SH,X300072.SZ,X002460.SZ,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000786.SZ,X600176.SH,X000792.SZ,X000553.SZ,X000709.SZ,X600352.SH,X000825.SZ,X600027.SH,X600299.SH,X600489.SH,X002271.SZ,X000408.SZ,X601158.SH,X601699.SH,X600219.SH,X002470.SZ,X000883.SZ,X600157.SH,X600583.SH,X600808.SH,X600315.SH,X000630.SZ,X600426.SH,X002408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734685375537961,0,0,0,0,0,0.0920274345349902,0.0216165353986895,0,0,0.12345517018253,0,0,0,0,0,0,0,0,0,-0.059683059797579,0,0,0,0.0861646276257846,0,0,0,-0.0044854585296977,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,-0.0943908950253392,0,0,0,0,0,0,0,0,0,0,-0.0518018918784808,0,-0.0157741687064316,0,0.0435119091961816,0,0.0176730501304918,0,-0.0165558336837853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0926076724222021,0,0.103629130299665,0,4.33680868994202e-19,0,0,-0.0832049790882727,-0.053180227915036,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.340236154874319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463678747182325,0,0,-0.37814289714846,0,0,0,0,0.154217674236585,0,0,0,-0.142103846949341,0,0,0,0,0,0,0,0,0,0,0,0,0.20070140320325,0,0,0.395293511629878,0,0,0,0,0,0
TED,-0.0955650830062148,0,0,0,0,0,0,0,-0.0434922568467433,0,0,0,0,0,0,0,0,0,-0.128311086813053,0.394401593708375,0,0,-0.0386366224640369,-0.462500712094529,0,0,0.0618270018740672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188720993533832,0,0.185852673618432,0,0,0,0,0,0,3.20231612953437
RealEstate_excess,0,0,0,0,0,0,-0.0821761643371214,-0.137742069401366,0,0,0,0,0,-0.0214828302835875,0,0,0,0,0.0705795709533389,0,0,0,0,-0.0263870716709091,0,-0.0206207929732414,0,0,0,0.000595204035209506,0,0,0,0,0.0677978723904131,0,0,0,0,-0.0676645923338181,0,0,0,0,0,0,0.0414012479283746,0,0,0.040888218073111,0.0229698205973547,0,0,0,0,0,0
MKreturn,0,0,0.121643923398267,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,-0.174292827457248,0,0,0,0,0.107087203935161,0,0,0,0,0,0,0,0,0.0135064937696822,0,0,0,0,-0.0425169315982145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404471792950173,-0.0174466234241952,0.320788631967038,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115634659406449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00523850370006258,0.0139335077204744,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,-0.0374740163226497,0,0,0,0,0,0,0,0,0,0,0.0164522581026314,0,0,-0.00742067479373954,0,0,0.00357329209255804,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00477228289535297,0,0,0,0,0,0,0,0,0,-0.00155642050125147,0.0242943508959949,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.00874305670064131,0,0,0,-0.00589562724827883,0,0,0,0,0,0.0121384442475949,-0.00303708735890153,0.0106772414929713,0,0,0,0,0,0,0,0,0,-0.0111686020418605,0.0132282675082856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141549529539597,0,0,0.0142960046478216,-0.00797636002407432,0.00671163759289213,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,-0.0145689266308415,0,0,0,0,0,0,0,0,0,0,-0.0173791634069011,0,-0.0097598135478142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237070859274255,0.0455274431109394,0,0,0,0,0,0
