,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X000708.SZ,X600547.SH,X600660.SH,X002271.SZ,X600362.SH,X600011.SH,X601600.SH,X000786.SZ,X600886.SH,X600426.SH,X600176.SH,X601898.SH,X600010.SH,X002466.SZ,X000301.SZ,X600188.SH,X600801.SH,X600352.SH,X600111.SH,X600489.SH,X300037.SZ,X600795.SH,X601991.SH,X600486.SH,X600688.SH,X600803.SH,X002353.SZ,X002080.SZ,X600027.SH,X600299.SH,X600219.SH,X601992.SH,X601168.SH,X000932.SZ,X000898.SZ,X600529.SH,X002409.SZ,X600399.SH,X000630.SZ,X600315.SH,X000807.SZ,X000878.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406298878649415,0,0,0,0,0.0103337552709237,0,0
X600188.SH,0,0,0.212130087791452,0,0,0,0.0897479425626154,0,0,0,0,0,0,0,0.0317799783781695,0,0,0,0.154332139525247,0,0.0743679589552951,0,0,0,0,0,0,0,0,0,0,0,0,0.00973354048717127,0.0248914316752978,0,0,0,0,0,0,0,0.0507001585307154,0,0,0,0,0.0703265902566962,0,0.129917816148525,0,-0.0339426847149694,0,0,0,0,-0.0190057088345907,0,0
X600801.SH,0,0,0,0.0542817077740789,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,-0.00877074598153943,0,0,0.101125852157395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117343042481571,0.165997149297558,0,0,0,0,0,0,0,0,0,-0.0219354141709859,0.0117973513339294,0.0161960835928622,0,0,0,-0.000524462937093039,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0.068697017566392,0,0,0.0891832911683056,0,0,0,0,0,0,0,-0.00383184318314777,0,0,0,0,0,0.17703430162537,0,0,0,0,0,-0.0208234368051535,0,0,0,0,0,0,0,0,0,0.0400667785897985,0,0.0666980389961845,0,0,0,0.0739042534657165,0,0,0.0425806704318137,0,0,0,0,0.00750116826859713,0,0
X600111.SH,0,0,0,0,0,0,0.148189699207556,0,0,0,0,0,0,0,0.000966815135363915,0,0,0,0,0,0.0606149959573805,0.168380416604703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063108281444674,0,0,0.0160427912461183,-0.0744868981562406,0,0,0,-0.0187031594847578,0,0
X600489.SH,0,0,0,0,0,0,0.11732306049411,0,0.692305568210766,0,0,0,0,0,0.0371558124974131,0,0,0.0382962339346684,0,0,0,0,0,0,0.102229390261216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533494888262625,0,0,0,0,1.73472347597681e-18,0,0,0,0.0099384005348317,0,0,0.00439424720554271,-0.0304873795872469,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0.312089374289528,-0.563278544262969,0,0,0.10639705150992,0,-0.108383910552227,0,0,0,0,0,0,0,0.0542219892315319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239720717907103,0,0,0,0,0,0,0,0,0.11754442338148,0.0570931756208163,0,0,0,0,0,0,0.0375878616914681,0.0229699565987705,0,0,0,0.0283771087655825,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.015217564087458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536426115408968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847851798107021,0,0,0,0.0302889806003293,0.021934302103982,0,0,0,-0.0036913805558094,0,0,0,-0.0039940354570657,0,0
X601991.SH,0,0,0,0,0,0,0.0138040798795173,0,0,-0.0462988596239627,0,0,0.019941669229533,0.0186424260745594,0,0.0976983828070843,0,0,0,0,0,0.0219256093778203,0,0,0,0.0747674863654767,0.031985101924139,0,0.0584693174225629,0,0,0,0,0,0.170447240209599,0,0,0,0,0,0,0,-0.0180726947729044,0,0,0,0,0.0319877697493893,0,0.014614949304645,0,0,0,0,0,0,0.00215582170173053,0,0
X600486.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178499217326356,0,0.0526982471493006,0,0,0,0,0,0,0,0,0,-0.0184260959219098,0,0,0,0,0.0418353356944702,0,0,0.0227836251079615,0,0,0,0,0,0,0.0796092634696069,0,0,0,-0.0343236076131191,0.0819063862195338,0,0,0,0.00143134000311558,0,0
