,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X000792.SZ,X600585.SH,X600019.SH,X002466.SZ,X600111.SH,X002271.SZ,X000301.SZ,X000708.SZ,X600660.SH,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X600547.SH,X600362.SH,X600011.SH,X600176.SH,X600426.SH,X600219.SH,X600886.SH,X000786.SZ,X000408.SZ,X600399.SH,X000723.SZ,X600803.SH,X000932.SZ,X000831.SZ,X000959.SZ,X601991.SH,X000825.SZ,X600795.SH,X002080.SZ,X000898.SZ,X000807.SZ,X300037.SZ,X002409.SZ,X600801.SH,X600352.SH,X600489.SH,X002145.SZ,X600808.SH,X000630.SZ,X600486.SH,X601699.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0,0.156117926462889,0.147031564439958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906676064475712,0,0,0.373693404675399,0,0,0,0,0,0,0,0.205463322231972,0,0,0.112210432361581,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,-0.00691667270858875,0,0,0,0,0,0,0.0125217790731924,0,0,0,0.0418358839398252,0,0,0,0,0.044802462390887,0.0109764562755103,0.217800758124838,0,0,-0.0437560785163254,0,0.0623580534332666,0,0,0,-0.0665548178821162,0,0,0,0,0,0,0,0,0,0,0,-0.030102357132542,0,0,0,0,0.0301771935486797,0,0.0131113787631307,2.16840434497101e-19,0,0,0,0.0556063922157928,0,0
X000825.SZ,0,0,0,0,0.0379220413622736,0,0,0,0.0616151387120595,0,0,0,0,0,0.194845767820165,0,6.93889390390723e-18,0.119096293812391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515259551813036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,-0.0512525817392484,0,0,0,0.0383923488190951,0,0,0,0,0,0,0,0,-0.0033372061498551,0,0,0,0.0563803217123809,0,0.0549120049485129,0,0,-0.00327480194415587,0,0,0,0,0,-0.0454008248624106,0,0,0,0.0315359519160701,0,0.0491299569172163,0,0.0448231265100301,0,0,0,0,0,0,0,0,0,0,-0.0283147306962134,0,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0.165028453733631,0.0335966266266619,0,0.113047527705714,0,0,0,0,0,0,0.0823170196564281,0.0342194288818014,0,0,0,0.0126019676551669,0,0,0,0,0.13030614288915,-0.0970984569568605,0,-0.0215570408917076,0,0,0.0526181859381193,0,0.0240481795381912,0.0488132025183161,0,0,0,0,0,0,0,0,0,0,0,-0.117893152940476,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803563804167677,0,0,0,0,0,-0.0279861285500022,0,0,0,0,0,0,0,0.100118476998946,0,0.299335511627965,0,0.199093821528539,0,0,0,-0.080647088983348,0,0.0242194312305213,0,-0.00345475312621109,0,0,0,0,0.363959370386599,0,-0.0321599703235713,0,0,0,0.00995140496775115,0,0,0,0,0,0,0
X000807.SZ,0,0,0,0.0605573641834339,0,0,0,0,-0.0432539256131963,0.0947180498866843,0,0,0,0,0,0.728269497457874,0,0,0,0,0,0,0.0276671403702832,0,0,0,0,0,0.101952773038937,0,0,0.108976213804311,0,0,0,0,0,0,0,0.00650410659169453,0,0,0,0,0,0,0,0,0,0,0,0.00144436806315064,1.73472347597681e-18,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0.138325904266675,0,0,0,0,0.296559647223122,0,0,0,0.259471694578862,0,0,-0.0695826294830518,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103574999532799,0,0,0,0,0,0,0,0,0,0,-0.0818931556378344,0,0,0,0,0,0.0546733254794344,0,0,0,0,0,0,0
X002409.SZ,0,0,0,0,0.208811550923158,0,0,-0.129443608578359,0,-8.67361737988404e-19,-0.0145877235808252,0,0,0,0,0,0,0,0,0,0,0,0,0.0278552067100102,0,-0.00858431792867566,0,0.424062180594846,0,0,0,0.00793179792326277,0.269909673456374,0,0,0,0.0677616814320129,0,0.0659026661018346,0,0,0,0,0,0,0,0,0.122440814203622,0,0,0,0.0381273733992944,-0.122933227522581,0,0,0,0,0,0
X600801.SH,0,0,0,0,0,0,0.239456867416902,0,0,0,0,0.145842481496384,0,0,0,0,0,-0.0157241099241652,0,0,0,0,0,0,0,0.0564962043756108,0,0,0.0126444815201919,0,0,0,0,0,-0.0410357219479174,0,0,0,0,0,-0.0433185571709731,0,0,0,0,0,0,0,0,0,0,-0.00362091706798512,-0.0192186815032043,0,0,0,0,0,0
