,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600010.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X600583.SH,X000898.SZ,X601158.SH,X000709.SZ,X000792.SZ,X600352.SH,X600489.SH,X000883.SZ,X000539.SZ,X600547.SH,X000630.SZ,X000831.SZ,X000629.SZ,X002353.SZ,X000027.SZ,X000825.SZ,X600808.SH,X600549.SH,X600578.SH,X000983.SZ,X601699.SH,X600008.SH,X600863.SH,X600660.SH,X600307.SH,X600315.SH,X600348.SH,X000937.SZ,X600098.SH,X601168.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600578.SH,0,0,0,0.0684895673796589,0,0,0,0,0.0155729469033115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471808657079434,0.0662522377382037,0.0879113249548258,0,0,0,0,0.219915390089488,0,0,0,0,0,0,0,0,0.0882116450052119,0,0,-0.0167745690294238,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0.16912316684687,0,0,0,0,0.0138842302951977,0.00702741862615393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763238723412805,0,0.0739406093108725,0,0.47160594365039,0,0,0,0,0,0,0,0,0,0,0,-0.0116066292856355,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0.141719388329338,0,0,0,0,0.0918448502934302,0,0,0,0,0,0,0.00842895644072725,0,0,0,0,0,0,0,0,0,0,0,0,0.0525690667550121,0,0,0,0,0,0.0611319369453653,0.112942790558767,0,0,0,0,0,0,0,0.196614415044625,0,0,0,0,-0.0124248676527928,0,0,0,0,0,0,0
X600008.SH,0,0,0,0,0,0,0,0,0,0,0,0.0942162615634646,0,0,0,0,0,0,0.0821218697417971,0,0,0.217080833639066,0,0,0,0,0,0,0,0,0,0,0.0741069516051085,0.0118376044898824,0,1.73472347597681e-18,0,0.187180273222679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000617386945995812,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0.200619322181507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102223593725832,0,0,0,0,0,0.0294474083419713,0,0,0,0,0,0.229593010585442,0,0,0.0101760870903579,0,0,0.0468506303400284,0,0,0,0,0,0,0,-0.0188107821657286,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,-0.032725686685845,0,0,0,0,0,0,0,0,0,0,0.086231168576757,0,0.0346647621852542,0,0,0,0,0.139275091866418,0,0,0,0,0,0,0,0,0,0,0.0589691498482768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145471947972879,-0.0141231332074721,0,0,0,0,0,0
X600307.SH,-0.0241261294794973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575805104791053,0,0.233062744741457,0,0.289959834832081,0,0,0,0,0,0,-0.0287187665454793,0,0.0346712009544516,0,0,0.143009478491757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178244191511476,0,0,0.0214837445191297,0,0,0,0,0,0
X600315.SH,-0.0658988984527797,0,0,0,0,0,0,0,0,0,-0.0945078232595614,0,0.0235869360947748,0,0.0582537900579657,0,0,0,0,0,0,0,0,0,0.0135667566249669,0,0,0,0,0,0,0,0,-0.0838277987376677,0,-0.0392701560356547,0.0598081240443855,0,0,0,0,0,0.174628188522449,0,0,0,0,0,0,0,0,0.0408056594593965,0.0245986427379596,0,0,0,0,0,0
X600348.SH,0,0,0,0,0,0,0.450665579140715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548654723231526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221111197366202,0,0,0,0,0,0,0,0,0,0.0252883928841933,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0
X000937.SZ,0,0,0,0,0,0.0474094271059591,0,0,0,0,0,0.142644146256842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357775124283926,0.173062449239724,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119963653667167,0,0,0,0,0,0
