,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600583.SH,X601992.SH,X600309.SH,X000539.SZ,X000027.SZ,X000630.SZ,X000709.SZ,X000898.SZ,X000883.SZ,X002470.SZ,X600352.SH,X600021.SH,X600660.SH,X601918.SH,X000792.SZ,X600098.SH,X600623.SH,X600489.SH,X600863.SH,X300072.SZ,X002004.SZ,X600022.SH,X600547.SH,X600578.SH,X600808.SH,X000629.SZ,X600008.SH,X600307.SH,X000060.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.00980484124429801,0.142562941155974,0.0668094338682758,0,0,0,0.069969689454074,0,0,0,0,0,0,0,0,0,0,0.112146037142736,0.305692555775164,0,0,0,0,0,0,0,0,0,0.00947979849936016,0,0,0,0,0.153263355002489,0,0,0,0,0,0,-0.00246639671934137,0,0,0,0,0,0,0
X600098.SH,0,0,0,0,0,0,0,0,0,0,0.0215823545726271,0,0,0,0,0,0,0,0.00500620798467772,0,0,0,0,0,0,0,0,0,0,0,0.257649770519719,0,0.213118210588553,0,0,0.0890698415900426,0,0,0,0,0,0,0,0,0.204279256159691,0.0572320998289622,0,0.0824736372249108,0,0,-0.0105600116775045,0,0,0,0,0,0,0
X600623.SH,0,0,0,-0.016951574537421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0827639109944738,0,0,0,0,0,0,0,0,0,0,0,0.0562224235330462,0,0,0,0.49943813503508,0,0,0,0,0,0,0,0,0,0,0,0.138028829662581,0.287713239895823,0,0,-0.0566354274187985,-0.00216740084963454,0,0,0,0,0,0
X600489.SH,0,0,0.0535014844507734,0,0,0,0,0.071729670308462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451420030199935,0,0,0,0,0.259505690444416,0,0,0,-0.0113490690722189,0,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00752146064623635,0,0,0,0,0,0,0,0,0,0,0.218744808796862,0,0,0,0.136235197823295,0.0784595289352974,0,0,0,0,0,0.112391687100323,0,0,0,0,0,0,0,0.181632904367017,0,0,0,0,0.032809620194947,0,0,-0.0259234816822881,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108350517548981,0,0,0,0,0,0,0,0,0,0,0.220296834963979,0,0,0,0,0.131732586412273,0,0.0126546465835971,0,0,0,0.183778812287316,0,0,0,0,0,0,0,0.10212267241249,0,0,-0.0174265166046378,0,0,0,0,0,0,0
X002004.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551359014105497,0,0.355350228222941,0,0.144638791986064,0,0,0.107204154796963,0,0,0.164416818858724,0,0,0,0,0,0,0,0,0,0,0,-0.0448348290801433,0.00501199363502853,0,0,0,0,0,0
X600022.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592654097065673,0,0,0,0,0.304344259648327,0,0,0,0.0509887812898906,0.0848793368120261,0,0,0.0182819189720661,0.0390521620542208,0,0,0,0,0.145436205189032,0,0,0.1616200242169,0,0,-0.011194501879058,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0791781216379922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734167758863756,0,0,0,0,0,0,0,0,0,0.012774740921339,0.343721951355917,0,0,0.00975610557952813,0.130527926773547,0,0,0.229247396621406,0,0,0,0,0,0,-0.0104378431824272,0,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,0.0774321956390756,0,0.377809023527047,0,0,0,0,0,0,0,0,0.0698685712964248,0,0,0,0,0,0,0,0,0,0.0488868872160451,0,0,0,0,0,0,0,0,0,0.0542960529499042,0,0,0,0,0,0.0657586317219412,0.0618292838193908,0.0446445518137455,0.0351445331851814,0,0,0,0,0,0,0,0,0,0
