,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600188.SH,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X600011.SH,X600660.SH,X002271.SZ,X000301.SZ,X000877.SZ,X000708.SZ,X600010.SH,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X000629.SZ,X600176.SH,X600362.SH,X600426.SH,X000408.SZ,X300073.SZ,X600096.SH,X002080.SZ,X601991.SH,X000786.SZ,X600803.SH,X000983.SZ,X000723.SZ,X600027.SH,X600160.SH,X600141.SH,X600348.SH,X601699.SH,X600219.SH,X600157.SH,X002407.SZ,X600399.SH,X600801.SH,X002353.SZ,X000155.SZ,X002192.SZ,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601898.SH,0,0,0,0,0,0,0.0485256457966805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152480102735581,0,0,0,0,0.319087150776604,0,0,0,0,0,0.145880092000963,0,0,0,0,0,0.0253998298660692,0,0,0,0,0,0,0,0,0,0.0243238084206254,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,-0.100219332880372,0,0,0,0.0412729657939487,0,0,0,0,0,0,0,0,0,0,0,0.126209801267628,0.454039036691708,0,0,0.0143827715346505,0,0,0,0,0.00365148488173842,0,0,0,0,0,0.145178385700526,0,0.0768363673928702,0,0,0,0,0,0,0,0.014099984870625,0.056735851929225,0,0,0,0.0382160904269248,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0174670974339344,0,0,0,0,0,0,-0.209351032114914,0,0,0.158112079132524,0,0,0,0.0360955183184651,0,0,0,0,0,0,-0.00884581154692145,0,0,0,0,0,0,0.885252960464433,0,0,-0.0181503223777486,0,0,0,0,-0.0270934859627113,0,0,0,0.00783537134605775,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0.0778634882988176,0,0.045177400345474,0,0,0,0,0.153400592431209,0,0,0,0,0,0,0,0,0,0,0.0355706527956701,0,0.0202141152710533,0,0,0.00924929992281509,0,0,0,0,-0.201384014497458,0,0,0,0,0.0635487775231174,0.16221008866947,0,0,0.22776606086117,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170546616354742,0,0.0156891421267268,0,0,0,0,0,0,0,0,0,0,-0.123743260061567,0,0,0,0.874269225213944,0,0,0,0,0,0,0.0406273335865974,0,0,-0.0161515152068019,0,0,0,0,0,0,0,0,0.017441980242882,-0.0191409209528203,0,0,0,0,0,0
X000301.SZ,0,0,0,-0.126471713507841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144365437610075,0,0,0,0,0,0,0,0,0.328573047529968,0,0,0.0495483731450746,0,0,0,0,0,0,0,0,0,0,0,0,0.126070229216551,0.0764745268456579,0,0,0.107499784135723,0.160169918696699,0,0,0,0,0,0,0,0.104419359376328,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141893779857441,0,0,0,0,0,0,0.0112054150037941,0,0.0356031396023096,0,0,0.0137457258365213,0,0,0.0875948593096441,0,0,0.0230358564977881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305079851958725,0,0,0,0,-0.0124601730960968,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246154603121556,0,0,0,0,0,0,0.043371574864214,0.159035656958232,0,0,0.0421150843421488,0,0,0,0.0884462914374504,0,0,0,0,0,0,0,0,0,0,0,0.00212790834972826,0,0
X600010.SH,0,0,0,0.0148599896972738,0,0,0,0,0,0,0,0.48196247762493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207429196441854,0,0.00217542254280489,0,0,0.245702129150291,0,0,0,0,0,0,0,-0.028014811088937,0,0,0,0,0,0,0,0,0,0,0,0,0.0563033169357853,0,0
X600886.SH,0,0.00940181254019198,0,0,0,0,0.0294942944990413,0,0,0,0,0,0.102105244966405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405457259869245,0,0.114793209857381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479776061852563,0,0,0,0,0,0,0,0,-0.0302552423367268,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206628620972538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108541208407381,0,0.0241815312568347,0,0,0.0432257879497972,0,0.0825596151520204,0,0,0,0,0.0277540290760643,0,0,0,0,-0.0286982191559335,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.050696472303605,0,0,0.195689280462929,0,0,0,0,0,0.0577336044243827,0.0711641118746069,0,0,0,0,0.0603209128419476,0,0.0732934526961907,0.0441718355801714,0.0362701358042038,0,0,0.0452962171133047,0,0,0,0,0,0,0.0230038680048337,0,0,0.149689070877028,0.101526437520642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421881603950261,0,0
X600795.SH,0,0,0,0,0.071203334172537,0,0,0,0.0647272281702612,0,0.0590530466729508,0,0.158605874988448,0,0,-0.13838395269096,0,0,0,0,0,0,0,0.113619631097877,0,0,0,0,0,0,0,0.0280500717777259,0,0,0,0,0.250149362665489,0,0,0,0,0,0,0,-2.94236559721731e-05,0,0,0,0,0,0,0,0,0,0,0,0.0804588279507139,0,0
X000629.SZ,0,0,0,0,0,0.205840161131911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128718204908058,0,0,0,0,0.113465888951162,0,0,0,0,0.0370980669402596,0,0,0.139903973480859,0,0,0,0.130775700309588,0,0,0,0,0.22611111859473,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.037230017049641,0,0
X600176.SH,0,0,0,0,0.0311295181418934,0,0,0,0,0,0.117794355045526,0,0,0,0,0,0,0,0.0138154651386964,0,0,0,0,0,0,0,0,0,0,0.0362686098035395,0,0,0.208694190311421,0,0,0,0,0,0,0,0,0,0,0.0868755340172157,0,0,0,0,0,0,0,-0.0153751227467687,0,0,0,0,0.019197127146721,0,0
X600362.SH,0,0,0,0,0.0135600740532917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379816771749136,0,0,0,0,0,0,0,0.0672099091388944,0,0,0,0,0,0,0,0,0,0.0863676922107356,0.0195407304665984,0,0,0,0,0,0,0,0.0452052608325448,0,0,0.023744053373359,0,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0.0548768123714519,0,0,0,0,0,0,0,0,0,0.0503173740556943,0,0,0,0,0,0,0.134346612551036,0.114114133183004,0,0,0,0,0.0899306021626724,0,0,0,0,0,0,0,0,0,0.144413469553557,0,0,0,0,0.0689308962819736,0,0.00978593152053429,0,0,0,0,0,0,0
