,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600219.SH,0,0,0,0,0,0,0,0.186628304633426,0,0,0,0,0,0,0,0,0,0,0,0,0.050363283721066,0,0,0,0,0.00045475114580429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113618162310264,0,0,0,0,0,0,0,-0.0265461066600268,0.009304323601091,-0.00118497875979847,0,0,0,0.0924431701182557,0,0
X000786.SZ,0,0,0,0,0,0,0.0471618271273619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258443275635781,0.180425223512915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236214685991383,0,0,0.245618130688029,0,0,-0.0188015935008821,0,0,0,0,0,0,0,-0.00186691206189476,0,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0.051658643286759,0,0,0,0,0,0,0,0,0,0,0.0317323307473999,0,0,0,0,0.0405873655722417,0.018987855907145,0,0,0,0,0,0,0,0,0,0,0,0.055225045586109,0,0,0,0,0.101267453233715,0.228750152653742,0.0203264601981572,0,0,0,0.0703011884356979,0,0,0,0,0.00842380026931881,0.00352494065236788,0,0,0,0,0,0
X000553.SZ,0,0.0447577436519159,0,0,0,0,0.0217576877600257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136361129615844,0,0,0,0,0.175882885592086,0,0,0,0,0,0,0,0.0796136295985833,0,0,0,0,0.0804526693847488,0,0.0269479861461502,0,0,0,0.121526786951363,-0.00741421604523819,0,0,0,-0.0172006301269143,-0.00770166452900715,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0.00315959791865497,0,0,0,0,0,0,0,0,0,0,0,0.121997358839092,0,0.104196443104381,0,0.0824070446674151,0,0.0347235603172587,0,0,0,0,0,0,0,0,0,0,0.00864570868752361,0,0,0,0,0,0,0.0182839534211909,0,0,0.0696654665647122,0,0.0169044787181857,0,0.0322760016241466,0,0.00170121187618818,0,0,0,0,0.0120289390867809,0,0
X600583.SH,0,0.163811508146373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207638528356885,0.167420595607849,0,0,0,0,0,0,0,0.126231133932697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011088928220667,0,0,0,-0.00932234777863967,0.0203291769904218,0,0,0,0,0,0
X002271.SZ,0,0.0695739627157289,0,0,0,0,0,0,0,0,0.43782231613055,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0267742515098383,0,0,0,0,0,0.24704537490197,0,0,0,0,0,0,0,0,0.433728147040465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216238766209121,0.0685040793916289,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0.198072990895839,0,0.025770024359799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122989212649115,0.123613333292613,0,0,0,0,0,0,0,0.354148229665332,0,0,0,0,0,0,0,0,0,0,0.104953856750371,0,0,0,0,0,0,0,0,0.00313168260852824,0.00908833723313062,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124478593510326,0,0,0.113154043288569,0,0.0586402670151212,0,0,0,0,0,0,0.0614605550197001,0,0,0,0.0540019073538848,0,0.172599387795608,0,0,0,0.141229103025779,0,0,0,0.0217954700732155,-0.103537310715072,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0.125482750085056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909167249378465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167701626664,0,0,0,0,0,0.00796622041876294,0.18330224917234,0.0203818320965743,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00557231797514128,0,0
