,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X601600.SH,X600027.SH,X601991.SH,X600547.SH,X600111.SH,X600157.SH,X600188.SH,X600362.SH,X002466.SZ,X600886.SH,X600623.SH,X601992.SH,X600309.SH,X600299.SH,X000792.SZ,X600489.SH,X600660.SH,X300072.SZ,X600549.SH,X601158.SH,X600583.SH,X000883.SZ,X002075.SZ,X000723.SZ,X000709.SZ,X600352.SH,X000539.SZ,X002407.SZ,X000898.SZ,X002460.SZ,X000027.SZ,X002470.SZ,X000761.SZ,X000630.SZ,X000983.SZ,X000012.SZ,X000060.SZ,X600176.SH,X600021.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000539.SZ,0,0,0,0,0,0,0,0,0.0359329484350433,0,0,0,0,0,0,0,0,0,0,0,-0.0187019852358179,0,0,0,0.0157492065461194,0,0,0,0.0252877466962579,0,0,0,0.0360154792491241,0,0,0,0,0,0,0,0.35050856666884,0,0,0,0,0.00423386784521074,0.0392664613131232,0.113181547191792,0,0,0,0,0,0,0,0,0,0,0
X002407.SZ,0,0,0,0,0,0,0,0,0.237274375891397,0,0,0,0,0,0,0,0,0,0.341115920130379,0,-0.0540820340822723,0,0,0.0532528059714546,0,0,0,0,0,0,0,0,0,0,0,-0.179948596987529,0,0,0,0.563646029435351,0,0,0.189720420126364,0,0,0,0,0,0,0,0,0,0.158665913482225,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0.0555592963077433,0.0639971140940085,0,0,0,0,0,0,0,0,0,-0.0219902761151716,0.0255084391387812,0,0,0,0.0264465836464942,0,0,0.0623516893738551,0.185091719329913,0,0,0,0,0,0,0,0,0.0889128779752231,0,0.13483761239124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069129783223403,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486388430333603,0,-8.67361737988404e-19,0,0,0,0.166518464976928,0,0,0,0.04105480185207,0,0,0,0,0,0,0,0,0.430414538634584,0,0,0,0.0520222657541151,0.0469656407280003,0,0,0,0,0,0,0,0,0.0496869739871842,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0.0620830573989596,0,0,0,0,0,0,0,0.017068096234453,0,0,0,0,0,0,0.0762020811013523,0.118154877437058,0,0,0.0190619017404085,0.0289622166987457,0.095562000358499,0,0,0.0300461569172728,0,0,0,0.160446970823764,0,0,0,0,0,0,0,0,0.0191777364590051,0,0,0,0,0,0,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0.0657110274845489,0,0,0,0,0,0,0,0,0,0,0.141102904693004,0.0232705104264891,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0351317372706808,0,0,0,0,-0.0830534794909358,0,0,0,0,0,0,0,0,0,0,0.0862661395856757,0.11824348791201,0,0.317041499655764,0,0,0,0,0.000771135568773861,0.101958216562708,0,0,0,0,0
X000761.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060877823454579,0,0,0,-0.134313531214278,0,0.101012725952239,0,0,0,0,0,0,0,0.140409264696172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0377710079463526,-0.0992538900628271,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.127120058639689,0,0,0,0,0,0,0.0223963932841307,0,0,0,0,0,0.0487172680003155,0,0,0,0,0.0125103434836065,0,0,0,0,0.0631263497065846,0,0,0,0,0,0,0,0.0649722030664656,0,0,0,0.125915807354321,0.102441288027191,0.0306175858769458,0,0.0206877305671364,0,0,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935261635331626,0.0493805995291441,0.522062531999243,0,0,0,0,0.252979236224981,0.0655339282376521,0,0.0560244823845598,0,0,0,0.0206217754151041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018238221680764,0,0,0,0,0,0,0,0,0.00946828049225775,0,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330331858282988,0,0.00700454041045745,0,0.0367981467323404,0,0,0,0.191207891004608,0,0,0,0.0437848332144059,0,0,0,0.147054783538267,0,0,0,0,0,0,0,0,0,0,0,0.0518948288853694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0.143985377893857,0,0,0,0,0,0.0103337469157138,0.038028375891855,0,0.136595932079515,0,0,0,0,0,0,0,0,0,0,0.186179415539364,0,0,0,0.150944489051016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889580325946714,0,0,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249284184846742,0,0.104382515187344,0,0,2.71050543121376e-20,-0.0122752854880347,0,0,0.242063478571382,0,0,0,0,0.00590471151431185,0.0163773142850767,0,0,0.174875076407253,0.0853168643422424,0,0,0,0,0,0.0424029487693001,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903359936324448,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0357400986666814,-0.000732120934646176,0,0.154928350956211,0,0,0,0,0,0,0,0,0,0,0.131425365450931,0.204867785864429,0,0,0,0,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0908393945053679,0.0653611317072832,0,0.0643751713367554,0,0,0,0,0,0,0,0,0,0,0,0.164976392683813,0,0,0,0,0.100731014730044,0,0,0,0,0,0,0,0.126097117776678,0,0,0.0301842111248508,0,0.0610504177345423,0,0,0,0,0.0354743568215487,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103175505442114,0.0177938318790582,0,0.00527307714950817,0,-0.0894419293219743,0,0,0,0,0.0831187354779491,0,-0.00351983358129499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166336092324108,0,0,0,0,0,0,0,0,-0.00409527234900882,-0.0860771801468659,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103181688561692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130111896896163,0,0.0431273332796286,0,0,1.09589114680967,0,0,0,-0.342411914876499,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0730381215176032,0,0,0.035645231952846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123895036812661,0,0,0,0,0,0,0,0,0.165238995122462,0,0,0,-0.058979508044317,0,0,0,-0.0200140358592636,0.519103959787264,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,-0.0578877410229811,0,0.0352159632622967,0,0,0,0,0,0,0.00869132512627022,0,-0.00940849123212606,0,0,-0.0260227904985384,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278668477289361,0,0,0,0,0,0,0.0134355469341204,0,0,0,0,0,-0.0748173873329649,0,-0.00560211251336126,0,0,0,0,0.00795377082713533,0,0.483756597708186,0,0,0,0
MKreturn,0,0,0,0,0,-0.0759050614491766,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0367953066123731,0,0.00562837799009336,0,0,0,0,0,0,0,0.0146578052983285,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0603573783212749,0,0.0456042420203904,0,0,0,0,0.0402278539438331,0,0,0.0342325477006443,0.739798926078732,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000860482828093051,0,0,0,0,0.00165586568290927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150952459064893,0,0,0,0,0,0,0,-0.00180799125266109,0,0,0,0,0,-0.0124051698955771,0,0,0,0,-0.159825677645444,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275464116513531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129544771181474,0,0,0,0.0495221806769619,0,0,0,0,-0.0519545046320412,-0.0652488772112819,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0.0676718231198627,0,0,0,0,-0.0242900846200414,0,0,0,0,0.0191000050995869,0,0,0,-0.129474183158113,-0.00549940145671388,0,0,0,0,0.0396443666760178,0,0,0,0.0133936386576969,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.010339230036003,0,0,0,0,0,0,0,0,0,-0.102605547306451,0,0,0,-0.431830007059537,0,0
CarbonVol_Hubei,0,0,0,0,-0.0208677739936405,0,0.008022877394901,0,0,0,0,0,0,0,0,-0.000202472786517234,0,0,-0.0290758934255762,0,-0.0103042644898593,0,0,0.0115168982242099,0.0312048253175107,0,0,-0.00588532959196717,-0.02566406340087,0,0,0,0,-0.0141546356225575,0,0,0,-0.00127934064945517,0,-0.00185927123336676,0,0,0,0,0,0,0,0,0,0,0,-0.0891024669219104,0.109442904571663,0,0,0,0,0,0
