,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X600801.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X000786.SZ,X002271.SZ,X600111.SH,X600027.SH,X601992.SH,X002460.SZ,X002466.SZ,X000723.SZ,X600176.SH,X002353.SZ,X600516.SH,X600583.SH,X000898.SZ,X600299.SH,X600489.SH,X600426.SH,X000709.SZ,X601158.SH,X000883.SZ,X600219.SH,X600612.SH,X000792.SZ,X000629.SZ,X000553.SZ,X000027.SZ,X000825.SZ,X000630.SZ,X600808.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600426.SH,0,0,0,0,0,0,0,0,-0.033226508166944,0,0,0,0,0,0,0,0,0,0,0,0.304475121969422,0,0,0,0,0,0.0124279105165217,0.0409478893642882,0,0.158090988649767,0.0940220020767606,0.00625043496718548,0.11880773115035,0,0,0,0,0,0,0,0,-0.0772577757440915,0,0,0.0106236042982468,0,0,0,0,0,0,-0.0138999489367821,0.0577054253865983,0,0,0,0.0214053853535704,0,0
X000709.SZ,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0660829959152351,0,0,0,0,0,0.00846949618645355,0,0,0,0,0,0,0,0,0.108438206821197,0,0,0.0329289937729156,0,0.0252837750656411,0.0930608888499096,0,0.111923711983855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110681493067901,0,0.00335267355658026,5.99618445717737e-05,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128214256716445,0,0,0,0,0.0598901317619068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672184898092981,0,0,0,0,0,0.00967853092852461,-2.71050543121376e-20,0,0,0,-0.0166432970899119,0,0
X000883.SZ,0,0,0,0.109729735631197,0,0,-0.124078613937514,0,0,-0.0253329445811331,0,0,0,0,0,0,0.0240660202940253,0,0,0,0,0,0,0,0.101598184845989,0,0.0613100157988821,0.0272311647529227,0,0,0,0.0546295613046503,0,0,0,0,0,0,0,0,0,-0.00777793537603974,-0.0259373491595291,0,0,0,0,0,0,0,0,0.0181145403770299,-0.0260682070182574,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.032680297701585,0.122492375510418,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.126080626475861,0.0382351249416036,0.0703283834220291,0,0,0,0.0767967310296629,0,0,0,0,0,0,0,-0.0327480741562776,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145409606245869,0,0
X600612.SH,0,0,0,0,0,0,0.542687018849569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950481936191057,0,0.0729209090249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195863710772185,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.0932180565259304,-0.0620723741158945,0,0,0,0,0,-0.177880390959095,-0.30121382790611,0,0,0,0,0,0,0.159157841000166,0,0,0,0,0.0157153141393751,0,0,0,0,0,0.341457329857885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.283104786112381,-0.137748203984362,0.0142180726277796,0,0,0,-0.0346960230404654,0,0
X000629.SZ,0,0,0,0,0,0,-0.0408201216375806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117349763970386,0.0112091187868852,0,0,-0.0150309003925208,0.146160813645473,0,0,0.0536404381123241,0,0,0,0,0,0,0,0.0345920073930502,0,0.00875208318859938,0,0,0,0,0,-0.0623879070294763,-0.0376375672565667,-0.00450781918733046,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289435079909619,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0354065588851262,0.143075650089364,0,0.0411756849075119,0.0156766320611132,0,0.231380480618374,0,0,0,0,0,0,0,-0.0195462851928324,0,0,0,0,0,0,0,0,0,0.0131127546079337,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0.178210753418225,0,0,0,0.0602401831587474,0.00526329578312428,0,0,0,0,0.049001911033266,0,0,0,0.181731753252676,0,-0.0375712184210017,0,0,-0.049047028074442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104194054381152,0,0,0,0,0,0,0.0213073236550846,0.00980922209846673,0,0,0,-0.00356832420913662,0,0
X000825.SZ,0,0,0,0,0,0,0.0437193737541927,0,0.00591829391574006,0.0691062052843761,0,0,0,0,0,0.0888059780659404,0.138568187121561,0,0,0,0,0,0,0,0,0,0,0.0228532932959202,0.0227335818207705,0,0,0.0197209383759849,0,0.289162915353108,0.113905359224405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233641397187547,-0.020321096774574,0,0,0,-0.00746098119960044,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0710051405009709,0,0,0,0,0,0,0,0,0,0,0,0,0.127330189023916,0,0,0.0810682589733185,0,0.0157714346895151,0,0.11205996790755,0,0,0,0.022696126801147,0,0,0,0,0,-0.0161222486354173,0,0,0,0,0,0,0.0232870402266854,0,0,0.00900010475266526,0,0,0,0,0,0
