,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X600019.SH,X000792.SZ,X600010.SH,X600011.SH,X600660.SH,X600188.SH,X000877.SZ,X000301.SZ,X002271.SZ,X601600.SH,X000708.SZ,X601898.SH,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X002080.SZ,X000408.SZ,X600219.SH,X600803.SH,X002326.SZ,X300073.SZ,X601991.SH,X600795.SH,X000786.SZ,X300037.SZ,X000831.SZ,X000959.SZ,X600516.SH,X600688.SH,X600399.SH,X600027.SH,X600141.SH,X600096.SH,X000825.SZ,X600486.SH,X600352.SH,X600157.SH,X600489.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600803.SH,0,0,0,0,0,0,0,-0.0194705490619295,0.262055293391388,0,0,0,0,0.177017583734775,0,0.0173474865680957,0,0,0,0,0,0,0,0,0,0,0.32456034175625,0,0,0,-0.0834698423197127,0,0,-0.0930459663766357,0,0,0,0,0,0.0612130961411075,0,0,0.025211560784867,0,0,0,0,0,0,0,0,-0.0217040480514953,0,0,0,0,0,0,0
X002326.SZ,0,0,0,0,0,0,0.254731124146711,0.119442006457248,0,0,0,0,0,0,0,0.43435463727997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551192374259912,0,0.160260822700448,0,0,0,0,0,0,0,0,0,0,0,0,0.0851340547585496,0,0,0,0,0,0,0
X300073.SZ,0,0,0,0,0.0916469456387896,0,0,0.072827814771723,0,0.128509851101748,0,0,0,-0.113500091687077,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0987693851815297,0,0,0.214803247389725,0,0,0,0,0.173080474221975,0,0,0,0,0,-0.020273345137888,0.00731540512941648,0,0,0,0,0,0,0,0,0.015119431863208,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0.169389471890936,0,0.00231500575268277,0,0.0631164316501451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34564438090748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049882936219883,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0651139381036624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300086749324188,0,0,0,0,0,0.231885574212232,0,0,0,0,0.0435254137365763,0,0.0416089610110068,0,0.229917184266945,0,0,-1.0842021724855e-19,0,0,0,0,0,0,-0.0371089977586785,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,-0.0424205135246189,0,0,0,0,-0.0111229961876923,0,0,0,0,0.28928091388059,0,0,0.189456526509362,0,0,0,0,0,0,-0.1293118469595,0,0,0,-0.0136797693695092,0,0,0,0,0,0,0,0,-0.0416333735192599,0,0,-0.0108655592108372,0,0,0,0,0,0,0.299625756086369,0,-0.0347317583052821,0,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0,0,0.0994570195463969,0,0,0,0,0,0.0639585583354862,0,0,0,0,0,0,0,0,-0.0979833882697686,0,0.0421312011587138,0,0,0,0,0.147919288147617,0,0,-0.155964505053397,0,0,0,-0.086802017233948,0,0.0243478474132635,0.142484810086654,0.113569096859091,0,0,0,0,0,0,0,0,0,-0.0927500653174819,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0,0.578399533485141,0,0,0,0,0,0,0,0,0.0251915282575381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192928080033892,0,0,0,0,0,0,0,0,-0.017859002161737,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,-0.0508879380999452,0,0,0,0,0,0.168635608805078,0,0,0.0647772454426307,0,0,0,0.0353854649033503,0,0,0,0,0.0387287183806331,0,0,0,0,0,0.233178151134381,0,0,0,0,0,0,0,0.0277005743980196,0,0,0,0,0,0,0,0.120336611777665,0,0,0,0,0,0,0.019284192991669,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0.233050115459363,0.363487929237498,-0.060347104608776,0,0,0,0,0,0,0.100565000150391,0,0,0,0,0,0,0,0,0,0.034554915354771,0,0.113792491842098,0,0,0,0,0,0,0,0,0,-0.184036804297085,0,0.0568664029936762,0.0429080289336771,0,0,0.0555843728040779,0,0,0,0,0.0172571740290784,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0429000381834375,0,0.162500451152902,0,0.0330686249594843,0,0.00577841451287774,0,0.00963318129713681,0,0,0,0.14568024936939,0,0.117326360952718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070846000573219,0,0,0.00729634027021087,0.0880424005169588,0,0,0,0,0,0,0,0,-0.0299042338236349,0,0,0,0,0,0,0
X600399.SH,0,0,0,-0.232213428182268,0.141442372851176,0,0.0419583600016894,0,0,0,0,0,0,0.0481090910332791,0,0.0495913818636244,0,0,0,0,-0.127840631074932,0,0,0,0,0,0,0,0,0,0.00719960453775241,0,0,0,0,0.143053334116103,0,-0.050483993812587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201583209056604,-0.0443873654928209,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0.0894697269942837,0,0.307838811375037,0,0,0,0,0,0,0,0,0,0,0.0383535759565813,0,0,0,0,0,0,0,-0.0246464865351785,0,0.0883217941927698,0.610512165389461,0,-0.015990927076816,-0.0184750339199027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00348771054692473,0,0,0,0,0,0,0
X600141.SH,0,0,0,0,0,0,0,0.111744559840561,0,0,0,0,0,0,0,0.17438166625765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0516948372914518,0,0,0,0,0.231184717616036,0.0363903805139411,0,0.0274292765625442,0,0,0,0,0.465641779259562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248490715588603,0,0.232265195002716,0,0,0,0,0,0,0,0,0,0,0,0.056394881173891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469746910796854,0.458486507741708,0,0,0,0,0,0,0,0,-0.0162295302324877,0,0,0,0,-0.0762047695748577,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0.040313715025936,0,0,0,0,0,0,0,0,0.169636190962744,0,0,0,0,0,0,0,0,0,0,0.319811451262207,0.116324619715426,0,0,0,0,0,0,0.0980440577694618,0,0,0.032678614875772,0,0,0.0514421274515254,0,0,0,0,0,0,0,0,-0.0219033936754927,0,0,0,0,0,0,0
X600486.SH,0,0,0,0,0,0,0.0164112234794274,0,0,0,0,0,0,0.0879016635959467,0,0,0,0,0,0,0,0,0,0.0260568947834093,0,0,0,0,0,0,0,0,-0.0231985272297838,0,0,0,0,0,0,0,0.0532200996577576,0,-0.0990533152818713,0,0.00993239636997796,0,0,-0.204970694506331,0,0,0,0.0149374219804671,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108961367377503,0,0,0,0,0.0291287313178679,0,0,0,0,0,0.0425128270222447,0,0.0157465541706054,0,0,0,0,0,0.0294833969483226,0,0,-0.0179494172672889,0,0,0,0,0.0164144689876516,0,0,0,0,0,0.0108111181708897,0,0.129693536729726,0,-0.0284513413942965,-0.0129769503805741,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0.17714192505025,0,0,0,0,0.0444413721484652,0,0,0,0,0,0,0,0.0241370530594096,0,0,0,0.0603565866051896,0,0,0.0225096382517258,0,0.0252102995392412,0,0.112810057075963,0,0,0,0,0,0.0165661399519882,0,0,0,0,0.150342261437298,0,0,0,0,0,0,0,-0.0183613425006174,0,0,0,0,0,0,0
X600489.SH,0,0,0.10381665401701,0,0.0757447131673266,0,0,0,0.0704169293435026,0,0,0,0,0,0,0,0.0209806431055742,0,0,0,0.0728072293365986,0.0354552245576164,0,0,0.0571118227492716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166648777225618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600801.SH,0,0,0,0,0,0.0678339413761389,0.0894999595049585,0,0,0,0,0,0,0.029155304543172,0.328948430330388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00938641520300956,0,0,0,0,0,0,0.0615662521575133,0,0,0,0,0,0.137561069384286,0,0,0.0855244445078467,0.103143412653959,0,0,0,0,-8.470329472543e-22,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028668317610898,0,0,0.0314931169045587,0,-0.0591897438827194,0,-0.109935908164449,0,0,0,0,0,0,0,0,0,0.0366726777961522,0,0,0,0,0,0,0,0,-0.066781531577329,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,-0.375939477553246,0,0.189370513538802,0,0,0,0,0,0,0,0,0,0,-0.0822852473884907,-0.0355828233806037,0.333550770614719,-0.212558714128765,0,0,0,0,0,0,0,0.130140836923323,0,-0.108057902175601,0.352079406223307,0.231129339446957,0,0,0,0,0,0,0,0,0,-0.293609917507602,0,0,1.18363269522772,0,0,0,1.40686031452577,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215286053549445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60903582807954,0,0,0,0,-0.390464239634131,0,0
RealEstate_excess,0,0,0,-0.0351828484836873,0,0,0,0,0,0,0,0,0,-0.00706474612911002,0,0,0,0,0,0,-0.0311333244828496,0,0,0,0,0,0.0128631406892874,0,0,0,0,0,-0.0303586000700902,0,0,-0.0644669975074149,0.031064310844797,0,0,0,0,0,0,0,0.0563727288260048,0,0,-0.071251201641372,0,0,0,-0.00500159644331682,0,0,0,0,-0.129714817092818,0,0
MKreturn,0,0,0,0,-0.042824175386947,0,0,0,0,0,0,-0.0166469216384797,0,0,0,0,0,0,0,0,0.102149068237949,0,0,0,0,-0.0317148812336467,0,0,0,-0.0231547453451431,1.73472347597681e-18,0,0,0,0,0,0.00563830055326035,0,0,0,0,0,-0.0413608485974249,0.0400822838290104,0,0.0213692564255386,0,0,0,0,0,0,1.33457172022425e-05,0,0,0,-0.103700973112763,0,0
MKvol,0,0,0,0,0,0,0,0,0,-0.00274681738004919,0,0,0,0,0,0,-0.000923255689545231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00259981485314013,0,0,0,0,-0.000751132227211461,0,0,0,0,-0.00186069034500178,0,0,0,0,0,0,0,0,0,0.00779248369239322,-0.00557322284810584,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,-0.0641059669339066,0,0,0,0,0,0,0,0,0,0,-0.0392819654573063,0,0,0,-0.0554053124287374,0,0,0,0,0,0,0,0,-0.00141621268625617,0,0,0,-0.0323607793954996,0,0,0,-0.115553266115855,-0.270333607473312,0,0,-0.0317287389210583,0,-0.035519275898823,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,-0.00279270309270732,0,0,0,0,0,0,0,0,0,0.00234483728464049,0,0,0,-0.00791390859711412,0,0,0,0,0,0,0,0,0,-0.00278403182347437,0,0,0.000572380969470877,2.71050543121376e-20,0,0,0,0,-0.00212468144910671,0,0,0,0.00236649548320635,-0.000979131098756747,0,0,0,0,0,0,0,0,0,0.0139108215398369,-0.0111891415269733,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00931453100378313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000652038738131936,0,0,0,0,0,0,0,0.00335901488390851,0.00264218198438934,0,0,0,0,0,0
