,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X002466.SZ,X600660.SH,X600688.SH,X600362.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X601991.SH,X600547.SH,X600886.SH,X600176.SH,X600516.SH,X600111.SH,X000898.SZ,X000786.SZ,X000709.SZ,X002271.SZ,X600352.SH,X000792.SZ,X000825.SZ,X600027.SH,X000553.SZ,X600299.SH,X601699.SH,X000408.SZ,X601158.SH,X600808.SH,X600219.SH,X600489.SH,X000830.SZ,X600426.SH,X000883.SZ,X000959.SZ,X002110.SZ,X000630.SZ,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000898.SZ,0,0,0,0,0,0,0,0,0,0.0881445627182271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369011633103308,0,0,0.524110839348702,0,0,0,0,0,0,0,0,0.0637073260812167,0,0,-0.0164783020790015,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0.254395722490615,0,0,0,0,0.108373470620762,0,0,0,0,0,0,-0.0560542068458772,0,0,0,0,0.186083879333457,0,0,0,0,0,0.261974882269682,0,0,0,0,0,0,0,0,0,0,0,0,0.0721640348895006,0,0,0,0.0254578559559792,0,0,0,-0.0455652981746412,0.0483889603980079,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0.0344542855462173,0,0,0,0,0,0,0.0294112699193321,0.115956937966433,0,0,0,0,0,0.0574508100697795,0.0112135031489529,0,0,0,0,0,0,0,0,0,0,0,0,0.19454309505857,0,0,0,0,0,0.2047434032297,0,0,0,0,-0.0012966180194573,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839805072308355,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.162181196404132,0,0,0,0.0346065870355168,0,0,0,0,0,0,0,0,0,0,0.0318169031415017,0.239105982698598,0,0,0,0,0,0,-0.0374687192994929,0.02749427381828,0,0,0,0,0,0
X600352.SH,0,0,-0.310485402268171,0,0,0,0,0,0,0.136407552108201,0,0.0805554033494281,0,0,0,0,0,0,0,0,0,0.063783128234905,-0.0242888405512117,0,0,0,0,0,0,0,0,0.467763935081407,0,0.207692919480209,0,0.139650849730911,0,0,0,0,0.419342783836029,0,0,0.0310810972075717,0,0,0,0,0.00486529828047479,0,0,0,0,0,0,0
X000792.SZ,0,0,0,-0.0281557151568262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323680352080091,0.134673565294156,0,0,0,0.228917951902499,0,0,0,0,0.381903163902761,0.0679672807533307,-0.0794560516622815,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225115207284505,0.0300884101426358,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124086457969197,0,0,0,0,0,0,0,0,0,0,0,0,0.368279386035976,0,0,0.191774880865492,0,0,0,0,0,0.0727704619309539,0,0,-0.023498192220857,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.143576324362584,0,0,0,0,0,0,0,0,0,0,0,0.0313467189712918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.196427320920822,0.00656777422183828,0,0.110965012530039,0,0.0114799487529457,-0.0160640547263016,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337188773439036,0,0,0,0,0,0.0882396260027974,0,0.0806985130090182,0,0,0,0,0,0.19122112674834,0,0,0,0,0,0,0,0,0,0,0,0.120216417435476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245947883448006,0,0,0,0.0479334383794933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183817291105518,0,0,0,0,0,0,0,0,0.0784337634678271,0,0,0,0,0,0,0,0.00584631961347708,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0.468565578804073,0,0,0,0.0545393689597565,0,0,0.0519794220728624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345390636842415,0,0.293727845465512,0,0,0.00482714593006195,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132555675855114,0,0,0,0,0,0,0,0,0,0,0,0,0.144335207239151,0,0,0,0,0,0,0,0,0,0,0.0922963441931635,0,0,0,0,0,0,0,-0.00865918403692522,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0.0434252794061683,0,0,0,0,0,0,0.043840568746762,0.0100339866448107,0.040883390540894,0,0,0,0,0.00285110196265229,0,0,0,0,0,0,0,0,0.107266671922656,0.0417882548655547,0.0358013293352372,0,0,0,0,0,0,0,0,0,0,0.0208739052960755,0,0.0318945015435952,0,0.00219134519914462,0.00378983659651954,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0.0441095440283,0,0,0,0,0,0,0,0.0399345623893416,0,0,0,0,0,0.0723544800018079,0.362745666862812,0.108487199479704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109745898114028,0,0.0746638187225371,0,0,-1.35525271560688e-20,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.00398112455531671,0,0,0,0.0232109193573641,0,0,0,0.0488995412179543,0,0,0,0,0.020007576741049,0.0519130899841909,0,0,0,0,0,0.183388838429671,0,0,0,0,0.1627615526884,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.00608117863171741,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0.016543376983149,0,0,0,0,0,0,0.0408406517796466,0,0.653236229360378,0,0,0,0.008490350331982,0,0,0,0,0,0.0743187932251474,0,0,0.0631954281168303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00398923895758379,0,0,0,0,0,0,0
X000830.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474539755698482,0,0,0,0.453287177403136,0,0,0,0.139864861049706,0,0,0,0,0,0,0,0,0,0,0,0.465208041239348,0,0,0.349812512788652,0,0,0,0.074766055896802,-0.0495805393941726,0,0,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382418165074299,0,0,0,0,0,0,0,0.110190811374003,0,0,0,0.227591509441501,0,0.0329665477421949,0,0,0,0,0,0,0,0,0,0,0.00882212637820209,0,0,0,0.203413235667234,0,0,0,-0.00704365428480278,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0.0172591743534013,0,0,0,0,0,0,0.0609281066050762,0.0158295905863962,0,0,0,0,0,0.113301269185225,0,0,0,0,0.0133581401818858,0,0,0.133423842059967,0,0,0,0.0388106164994648,0,0,0,0,0,0,0,0,0.0393687436715479,0,0.0188227740098432,0,0,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0.229916931964665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918557183408063,0,0.0999798098321449,0,0.0338972758618505,0,0,0,0,0,0,0,0.0185346358229063,0,0,0,0,0,0.022848451497531,0,-0.0131536673771612,0,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0,0,0,0,0,0.35540042125337,0,0,0,0,0,0,0.141224438780086,0,0,0,0,0,0.280340366662611,0,0,0.249505906753029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475449207434449,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11032031849636,0,0.0706037130371976,0,0,0,0,0,0,0,0.0845754926676416,0,0,0,0,0,0.052727924401505,0.0509641072513273,0,0.0259397327135329,0,0.0247516385084635,0,0,0,0,0.116696235680816,0,0,0,0,0,0,0,0,-0.00375549568177337,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0.166039345850607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705244955172312,0,0.0533827373120236,0,0,0,0.327300359228353,0,0,3.46944695195361e-18,0,0,0.0135527888021763,0,0,0,0,0,0,0,0.0027934443735331,0,0,0,0,0,0,0
Change_TY3M,0,-0.161953725483825,-0.0180034797026763,0,0,0,0,0,-0.110783783841304,0,0,0,0,0,0,0,0.026975557024728,0,0,0,0,0.0699485530627919,-0.0294484242995398,0,0,0,0,0,0,0,0,0,0,-0.123770417016535,0,-0.214450822978015,0,0,0,0,0,0,0,0,-0.0105738848399673,0,-1.73472347597681e-18,0,-0.0450816825101219,0.0334705139578578,-0.0591071065785214,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0737828166614691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185659131983867,0,0,0,0,0,0,0,1.1830108323353,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990291091842272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526747984569849,0,-0.0416506139553445,0,0,-0.039177514703353,0,0,0,0,0,0,0,-0.189624435436253,0,0,0,-0.0893145787618095,0,0,0,0.78188382552161,0,0,0,0,0,0,0
RealEstate_excess,0,0.030604174795728,0,0,0,0,0,-0.0863343679457284,0,0,0,0,0,0,-0.270989068905419,0.0812213056695345,0,0,0,0,0,0,0,0,-0.0444030937938529,0.0324287790223051,0,0,0,0.0414856394213536,0,0,-0.0730733861536042,0.084242196572571,-0.0237542554211339,0,0,0,0,0,0,0,0,0,0.0617272431303679,0,0,0,-0.0408662393630742,0.0328347158261764,0,0.0831574685982014,0,0,0,0
MKreturn,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0354618754106916,-0.150909893360374,0,0,0,0,0,0,0,0,0,0,0,0,-0.00227360525003234,0,0,0,0,0,-0.00738931391635467,0,0,0,0,0,0,0,0,0,0,0.0915588738468286,0,0,0,0,-0.0497702925048316,0,0,-0.00205625232703748,0,0.217974644394166,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000914015577438695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0022103823779907,0.00540162388210846,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0.0120152353673189,0,0,0,0,-0.00612669695935456,0,0,0,0,0,0,0,0,0,-0.0063656748426516,0,0,0,0.00502817345313605,-0.019949145322552,0,0,0,-0.000632861098974709,0.0417005556552674,0,0,0,0,-0.0129618812749487,0,0,0,0.0202014410504662,0,0,0,-0.0231460198691224,0.0266845088508629,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0.00313067195525001,0,0,0,0,0,0,0.00590218241269029,0,0,0,0,0,0,-0.00804998026455906,0.00182325326370644,0,0,0,0,0,0,0,0,0,-0.014595979744391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00809969439519297,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493068444354425,0,0,0,0,0,0,0,0,0,0,0,-0.00652982606775314,0,0,0,0,0,0,-0.0495090282448679,0.0620578768958588,0,0,0,0,0,0
