,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600547.SH,X601600.SH,X601898.SH,X600111.SH,X000708.SZ,X600660.SH,X600010.SH,X000301.SZ,X600886.SH,X002271.SZ,X000877.SZ,X600362.SH,X600426.SH,X600795.SH,X600803.SH,X600176.SH,X600027.SH,X601991.SH,X600489.SH,X601699.SH,X000807.SZ,X000983.SZ,X600160.SH,X600995.SH,X000786.SZ,X000933.SZ,X000629.SZ,X002080.SZ,X600219.SH,X300037.SZ,X000932.SZ,X000723.SZ,X600378.SH,X600688.SH,X600096.SH,X000408.SZ,X000831.SZ,X000630.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.00202234995476419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12049604057495,0,0,0,0.0753794114928525,0,0.0066344056361578,0,0,0.085688326462079,0,0,0.224010609772932,0,0.162526054940177,0.188612596983632,0,0,0,0,0,0.0920113856204552,0,0,0,0.00865880590765994,0,0,0,0,0,0,0
X000877.SZ,0,0,0,0,-0.024051277037902,0.176933947762594,0.319059169146907,0,0,0,0,0,0.0409991996713324,0,0.0405539586286875,0,0,0,0,0,0,0,0,0,0,0,0.0225998332715556,0,0,0,0,0,0,0,0,0.111483013832534,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018922860980413,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0.00696176051893336,0,0,0,0,0,0,0.0299672613082013,0.414639292183021,0.0367533724294917,0,0,0,0,0,0,0.0133492732306513,0,0,0,0,0,0,0,0,0,0,0,0.113649261871925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476603993849266,0,0,0.00587617527931839,0,0,0,0,0,0,0
X600426.SH,0,0,0,0.657161520125898,0.1737307456592,0,0,0,0,-0.0124198100275821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0541912026363539,0,0,0,0,0,0,0,0,0,-0.211216415827283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243710051849643,0.0214839562910106,0.0325629017209421,0,0,0,0,0,0
X600795.SH,0.0993933367520561,0,0,0,0.00750241658067533,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0112503108737978,0,0,0,0,0.0631314889164491,0,0.12295527101128,0,0,0.0696323144917675,0,0,0,0,0,0.035787112148733,0,-0.0700477925449027,0,0,0,0,0,0,0,0,0,0,0,0,-0.00805010008664959,0,0,0,0,0,0,0
X600803.SH,0,0,0,-0.0711768532412749,0.14325516876649,0,0,0.160487815790469,0,0,0,0,0,0,0.149317385465226,-0.0855128990504459,0,0,0,0,-0.0701882327966581,0,0,0.314631121754541,0,0,0,0,0,0,0.0170702155321427,0,0,0,0,-0.0478209517209086,0,0,0,0,0,-0.0826430896420074,0,0,0,0,0,0,-0.0410395143075243,0,-0.0289334430219211,0.0146239703344014,0,0,0,0,0,0,0
X600176.SH,0.000987608682054016,0,0,0,0,0.0498336376320032,0,0,0,0,0,0,4.33680868994202e-19,0,0.0092366862852096,0,0,0,0,0,0.0185299685987056,0.133924694526124,0,0,0,0,0,0,0,0.0478125197405726,0,0,0,0,0,0,0.0766676938749296,0,0,0,0,0,0,-0.0190371887412086,0,0,0,0,0,0,0,0.0367489868516561,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0.408605455375971,0,0,0,0,0,-0.0359173940062811,-0.116185977314556,0,0,0,0,0,-0.113416172968993,0,0,0,0.655351600890509,0.0471796561628863,-0.0549766636252403,0,0,0,0,0.121088272791664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156370690218888,-0.0096955455618987,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,-0.0967123613315871,0,0,0,0,0,0,-0.0523024146692017,0.105082585342147,0,0,0,0,0,0,0,0,0,0,-0.00435804149751768,0,0,0,0.156984444859506,0,0,0,0,0,0,0,0,0.158122819617802,0,0,0,0,0,0.0258169522427076,0,0,0.0268153521057751,0,0,0,0,0,0.00998124745403708,-0.000561850592109965,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0.666006587355833,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189410939708791,0,0,0,0,0,0.102451301832531,0,0,0,-0.0226634225094747,0,0,0,0,0.0152498651652454,0,0,0,0,0,0,0,0,0,0,0.0342052932879326,-0.0510197209234503,0,0,0,0,0,0
X601699.SH,0,0.0580375783441429,0,0,0.215002773236995,0,0,-0.0672941077783449,0,0,0,-0.0153194083643266,0,0,0,0,0,0,0,0,0,0,0,0.0167739406589783,0,0.229436650547229,0,0,0,0,0,0,0.458362613837969,0,0,0,0.119097754098564,0,0,0,-0.0358451475853107,0,0,0.119199381065794,0,0.373431840338541,0,0,0,0,0,-0.0492524079950486,-0.00467454019171032,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,-0.130735434374628,0,0,0.446445735519255,0,0,0,0,0,0,0,0,0,0,0,0,0.199318533476671,0,0,0,0,0,0,0,0.0293145304656235,0,0,0.292728332115646,0,0,0,-0.0023667288795727,0,0.0759427928495517,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0184528608295105,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.257938794186834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364931061226524,0,0,0,0,0,0,-0.233890902127098,0,0,0.353052647073713,0,0,0,0,0,0,0,0,0,-0.0852673401219554,0,0,0,0,0.0378299422836998,0,0,0,0,0,0.0190994282532425,0,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0268292081343597,0,0,0,0,0,0,0,0,0,0,0.0649414842325488,0,0,0.134828778066669,0,0,0,0,0,0,0,0,0.0949507495306804,0,0.352255300244574,0.0459146432798758,0,0,0,0,0,0,0.101189174672551,0,0,0,0,0,-0.0289082362288899,-0.0272685901595044,0,0,0,0,0,0
X600995.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.16787753919993,0,0,0,0,0,0,0.0722834534776072,0.0545006621474382,0,0,0,0,-0.0875039756053545,0,0,0.100239467024945,0,0,0,-0.0265201656151878,0.164096256431137,0,0,0.0860543085492446,0,0,0,0,-0.0640535605825021,0,0.00521324743266722,0,0,0.0947013897144751,0,0,0,0,-0.0100136920732319,0.0286074733118602,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0758561190225308,0,0,0,0,0,0,0,0,0,0,0,0.448921346021372,0,0,-0.0850628616998544,0,0,0.122714424270049,0,0,0,0.0115283690317406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710562270382063,-0.0486175105650578,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409811354956104,0,0,0,0,0.112890441116039,0.67441582781972,0,0,0,0,0,0,0,0,0,0,0,0.0815324184520291,0,0,0,0,0,0,0,0.0167638749326645,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0.245018119032627,0,0,0,0,0.192562040083172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311919645653685,0,0,0,0.0599085840046505,0,0,0.065260559308454,0,0.0111489793194486,0,0,0,0,0,0,0,0,0,0,0,0.00236400271379096,0,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000618124936030981,0,0.111161177175639,0,0,0,0,0.0182926043653456,0.307005743107962,0,0.154385330516324,0,-0.0684023698531236,0,0,-1.73472347597681e-18,0,0,0,0.163751317003997,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.00156489842019644,0,0,0,0.0155977092816421,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.0265183085042161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27528186128697,0,0.0322795881562084,0,0,0,0.0200805552602379,0,0,0,0,0,0,0,0,0,0.026695343167974,0,0,0,0.00667873403045503,0,0,0,0,0,0,0
X300037.SZ,0,0,0,-0.0352049268649615,0,0,0,0,0,0,0.22052084139917,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.145268340873821,0,0,0,0,0.0822704574072896,0.0396516554499502,-0.176556793965367,0,0.0111330588654105,0,0,0,0.138390997192995,0,0,0,0,0,0,0,-0.168888244138976,0,0,0,0,0,0,0.0120063121066954,0,-0.0189324988543271,-0.00347485602969396,-1.73472347597681e-18,0,0,0,0,0,0
X000932.SZ,0,0.00956568200673241,0,0,0,0,0,0,0,0,0,0,0.175376409085739,0,0,0,0,0,0,0,0.0513470338176752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632900806877387,-0.0310167326638277,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0287067883807302,0,0,0,0,0,0,0.0820741593469646,0,0,0,0,0,0,0,0,0,0.067041172700836,0,0,0.0941176329310772,0,0,0,0,0,0.0587149884008893,0,0,0,0,0,-0.0204332804058871,0,0,0,0,0,0,0,0.00905263476016706,0,0,0,0,0,0,0
X600378.SH,0,-0.00903865349738722,0,0,0,0,0,0.210738194324668,0,0.0484027963075765,0,0,-0.00349842971183185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295055028293975,0,0,0,0,0.125864394457452,0,0,0,0,0,0,0,0,0,0,0,0.165001411831972,-0.155809293036944,0,0,0,0.0152813893549644,0,0,0,0,0,0,0
X600688.SH,0.09152894700651,0.039918431050479,0,0,0,0,0,0.015390133514385,0,0,0,0,0,0,0,0,0,0,0.023584725182853,0,0,0.0497293260326022,0.190656875980399,0.0298916085210574,0,0,0,0.0368098829222369,0,0,0,0,0,0,0,0.0929432106754931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206370400742507,-0.00586702277054997,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,-0.000201922025791758,0.0179116059086679,0,0,0,0,0,0,0,0.0668894902545312,0.00924267494487705,0,0,0,0,0,0,0,0,0.178283217839526,0,0,0.273528731600312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12082098316867,0,0,0,0.0158454116179998,-0.0116646426912277,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0.295654850838285,0.135770992818172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512285315761781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050241150986576,-0.010631951586038,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0.0966058974321473,0,0,0,-0.00684334424897341,0,-0.0101027865745386,0,0,0,0.835660554525378,0.0655806865817083,0,0,0,0,0,0,0,0,0,0,0,0.0349402474251383,0,0,0.0408077076746199,0,0,-0.0989791364603431,0,0,0,0,-0.0573140139504322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563644024847751,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0.0841687770265963,0,0,0,0,0,0,0,0.113869321180756,0,0,0,0,0,0,0,0.0429791417945739,0,0.415538475981451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110040095633536,0,0,0,0,0,0,0,0,0,0,-0.0402220670648444,0,0,0,-0.00458265304186498,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0274626958904827,0,0,0,0,0,0,0,0.00224239822534715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929990908697847,0,0,0,0,0,0,0,0,0.0852378009494488,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0.0715962113600698,0,-0.211198535315133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311812514024332,0,0,0,0.189863342976851,0,0,0,0.175763308261838,0,-0.0313585780381955,0,0.0593712665840071,0,0,0,0,0,0,0,0,0,-0.136828789391869,0,-0.0466119856207352,0,0,0,0.0478778402840514,-0.105712792894831,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137439789947923,0,0,0,0,0,0,0,0,0,0.248417629122904,0,0,0,0,0,0,0,-0.02634426005776,0,0,0,0,-0.202272369555067,0,0,0,0,0,0,0,0,1.23725979905064,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727800922217811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102578627702234,0,0,-0.0892965568099826,0.798774684208335,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,-0.055018728712441,0.0701077711805811,0,0,0,0.00912771427557098,0,0,0,0,0,0,0,0,-0.0275156795103288,0,0,0,0,0.0857114557284274,0,1.73472347597681e-18,0,0.0408060422381592,0,0.0473484404791046,0,0,0,0,0,0,0,0,0,0,0,0.0228561606424162,0.0582145524997326,-0.120655402965078,-0.141701836972104,0,0,0,0,0.0273247306396655,-0.0494542005926116,0,0,0,0,0,0
MKreturn,0,-0.0910327639279474,0,0,0,0,0,0,0,0,0,0.0123815047562269,0,0,-0.0233883722954569,0,0,0,0,0,0,0,0,-0.0469570305672324,0,-0.129522344617348,0,0,0.0115201773772897,0,0,0.0288859050277044,-0.0144325966064234,0.010489873707047,0,0,0,-0.0558492341544177,0.0558127916994513,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0163637188627753,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000967217917223826,0,0,0,0,0,0,0,0,0,0,0,0.000680313400268959,0,0,0,0,0,0,-0.00153219437188801,0.00383362934564944,-0.00494567739415915,0,0,0,0,0,0
CarbonVol_Shenzhen,-0.0155314597954056,0,0,0,0,0,0,0,0,0,0,-0.0328594109808067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219378319050083,0,0,0,0,0,-0.0123948435685349,0,0,0,0.00545631077666021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115088964075849,-0.142611818656863,0,0,0,0,0,0
CarbonVol_Guangdong,-0.00253499314400261,0,0,0,0,0,0,-0.0103888729183165,0,-0.000134022273581603,0,-0.0116206762185481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258755137717091,0,0,-0.0104469393054444,0,0,0,0,0,0,0,0,0,0.00953260582588872,0,0,0,0,0,0,0,0.0373419870067021,-0.0476385927941707,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332742349509405,0,0,0,0,0,0,0
