,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600188.SH,X600362.SH,X601992.SH,X002466.SZ,X000898.SZ,X600176.SH,X600111.SH,X600516.SH,X002460.SZ,X000709.SZ,X600299.SH,X600352.SH,X600489.SH,X600808.SH,X601158.SH,X000629.SZ,X600801.SH,X600219.SH,X000786.SZ,X300072.SZ,X000825.SZ,X000883.SZ,X000553.SZ,X600583.SH,X000539.SZ,X000408.SZ,X000792.SZ,X601699.SH,X000301.SZ,X600339.SH,X002271.SZ,X600612.SH,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627418013456037,0,0,0,0,0.22826653389246,0,0,0,0,0,0,0,0.0975262429346437,0,0,0,0.0343920295856681,0,0,0,0,0,0,0,0,0,0,0.0680334898617602,0,0,0,-0.0107059603869318,-0.0109116235708057,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120243474990469,0,0,0.28191402023876,0,0,0,0,0,0,0,0.222878497122461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00218167129235788,-0.0448178341447261,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0.107949190018364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507303318043825,0,0.235986332842703,0.00590273744908372,0,0,0,0,0,0,0,0,0,0,0.0286660524788337,0,0,0,0,0,0,0,0,0,0,0.194054590778565,0,0,0,-0.0125711775597966,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.658630133242029,0,0,0,0,0,0,0,0.147491866500906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620681682783859,0,0,0,0,0,0,0,0,0,0,0,0.0368174065020777,0,0,0,0,0,-0.0079659270651083,0,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0.0432119483857663,0,0,0,0,0,0,0,0,0,0,0.0287520177982006,0,0,0,0.102690295778553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911375183599558,0,0,0,0.360649019544242,0,0.0103284321863769,0,0,0,0,0,0,0
X601158.SH,0.0758608848763308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697681917230376,0.0493998865206566,0,0,0,0.146371085359751,0,0,0,0,0,0,0,0,0,0,0.0142212524744092,0,0,0,0,0,0,0,0,0,0.0569952108225734,0,0,0,0,0,-0.00701649642209357,-0.00952721514036239,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724762284904304,0,0,0.00189848829211235,0,0,0,0,0,0,0,0,0,0,0.289799188151916,0,0,0,0,0,0,0,0.175769611263755,0.245507068913962,0,0,0,0,0,-0.0222239713896865,0,0,0,0,0,0,0
X600801.SH,0.0591050012898386,0,0,0.1631908256831,0,0,0,0,0,0,0,0,0,0,0,0,0.11265818332074,0,0,0,0,0,0.0871338238663545,0,0,0,0,0,0,0,0.0104097696095653,0,0,0,0,0,0,0,0,0.382582603857121,0,0,0,0,0,0,0,0,0,0,0,-0.0169613219430879,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0.0917338174124562,0.194043032908293,0,0,0,0,0,0,0,0,0,0,0,0.0671402945666883,0,0,0,0,0,0,0.176241251340259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353579016596887,0,0,0,0,0,0,-0.0602282507393799,0.00880656968712594,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0.00262431050724559,0.0936785424939301,0,0,0,0,0,0,0,0,0,0,0,0,0.0371388733468504,0,0,0,0,0,0,0,0,0,0,0,0,0.125576119527689,0,0,0,0,0,0,0.0941482350557492,0,0,0,0,0,0,0,0.401142661545666,0,0,0,0,0.0163110972222924,0,0,0,0,0,0
