,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X300072.SZ,X600188.SH,X600795.SH,X600547.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X601992.SH,X600886.SH,X600489.SH,X600309.SH,X600660.SH,X600623.SH,X600299.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000898.SZ,X000723.SZ,X000408.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X600549.SH,X000959.SZ,X000539.SZ,X000027.SZ,X600176.SH,X002470.SZ,X000630.SZ,X600021.SH,X000060.SZ,X000012.SZ,X002460.SZ,X600758.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600549.SH,0,0,0,0,0,0,0,0,0,0,-0.0760678752276743,0,0,0,0,0,0,0,0.327284757952638,0,0,0.0779546532247599,0.0443288941485237,0,0,0,0,0.17143515929304,0,0,0,0,0,0,0,0,0,0.0713072244713789,0,0.0178861931352197,0,0,0,0,0,0.0341223702225877,0.386305423785739,0,0,0,0,0.0711623511510211,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0.155014517433698,0,0,0,0,0,0,0,0,0,0,0,-0.0411615871484658,0,-0.0370876052569101,0,0,0.0606072189668422,0.016596667492043,0,0.122015796864237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275393417695176,0,0,0.135066923844897,0,-0.0442221255919679,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0.0408924397496127,0,0,3.46944695195361e-18,0.0402590705817471,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.00648082502880504,0.0812056924191655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260660291418987,0,0,0.107487373518576,0,0.0722001695970434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0.0430245612492712,0,0.0105544656999342,0,0,0,0,0,0,0,0,0,0.0797366513101053,0,0,0,0,0,0.0309738199584477,0,0.0422450805291373,0,0.120266146116428,0,0,0,0,0,0.0687704842319154,0,0,0,0.0162917072823835,0,0,0,0.145282312029829,0,0,0,0,0,0,0,-0.0111377945524769,0.00200672213540984,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0.0734967493395239,0,0,0,0,0,0,0,0,0.0142417950088169,0,0,0,-8.67361737988404e-19,0.236836259581666,0,0,0,0.0375672052003191,0,0.0415282891260713,0,0,-0.115579964451327,0,0,0,0,0,0,0,0,0,0,0.0181422133863227,0,0,0,0.27552867788728,0.153767639079171,0,0,1.73472347597681e-18,0.0296529061386463,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00556808625868299,0.16470615016578,0,0,0,0,0.0560127499496994,0,0.094845478864172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13352122518448,0,0.105531887795208,0,0,0,0.058528965863081,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,-0.0446210096008583,0,0,0,0,0,0,0.0180667171933739,0,0,0,0.615380020255554,0,0,0,0,0.0417067142001903,0,0,0,0,0,0.0263414930264678,0,0,0,0,0,0.00283857693980223,-0.0405431346634728,0,0,0,0,0.0496621929138454,0,0,0,0,0,0,0,0.0571498412577547,0,0.0379211954730689,0,0.0189490132823056,0,0.0742745667420707,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0.0361459709209223,0,0,0,0,0,0,0,0,0,0,0,0,0.139117424145832,0,0.119638797690126,0,0,0,0.0428716958471545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743742579315201,0,0,0,0,0,0.0565140996145073,0.0124305225230297,0,0.0469649217616431,0.0792573744855612,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0.161405546952023,0,0,0,0,0,0.0891722692694134,0,0,0,0,0,0,0,0,0,0,0.0200334104944351,0.0612245398201646,0,0,0,0,0,0,0.0194762079402699,0,0,0.141393369563943,0.121334927154585,0,0,0,0.0449098519403925,0,0,0,0.214560964017388,0,0,0,0,0,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0.0461510288256562,0,-0.0621280498603399,0,0,0,0,0,0.16128419553074,0,0,0,0,0,0,0,0.0511545073295997,-2.16840434497101e-19,0,0,0,0,0,0.0700306958479258,0,0.0638117235313145,0,0,0.12854968516547,-0.0216066717882114,0,0,0.0862858830682103,0,0,0,0.0916147059621115,0,-1.73472347597681e-18,0,0,0,-0.1233657751269,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833107177733896,0.0746441711859449,-0.108315312810589,0,0,0,0,0.13159360854808,0,0,0,0,0.0424228451506638,0.20195872349179,0,0,0,0,0,0,0,0,0,-0.133156057779446,0,-0.00963399845333156,0,0,0,0,0,0,0
X600758.SH,0,0,0,0,0,0,0,0.156892834375334,0,0,0,0,-0.0573915241402488,0,0,0,0,0,0,0,0,-0.00502951241097717,0,0,0,0,0.186474931444557,0.0379512375541683,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0558286097813152,0,0,0,0,0.00427709313872431,0,0,0,-0.156891810563366,0.0762955482682511,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0.0644492128379019,0,0.0211041673241563,0,0,0,0,0,0,0,0,-0.00676044878674764,0,0,0,0,-0.0578754166005,-0.0412496959702381,0,0,0,0.0183867659460399,0,0,0,0,0.0425093447839586,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,-0.0485419144641431,0,0,-0.0753831994822338,0,0,0.0175288746431951,-0.0320174277245907,0,0,0,0,0,0
Slope,0,0,0,0,0,0.44180330703694,0,0,0,0,0,0,-0.0161935801958302,0,0,0,0,0,-0.0535770957023864,0,0,-0.103766311850862,0.2915904691133,0,0.163273052170152,0,0,0,0,0,0,-0.798288227998749,0,0,0,0,-0.156035552118847,-0.30647258994675,0.0921345893749504,0,0,0,-0.200489266643141,0,0,0,0,0,0,0,0,0,0.239510663274006,0,-0.0162312479272625,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0.0384964524740044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0889149483315126,0,0,0.379300179232147,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,-0.257899520170441,0,0,0,0,0,0,0,0,0,0,0,-0.0721238563064883,0,0,0,0,0,0,0,0.0110124208539426,0.0952642483357119,0,0,0.0501036341398229,0,0,0,0,0,0.0486585784365838,0,0,0,0,0.0446907318411454,4.33680868994202e-19,-0.164597180558192,0,0,0,0,-0.0845746822394202,0,0,0,-3.46944695195361e-18,0,0,0,0,0.34685978086807,0,-0.114490998420765,0,0
MKreturn,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0177439228384084,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,-0.0193269915253057,0,0.0384122353246378,0.0114758556161625,0,0,0,0,-0.0789594697950622,0,0,0,0,0,0,-0.0294543051414632,-0.0218505199991999,0,0,0,-0.0355904644344194,0,0,-0.0485746920853201,0,0,0.0668454293106358,0,0,0.0110613353794288,0,0.100185100267706,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0.000379787770824283,0,0,6.44151072113654e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197113103282282,0,0,0,0,0,0.000418571962762458,0,0,0,0,0,0,0,0,0,0,-0.000280173077390777,0,-0.0016834444199877,0.00211367952465138,0,0,0,-0.0657332621166879,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,-0.0297892581862418,0,0,0,0,0,0,0,0,-0.00739484352309316,-0.0495500739544752,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0760957751754871,0,0,0,0,0,0,-0.00528432978568646,0,-0.0665042141191185,0.0549835123189587,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00241895981778718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119602860351625,0,0,0.00396614191253302,0.00923281943234712,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00347028955386685,0,0,0,0,0,0,0
