,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600660.SH,X600309.SH,X600489.SH,X000723.SZ,X600623.SH,X000792.SZ,X600299.SH,X002466.SZ,X601158.SH,X000898.SZ,X000959.SZ,X002075.SZ,X000983.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000883.SZ,X000937.SZ,X000630.SZ,X601699.SH,X600352.SH,X600549.SH,X000012.SZ,X000539.SZ,X000060.SZ,X000027.SZ,X600176.SH,X002092.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000898.SZ,0,0,0,0,0,0.00544870682345982,0,0,0,0,0,0,0,0,-0.0928846532521366,0,0,0,0,0,0,0.0836323839843477,0,0,0,0,0.078158485465241,0,0,0,0,0.131368340088193,0,0,0.219753970201183,0,0,0,0.000372328600155688,0,0,0,0,0,0,0.119224419606262,0,0,-1.73472347597681e-18,0,0,0.0264702685136715,0.0548985369997047,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0.163674061209033,0,0,0,0,0,0,-0.408209311379917,0,0,-0.0281361462076207,0,0,0,0,0,0,0,0,-0.0778960409773515,0,0,0,0,0.108962414883187,0,0,0,-0.00307762931675331,-0.129421831049525,0,0.00244341442472639,0,0,0,0,0,0.307054364780921,0.465999022285397,0,0,0.138657905108058,0,0.0210540703073551,0,0,0,0,0.0380136881847077,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0691005338341412,0,0,0,0,0,0,0,0,0.0572628218779182,0.0714937511710018,0,0,0,0,0,0,0,0,0.0821077883397897,0,0,0,0,0.0185951177877543,0,0.0329580339629935,0,0.0786964649388841,0.0579000293793955,0,0,0,0,0,-0.0605968104582142,0,0,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135047117683765,-0.0143038248443224,0,0,0,-0.0898953773857013,0,0,0.119240201485506,0,0,-0.0559778437594871,0,0.035290886241766,0,0,-0.0820087931898712,0,0,0,0,0,0,0,0,0.115932901966113,0,0.580235236560704,0,0,0,0,0,0,0,0,0,0,-0.023066822803411,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471225951248256,0,0,0,0,0,0,0,0,0,0.0365650616330255,0,0.00521276564313729,0,0,0,0.287785582935154,0.0615844112224037,0,0,0,0,0,0,0,0,0.214249837291505,0,0,0.072195307379352,0,0.0443206858858263,0,0,0,0,0,0,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0606796938681312,0,0,0,0,0,0,0.103193597482499,0.0356236472260394,0.0954031928046987,0,0,0.128662732619518,0,0,0.0612838013266218,0,0,0,0,0,0,0,0,0,0,0.00889011222518345,0,0,0.0130247781717496,0,0,0,0,-0.0384906558157617,0,0,0,0.0362126596817189,0.246750063649272,0,0,0,0,0
X600583.SH,0,0,0.0673528013401863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357977652997057,0,0,0,0,0,0.0160242047185899,0,0,0.0444063993018836,0,0.00624682023019152,0,0,0,0,0,0,0,0.0175651932643863,0,0,0.108548053434548,0.0467658954365141,0,0,0,0,0,0,0,0.0422058268810505,-0.0513426290091448,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0.00790838707775429,0,0,0,0,0.0182577339630491,0,0,0,0,0,0,0.0882613103506339,0.0603206716770389,0,0,0,0.160010061173576,0,0,0.0540908480871666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377145467950201,0,0.0424016209541067,0,0,0,0,0,0,0,0,0,0,0,0,0
X000937.SZ,0,0,0.184722160283862,0,0,0,0,0,0.0708754823476481,0,0,0,0,0,0.0255680652947907,0,0,0,0,0,0,0,-0.0380880402367701,0,0,0,0,0,0,0,0,0,0,0.26725506773963,0,0,0,0,0,0,0.521057431133255,0,0,-0.0104542317688685,0,0,0,0,0,0,0,0,0.0258146689122755,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0.334725355551708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09342983461343,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210105637241756,0,0,0,0,0,0,0,0,0,0.051606342614184,0,0,0,-0.0607960593103912,0,0,0,0,0,0
