,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X000792.SZ,X002466.SZ,X601898.SH,X600019.SH,X600111.SH,X002271.SZ,X600660.SH,X000877.SZ,X000301.SZ,X600011.SH,X000708.SZ,X600010.SH,X601600.SH,X600547.SH,X600886.SH,X600795.SH,X000983.SZ,X600176.SH,X600362.SH,X600426.SH,X600096.SH,X000408.SZ,X600803.SH,X601699.SH,X000723.SZ,X000786.SZ,X600141.SH,X600486.SH,X601991.SH,X600295.SH,X002353.SZ,X600219.SH,X000807.SZ,X002192.SZ,X300073.SZ,X002080.SZ,X600157.SH,X600801.SH,X000630.SZ,X600985.SH,X600027.SH,X000683.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600801.SH,0,0,0,0,0,0,0,0,-0.0166605811131434,0,0,0,0.0277967299730808,0,0,0,0,0,0,0,0,0,0.217423738783049,0.0322593349204266,0,0,0,0,0,0,0,0,0,0,0,0,0.119213783445029,0.0353014704976954,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305530417887057,-0.0368690505485898,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.088610114219851,0,0,0,0,0,0,0.0752439380743234,0,0,0,0,0,0,0,0.138224530091397,0,0,0,0,0,0,0,0,0.263483527668618,0,0,0.266732186171862,0,0,0,0,0,0,0,0,0,0,0,0.0260325980545428,0,0,0,0,0,0,0
X600985.SH,0,0.0871561827866765,0,0,0.172818017575259,0,0,0,0,0.0255061273792335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425105754326115,0,0,0,0,0,0.0778070612985516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411856118139909,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188285587877674,0,0,0,0,0,0.0630249744992396,0,0,0,0,0,0,0,0,0,0,0,0,0.481274088155974,0.0486508781685119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00386963751394081,0,0,0,0,0,0
X000683.SZ,0,0,0,0,0.169978856961557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148258598747617,0,0,0,0,0,0,0.166379723474267,0,0,0.114489667407686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175409412910701,0,0,0,0,0,0.0454544474025154,-0.106727310947849,0,0,0,0,0,0
X000830.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0612414945716341,0,0,0,0,0,0,0,0,0,0,0.0651095497638717,0,0,0,0,0,0,0,0,0,0,0.351868774196519,0,0.015268379950021,0,0,0,0,0,0,0,0,0.0282408551507696,0.0459169731120345,0,0.0141639702425443,0,0,0,-0.0286923389457365,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712507474449381,0,0,0,0,0,0,0,0,0.154451024588332,0,0,0,0,0,0.0464329095969044,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0159414297700345,0,0,0,0,0,0,0,0,0,0,-0.0426202246814727,-0.0639331014510284,-0.235176852158682,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158453071637213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813308432107383,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431122290742393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208692672938686,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,-0.0024292051666377,0,0,0,0,0,0,0,-0.00968268174694648,0,-0.0601207393127239,-0.115417450007252,0,-0.0968732791632208,0,0.0646368284118994,0,0,0,0,0,0,-0.0573413902126065,0,0,0,0,0,-0.0121220633497583,0.142738457649037,0,0,0,0.0568640181856672,0,0,0,0,0,0,0.0960820340761932,0,0,0,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0.00146369297312253,0,0,0,0,0,0,0,0,0,0,0,-0.123770355778217,0.1660375798057,0,0,0,0,0,0,-0.212372761959828,0,0,0,0,0,0.0652927209831461,0,0,0,0,0,0,0,0,0.0630643209084602,0,0,0,0,0,0,0,0,0,0,0,0.0296347810258159,-0.0693505525092563,0.155528888441765,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00907198035202392,0,0,0,0,0,0,0,0,0,0,-0.00239313428840666,0.00420227062618706,0,0,0.00019718817634217,0.000720747329605777,0,-0.00764190404637649,0,0,-0.00225422060291993,0.00783316338427361,0,0.0032187945966459,0,0,0,0,0,0,0,0,0,-0.0124827521624151,0.0123599549422169,-0.0281674219631442,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,-0.0099687840351262,0,0,0,0,0,0,0,-0.0185801003850518,0,0,0,0.0129510590352475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00324379107336027,0,0,0,-0.00141698187335466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120824207973091,0.0940541017972189,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583967628632021,0.030446538402734,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264604543401931,0,0,0,0,0,0,0,0,0,-0.0074570245950274,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000790563762814167,0,0,0,0,0,0,0,0,0,-0.0427423902537774,0.0264257363881963,0,0,0,0,0,0
