,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X600688.SH,X601898.SH,X600795.SH,X601991.SH,X601600.SH,X600309.SH,X300072.SZ,X600660.SH,X600547.SH,X600362.SH,X600886.SH,X600188.SH,X600027.SH,X000709.SZ,X600339.SH,X002466.SZ,X600157.SH,X600111.SH,X000898.SZ,X601158.SH,X000959.SZ,X600489.SH,X600008.SH,X600299.SH,X002460.SZ,X000883.SZ,X600352.SH,X600219.SH,X600583.SH,X600176.SH,X002271.SZ,X600578.SH,X000723.SZ,X000630.SZ,X000539.SZ,X000408.SZ,X600021.SH,X000027.SZ,X000792.SZ,X600808.SH,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600027.SH,0,0,0,0,0.23500473580074,0,0,0.0425457111508788,0,0,0,0.060403926671334,0.145656462002868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00256538808843898,0,0,0,0,0,-0.0291016417689441,0,0,0,0,0,0,0,0,0,-0.0482031936302712,0,-0.0172821720669714,0.0258488382101369,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0.208305082658719,0,0,0.101444547757425,0,0,0,0,0,0.0262692057056659,0,0,0,0,0,0.112905073282119,0,0,0,0,0,0,0,0,0.503282320053496,0,0.295239075285092,0,0,0,0,0,0,0,0,0.205016414207638,0,0,0.233417730993392,0,0,0,0.32232542249228,0,-0.167281825692762,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0358573440016206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474744904640272,0,0,0,0,0,0.0972014980738446,0,0,0,0,0,0,0.589482472346295,0,0,0,0,0.0859903688234072,0,-0.0116554107342407,0.0519911245891964,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.00204300681781752,0,0,0,0,0,0,0,0,0,0.134458597977802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723831388187877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00316090462613056,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0.00448288306082065,0,0,0,0,0,0,0,0,0,0.0285316519317863,0,0.104024291509666,0,0,0,0,0,0.0975036916812927,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0787250653582586,0,0,0,0,0,0,0,-0.0159241122888693,0.0339299975279917,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256055062704948,0,0,0,0,0,0,0.00123621083646035,0.0569403886558248,0.160716926519956,0,0,0.0119775406339861,0,0,0.262686138033642,0.0381622924634682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12133505659433,0,-0.00691151077737415,0.0192335138146908,0,0,0,0,0,0
X000898.SZ,0,0,0.0416499547175283,0.144147638996541,0,0,0.0712748090945629,0,0,0,0,0,0,0,0,0,0,0.591147391990312,0,0,0,0,0.0647849477016487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032538649763963,0,0,-0.0291088475117366,-0.0153071291036764,0,0,0,0,0,0
X601158.SH,0,0,0,0.0535440364988056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326030237818191,0.097808932761967,0,0.0566168763203964,8.67361737988404e-19,0,0,0,0,0,0.0104846464932722,0,0,0,0.0206374920073495,0,0,0,0,0.0502086919886058,0.016458527097541,0,0,0,0,0,0,0,0,0,0,0,-0.0206667549507453,-0.00171459501565657,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0.115229387256097,0,0,0,0,0,0,0.190905905366276,0,0,0,0,0,0,0,0,0,0,0,0.229306677999936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040985387546605,0.0512248458711648,0,0,0,0,0,0,0,0.0698042311005934,0,0,0.0401293724077394,0.069987092132782,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.0243306934652746,0,0,0,0,0,0,0,0,0,0.126084381087652,0,0,0,0.0671073888569669,0,0.02735447165519,0,0,0,0,0,0,0,0,0.0150753344258748,0,0,0,0,0,0,0.0785547095990083,0,0.266042067649657,0,0,0,0,0,0.174819713884681,0,0,0,0.0224271984507686,0,0,0,0,0,0
