,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600011.SH,X600547.SH,X600886.SH,X601600.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X000708.SZ,X600010.SH,X600027.SH,X600803.SH,X600111.SH,X002460.SZ,X601991.SH,X600160.SH,X600426.SH,X000301.SZ,X000983.SZ,X601699.SH,X002466.SZ,X000807.SZ,X600219.SH,X002128.SZ,X000630.SZ,X000786.SZ,X601168.SH,X000933.SZ,X600176.SH,X600985.SH,X600096.SH,X000408.SZ,X000877.SZ,X000883.SZ,X002353.SZ,X002409.SZ,X000027.SZ,X000932.SZ,X002271.SZ,X600348.SH,X600282.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0,0,0,0,0.0205641430620822,0,0,0,0,0,0,0.0654725565050627,0.647837823136468,0,0,0,0,0,0,0,0.0678360463047826,0,0,0,0,0,0,0,0,0,0,0.0328380306459645,0,-0.0692769496570374,0,0,0,0,0,0.0257052762678795,0,0,0.0381591828606005,0.083020694675206,0,0,0,0,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,-0.0047810721689378,0,0,0,0,0.231424897223325,0,0.0703697634555116,-0.0700712484646734,0,0,0,0,0,0,0,-0.0300574956757283,0,0.166516831821666,0,0,0,0.0544208173479161,0,0,0,-0.0745715217393202,0,0,-0.0366741269173534,0.180253277520871,0,0,0.167367992030268,0,0,0,0,0,0,0,0.0669955144380529,0,0,0,-0.012802158204412,-0.124437553554984,0,0,-0.0497713371520322,0,0
X601168.SH,0.0828442361954142,0,0,0,0,0,0,0,0,0,0.142529620765878,0,0,0,0,0,0.68260203650978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193817775116846,0,0,0,-0.144424251330586,-8.67361737988404e-19,0,0,0,0,0,0.0433271250860064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0.113039990512407,0,0,0,0,0.300509984278269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0886579670054777,0,0,0,0,1.73472347597681e-18,0.193142135333432,0,0.0512632424445068,0,0,0,0,0,0,0,0.0287469573256033,0,0,0.125429412822316,0,0,0,0,0.0484139323036259,0,0,0.0591240781354098,-0.0944840202783129,0,0,0,-0.0290259659382709,0,0
X600176.SH,0,0,0,0,0,0.0330752937168293,0,0,0,0,0,0,0,0,0,0.0637687737236183,0,0,0,0,0,0,0,-0.0911299922157598,0,0.532979353675812,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.241359408420664,0,0,0,0.0087329028993799,-0.13150126062536,0,0,0.174396171912873,0,0,0,-0.0012665278396457,0.0422210097329711,0,0,0,0,0,0
X600985.SH,0,0,0,0,0.0240658900530279,0.0268344246614975,0,0,0,0,0.149578935361844,0,0,0,0,0,0,0.107689449391177,0,0,0,0,0,0,0,0,0,0.0711295156218131,0.389628481945526,0,0,0,0,0,0,0,0,0.017283549390092,0,0,0,0,0,0,0,0,0,0.00715626653894673,0,0,0,-0.00435923279390575,0,0,0,0,-0.00913733230831378,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120742606314301,0,0.21722785114443,0,0,0,0,0.116741366859038,0,0,0,0,0.126087860801396,0,0,0,0,0,0.0615819767828076,0,0,0,0,0,0,0.0245349641279301,0,0,0,0,0,0.0387392818012458,0.0750550516054205,0,0,0,0,0,0,0,0,0.0420093577632572,0,0
X000408.SZ,0,0,0,0,0,0,-0.137711995996952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103999586155053,0,0.0775331987615531,0,0,0,0,0,0,0,0,0,0.0572360312569164,0.41178875028138,0,0,0,0.0665806746511442,0,0,0,0.116959505027695,0.0138893240717865,0,0,0,0,0,0,0,-0.0765366316158863,0,0,0,0,0,0
X000877.SZ,0,0,0,0.130290871193706,0,-0.0860072792808106,0,0,0,0,0,0,-0.235005184408194,0,0,0.0994276354367541,0,0.0108256216578775,0,0,0,0,0,0,0,0,0.104793739191386,0,0,-0.0274019660312962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539903430464511,0.0709280043300011,0,0,0,-0.00490469180397163,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0.179799429978838,0,0,0.273850879173314,0,0,0.0595450524127694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,-0.0311081740929273,0,0,0,0.14878345212432,0,0,0,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672784967839661,0,0,0,0.0278792872151283,0,0,0,0,0,0,0,0,0,0.154476137540166,0,0.0818882776286514,0.0319493734004717,0,0.191593365604705,0.306679643925843,0,0,0,0.0462602540197833,0,-0.131286453753221,-0.00630490636141619,0,0,0,0,-0.00112694482428751,0,0,0,0,0,0
X002409.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148430412915086,0,-0.152578415365411,0,0,0,0,0,0,0,0,0,0,0.201490314917884,0,0,0,0,0.208882812777605,0,0,0,0,0,0,0,0,0,0,-0.00668324862782963,0,0.206852990435291,0,0,0,0,0
X000027.SZ,0,0,0,0,0.163295421460774,0.0158604257852302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186959320154033,0,0,0,0,0.0524036375161993,0,0,0,0.156370116823838,0,-0.0727859621552754,0,0,0,0,0,0,0,0.00370466080436101,0,0.0548936659153351,0,0.019301557605045,0,0.0912708429547368,0,0,0,0,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0.27789614446955,0,0,0,0,0,0,0,0,0,0,0.204659991319771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279219461043699,0,0,0,0,0,0.229148424315532,0,0.193609995373526,0,0,0,0,0,0,0,0,0,0.0211459932353737,0.0257410454488112,0,0,0,0.00410028849092392,0,0
X002271.SZ,0,0,0,0.096001227203375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209044667876497,0,0,0,0,0,0,0,0.0260745075568983,0,8.67361737988404e-19,0.062802498157477,0,0,0,0,0,0,0,0.473055504575614,0,0,0,0,0,0,0,0,0,0.140380543017859,-0.0787418749768221,0,0,0,0.0374074383190444,0,0
X600348.SH,0,0,0,0,0,0.247339266808608,0,0,0,0.0417867996102322,0,0,0,0,0,0,0,0.121121414078555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353119232022199,0,0,0,0,0,0,0,0,0,0.116463972065149,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0732638951062114,0,0
X600282.SH,0,0,0,0,0,0,0,0,0,0,0.0801372871761293,0,0,0,0,0,0,0.02153615626705,0,0,0,0,0,0,0.0331898130498233,0,0,0,0,0,0,0,0.120697905611227,0,0,0,0,0.13227511896457,0,0,0,0,0,0,0,0,0.0887263529042124,0,0,0,0,0,0.0232730932696847,0,0,0,-0.0197926514610734,0,0
Change_TY3M,0,0,0,-0.0507250401779594,0,0,0,0,0,0,0,0,0,0,-0.326057406638151,0,0,0,0,0,0,0,0,-0.252322887859454,-0.0103686792625754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197852643771824,0,0,0,0,0.0172402422945678,0.289053726834614,0,0,0,-0.231953263706682,0.0219852720156435,0,-0.108525847772808,0,0,0,0,0.0106049648211556,0,0
Slope,0,0,0,0,0,0,0,0,0.0439960152571927,0,0,0,0,0,0,0,0,0,0,0.197104038679522,0,0,0,0,0,0,0,0,0,0.439729363145748,0,0,0,0,0,0,0,0,0,-0.0723701408529559,0,0,0,0,-0.0846374679498483,0,0,0,0,0,0,0,0.456743799070836,0,0,0,-0.57703648821605,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0350556755998566,0,0,0,-0.118997252033707,0,0,0,0,0,0,0,0,0,0,0,0,-0.04785203309573,0,0,0,0,0,0,-0.0851228608007176,-0.0215007913902203,0,0.0780417752884056,0,0,0,-0.048708237708724,0.463567003839545,0,-0.0693685666809583,0,0,-0.0232924858870317,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,-0.00582582637046668,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0961554753145911,0,0,0,0,0,0,-0.147707663383741,0,-0.0456392073513641,0,-0.0984479785508035,0,0,0,0,0.137265620067707,-0.0499489867225212,0,0,0,0,0,0,0,0,0,-0.00711967198182977,-0.0324765641301807,0,0,0,-0.0883388681412215,0,0
MKreturn,0,0,0,0,0,0,0,0,0.0334014754511655,0,0,0,0,0,0.0165058548580795,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412132358593279,0,0,-0.00680311252244708,0,0,0,0.0492756684855139,0,-0.0164206490234344,0,0,0,0,0,0,0,0,0,-0.0833840998392655,-0.0232746681976125,0,0,0,0,-0.0403568315372024,0.0777179997090064,0,0,0.00498298076024101,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000427821625076582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000770531456229149,0,0,0,0,0,0,0,0,0,-6.7762635780344e-21,0,0,0,-0.00546838440717244,0.00270362897831693,0,0,0,0.00139554590086001,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482846850860071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00676141130021968,0,0,0,0,0,0,-0.150132306928241,0.153851785357672,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00158808104989952,0,0,0,0,0,0,0,-0.00316276637323968,0,0,0,0,0,0,0,0,0,0,0,-0.00225454953889648,0,0,0.00360924260888559,0.00310000788513574,0,0,0,0,0,0,-0.0101683655218927,0,0.00547967401297932,0.0209632641152276,-0.0036340348818447,0,0,0,-0.0103268180566832,0,0
CarbonVol_Hubei,0,0,0,0,0,0.0010342002907912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00887572247970313,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.00428674187032961,0,0,0,0,-0.0113965758705226,0,0,0,0,0,0,0.01531448394787,0,0,-0.117425227921547,0,0,0,0,0.0275795605258864,0,0
