,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600011.SH,X002460.SZ,X600019.SH,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600795.SH,X600362.SH,X600426.SH,X600027.SH,X601991.SH,X000983.SZ,X600176.SH,X600803.SH,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X300037.SZ,X000408.SZ,X600160.SH,X600995.SH,X600219.SH,X000932.SZ,X000539.SZ,X002080.SZ,X000629.SZ,X002409.SZ,X600688.SH,X600612.SH,X600096.SH,X600378.SH,X000630.SZ,X000933.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600027.SH,0.102397346869704,0,0,0,0.0779874053969198,0,0.413718599444163,0,0,-0.123479115144917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129466647862491,0,0,0,0,0,0.56159932662613,-0.0128423416449386,0,0,0,0,0,0,0,0,0,-0.00248039286924539,0.0593252089471461,0,0,0,0,0,0
X601991.SH,0,0,0,0,-0.0769110672754664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215560006972121,0,-0.0223830641708482,0.311893976629132,0,0,0,0,0.0996458714109236,0,0,0,0,0,0,0,0,-0.048207948935076,0.0744045769148494,0,0,-0.0617339707044098,0,-0.141672202342718,0,0.0786505749771468,0,0.0659834230134149,0,0,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.0688057681211378,0,0,0,0,0,0,0.000775651048207681,0,0,0,0,0.13118099465097,0,0,0.185942355195768,0.0236965201777558,0,0,0.0762895525831511,0,0,0,0,0,0,0.0139126951814341,0.0626797214266316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561375159657166,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156688728310336,0.161386300936012,0,0,0,0,0,0,0,0,0,0.0850317597711181,-0.0526710849954223,0,0,0,0,0,0,0,0.13789169491373,0.0371224383214195,0,0,0,0,0,0,0.0707920823127617,0,0.028502494791696,0,0.0288216899129034,0,0,0,0,0,0.0099586784238143,-0.00203597068542864,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131992943257477,0,0,0.191158719141591,0,0.071722545410144,0,0,0,-0.0266148283443626,0,0.0394510205712651,0,0,0.354670141399165,0,0,0.108457715172758,0,0,0,0.115015641593662,0,0,0,0,-0.145100231867857,0,0,0,0,0,-0.0301983288868186,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0.649613263442766,0,0,0,0,0,0,0,0.0602692528139697,0,0,0,0,0,0,0,0,0,0,0,0,0.130584707232197,0,0.0367964209632266,0,0,0,0,0,0,0,0,0.022690915441315,0,0,0,0,0.0170365541118404,0,0,0.00497524914749328,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.280564768429671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111418729448077,0,0,0,0,0.00577105957411716,0,0,0,-0.123646565303283,0.21820555973169,0,0,0.0604020894202375,0,0,-0.0339477973648595,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311557650491875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227171862341265,0,0,0,0,0,0.00980139304586027,0,0,0,0,0,0,0,0,0.120097348334388,0,0,0,0.275449078444364,0,0.0154215327627403,0,0,0,0,0,0,0
X000786.SZ,-2.16840434497101e-19,0,0,0,0,0,0,0.151414762747986,0,0,0,0,0,0,0,0,0,0,0,0,0.135623014648517,0,0,0,0,0,0,0,0.509624388104525,0,-0.131651893098724,0,0,0,-0.0574994686182201,0,0,0,0,-0.0128744432934008,0,0,0,-0.139604651711955,0,0,0,0,0,0,0,0.0251701773019804,0,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.214177646526563,0,0,0,0,0,0,0,0,0.0301864526775589,-0.0612630103571489,0,0,0,-0.122073682869199,0,-0.0423819663074254,0.170196486876878,0,0,0,0.151094810112736,0,0,0,0.206034832217612,0,0,0,0,0,0.188373367248823,-0.136838494999233,0,0.117436412916581,0,0.0574011220578424,0,0,-0.268692095269566,0.0439655751221804,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,-0.0408123788889606,0.105401263854177,0,0.102433222382937,0,0,0.52012324974216,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0629978709526068,0.0843549666386548,0,0,0,0,0,0,0.0497171222328259,0,0,0,0.0276881422708675,0,0,0,0,0,0,0,0,0,0,0.0564495454497436,0,0,0,0,0,0
X600160.SH,-0.106790827802931,0,0,0,0,0,0,0,0,0.0551162295642246,0,0,0.17532034436928,0,0,0,0,0,0,0,0.0248629031378909,0,0,0,0.0307333625061019,0,0.115741873699126,0,0,0.219397873583054,0,0.230489359398213,0,0,0,0,0,0,0,0,0,0.387528014176349,0,-0.148351001094231,0,0,0,0,0,0,-0.0763172134973084,0.0251243404096901,0.111690470501324,0,0,0,0,0,0
X600995.SH,0,0,0,0,0.058198255308284,0,0,0,0,0,0,0,0,0.131620014794218,0,0,0,0,0,0,0,0,0,0,0,0,0.0615296093028219,0,0,0,0,0,0,0,0.105274910504421,0.102726234376367,0,0,0,0,0.159137906839221,0,0,0.0365760384690142,0,0,0,0.127093243735415,0,0.0872390983046504,0,0.0151704557118642,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0.0768605669280201,0,0,0.0589420915704481,0,0,0,0,0,0.0917086047318915,0,0,0.0534036068431125,0,0,0,0,0,0,0,0,-0.0160549438908728,0,0,0,0,0,0,0,0,0.0307207255926427,0,0,0.0358536408296588,0,0.144783788783255,0,0.0681427322759197,0,0.0214555579304152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357684580230189,0,0,0,0,0,0,0,0.046981873039451,0,0,0,0,0,0,0,0,0,0,0,0,0.0632545466485905,0,0,0,0,0,0,0,0,0.0243812610568874,0,-0.194316752989488,0,0.00823275276410541,0,0.159105004134085,0,0.0224388345343033,0,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105653492672059,0,0,0,0,0,0,0,0.0502333999404143,0,0,0,0.595416407982318,0,0,0,0,0,0,0,0,0,0,0.150916713345665,0,0,0,0,0,0.0443636193345027,-0.116614088647097,0,0,0,0,0,0,0,0,-0.102363364807629,0,0,0,0,0,0
X002080.SZ,0,0,0,0.111243825379702,-0.100341365378883,0,0,0,0,0.182834206796024,0,0.105919435843366,0,0,0,0,0.0620011928422261,0,0.01056085195648,0,0,0,0,0,0.12396199458334,0,0,0,0.462688977741596,0,0,0,0,0,0.251321733323658,0,0,0.0608849355077198,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168483013166603,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0.0251112851669311,0,0,0.176638753513672,0,0.137089474673176,0,0,0,0,0,0,0,0,0,0,0.129634799649485,0.211859663799781,0,0,0,0,0,0,0.0361922342931714,0,0,0,0,0,0.05805413580363,0,0,0,0,0,0,0,0,0,0,0,0,0.0459785432806022,0,0,0,-0.0172396901750086,0,0,0,0,0,0,0
X002409.SZ,0,0,0,0,0,0,-0.0742374238423562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.308135887003949,0,0,0,0,-0.0334914021029746,0,0,0,0,0.126531308355029,0,0,0,0,0,0,0,0.389248841916235,0,0.116169635417804,0,0.0815630051614045,0,0,0,0,0,0,0
