,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600660.SH,X600547.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X601699.SH,X000708.SZ,X600426.SH,X600362.SH,X000301.SZ,X000877.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X002271.SZ,X601991.SH,X600160.SH,X600985.SH,X600176.SH,X000807.SZ,X000408.SZ,X000630.SZ,X000786.SZ,X000932.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X600688.SH,X000629.SZ,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600426.SH,0,0,0,0.166832270904232,0.079980189419062,0,0,0,0,0,0,0,0,0,0,0.090061486908838,0,0,0,0,0,0,0,0,-0.270211742649618,0,0,0.0440089796778582,0,0,0,0.0172822534118404,0,0,0,0,0,0,0,0,0,0.331731747965171,0,0,0,0,0,0,0,0,0,0.00201334138191127,0,0,0,0,0,0,0
X600362.SH,0,0,0,0.0290651284372423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188167109196389,0,0,0,0,0,0,0,0.0468886700235062,0.151343439083736,0,0,0,0,0,0,0,0,0,0.03622649680728,0,0,0.146612782957463,0,0,0,0.119390880734974,0.2621743950735,0,0,0.000324236543134557,-0.000912421791640142,0,0,0,0,0.0157863377634026,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153707747493497,0,0.0259367900607106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043525359235533,0,0,0,0.0614661931617274,0,0,0,0,0,0,0,0,0.219566593044961,0,0,0.0505076720466498,0.0375372861457413,-0.059367303486146,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0.41964044772247,0,0,0,0,0.00827064717390538,0,0,0,0,0,0,0,0,0,0,0,0.177585955714768,0,0,-0.126674290297316,0,0,0.0397789700652246,0,0,0,0,0,0.0593954656815125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0276724422319723,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.132829395611009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164447332223284,0,0,0,0,0,0,-0.0454946186540243,0,0,0.00401125116593894,0,0.00411137112764661,0.355208815319365,0,0,0,0,0.318514461239418,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00477318096890645,0,0,0,0,0.0687589580811727,0,0
X600027.SH,0,0,0,0,0,0,0,0.38139186227874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153750667369791,0,-0.0228604438334367,0,0,0.321124004228088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.0144292118887812,0,0
X600803.SH,0,0.212854740519301,0,0,0,-0.124194881349726,0,0,0,0.0113172770405722,0,0,0,0,0,0,0,0,0,0,0.039701367313498,0,0,0,0,0.15835937921235,0,0,0,0,0.481361668694735,0.0601242398037701,0,0,0,0,0,0,0,-0.370668757394335,0.158845684345116,0,0,0,0.0429589444424047,0,0,0,0,0,0.213418518264028,-0.00263081601956483,0,0,0,0,0.0475821004794375,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0.71104857952459,0,0.0266284789849955,0.00193315222278853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053834664592131,0,-0.00873288026065913,0,0,0,0,0,0,0,0,0,0,0,-0.00857543016591994,0,0,0,-0.0474578522239741,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0.0974766032578997,0,0,0,0,0,0,0.0791322355892881,0,0,0,0,0,0,0.104302624395088,0,0,0,0,0,0,0,0,0,0,0,0.0795980090675026,0,0,0.22342641008661,0,0,0.136684598164759,0,0,0,0,0,0,0,0,0.105176428046529,0.169290781378894,0.0227600755147874,-0.0189295981153058,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.255396373543013,0,0,0,0,0.10479130483442,0,0,0.0139139961624011,0.110032589927142,0.116972081956732,0,0,0,0,0,0,0,0,0.062519166613267,0.0847366198021157,0,0.037124646573989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185585092455185,0,0,0,0,0,0
X600160.SH,-0.310292992299836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103676156457336,0,0,0.044820344270203,0,0,0,0,0,0,0.0642206306604783,0,0,0,0,0,0,0.0910446739048054,0,0,0,0.408745433221961,0,0,0,0,0,0.244292689958866,0,0,0,0,0,0,0.056268340999049,0,-0.0432538264537866,0,0,0,0,0,0,0
X600985.SH,0,0,0,0,0.21852057591416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196484859647068,0,0,0,0,0,0.177122180411899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154608360259577,0,0,0,0,0,0,0,0,0,0,-0.00130939312372733,0,0,0,0,0.0080235569282517,0,0
X600176.SH,0,0,0,0,0,0.0251301321332347,0,0,0.443613737520306,0,0,0,0,-0.00417784608910136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654585279563053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230862455395351,0,0.0276361647023312,0,0,0,0,0.115706776628917,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.535433750895663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107052220624088,0,0.0547133128713404,0,-0.100110251850592,0,0.153814694049009,0,0,0,0,-6.93889390390723e-18,0,0,0.118706112796371,0,0,0,0,0,0,0,0,0,0,-0.0178380406944313,0,0,0,-0.0543469606924303,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469526831482814,0.450905282220824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.00847848246934077,0,0,0,0,0,0,0,0,0,0,0,0.00253044979733489,-0.0201342525967085,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0.0936575654898865,0,0,0,0,0,0,0,0.141500480199166,0,0,0.0146736362875091,0,0.141378314653121,0,0,0,0,0,0,0,0,0,0.0239356837275784,0,0,0,0.0197147856188185,0,0,0.0301384835368834,0,0,0,0.0525067751407904,0,0,0,0,0,0.0772393804887237,0,0,0,0,0.103622745561694,0,0.00257661581316599,-0.0160817443060615,0,0,0,0,0,0
X000786.SZ,0.235340470412854,6.93889390390723e-18,0,0,0,0,0,0,0.309634082023794,0.143379134819355,0,0,0,0,0,0.0173972034336813,0,0,0,0,0,0,0,0,0,0.0864953744739584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163210269112424,0,0,0,0,0,0,0,0,0,0.0191749975580869,0.0185085558433301,0,0,0,0.113171196817694,0,0
