,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X002460.SZ,X600362.SH,X000301.SZ,X002466.SZ,X600489.SH,X600160.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000807.SZ,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X600176.SH,X000877.SZ,X002128.SZ,X601699.SH,X000630.SZ,X000408.SZ,X601168.SH,X600985.SH,X600096.SH,X000933.SZ,X600157.SH,X002353.SZ,X600352.SH,X600378.SH,X000831.SZ,X600995.SH,X002271.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327428327890507,0,0,0.0965013106888133,0,0.041586773577215,0,0,0,0,0,0.0276074935849463,0,0,0,0,0.189330110687487,0,0,0,0.247537609649105,0,0.166276931897276,0,0,0,0,0,0,0,0,0,0.00843288231993694,0,0,0,0,0.0125474919827619,0,0
X601699.SH,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0146222207482063,0,0,0,0,0,0,0,0,0,0.0688304629200192,0,0,0,0.105495104618862,0,0,0,0,0,0,0,0.408473133049458,0,0,0,0,0,0.0320661344699314,0,0,0,0.155771829356765,0,0,0,0,0,0,0,0,0,-0.0153564304231461,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237577553788532,0.589448620698543,0,0.0129329011790839,0,0,0,0,0,0,0,0,0.0469651370392251,0,0,0.0436033012389928,0.0153109601307665,0,0,0,0,0,0,0,0.102586733803119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00613627844457795,0,0
X000408.SZ,0,0,0,0.110569085038439,0,0,0,0,0,0.147519622266509,0,0,0,0,0,0,0,0.039698269794083,0,0,0,0,0.0805242149930094,0,0,0,0,0,0,0,0,0,0,0,0.0163507144528477,0.00333629693482469,0,0,0.0233705034253598,0.0723546885451048,0,0.176413469312647,0,0,0,0,0.0984212721412746,0,0,0,0,0,0,0,0,0,0,0,0
X601168.SH,0,0,0,0,0,0,0,0,0,0.0731236597929338,0,0,0,0,0,0,0,0,0,0,0,0.0848557051507662,0.143911984761205,0,0,0,0,0,0,0,0,0,0,0,0,0.0337236901632058,0.134147259213191,0,0,0,0,0.167039826334713,-2.16840434497101e-19,0.00953075698463452,0,0,0.0238447053347191,0,0,0,0,0,0,0,0,0,0.0219269957501965,0,0
X600985.SH,0,0,0,0,0,0,0.17435494980027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373054290647266,0,0,0,0,0,0.0717730157845557,0,0,0,0.121585493417114,0,0,0,0,0,0,0,0,0,-0.0173647706912127,0,0,0,0,-0.00255542910711052,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598267764883256,0,0,0,0,0,0,0,0,0,0,0.157990660689997,0,0,0,0,0,0,0,0,0,0,0,0,0.0226204971126927,0,0.166526418177889,0,0,0.0417040429039279,0,0,0,0,0,0,0,-0.00276776935977119,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0.0775493962883305,0,0,0,0,0,0,0,0,0,0.102049259916089,0,0,0.0663648444011432,0,0,0,0,0.355191345521611,0,0,0,0,0,0,0,0.0941279030544499,0.00536228486004879,0.0953224376781966,0,0.0115188034861856,0,0,0,0,0,0,0.0346846768439338,0,0,0,0,-0.109317156438059,0,0,0,0,-0.0174412439727504,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158506646910322,0.105855405792339,0,0,0,0,0.0585771501900871,0,0,0,0,0,0,0,0,0,0,0,0,0.0613144652547843,0,0,0.135001035219795,0,0,0,0,0.0411824843051587,0,0,0,0,0,0,0.212290243255877,0,0,-0.0815061294075837,0,0,0,0,0.027737621880948,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205944809750242,0,0,0.337850851784727,0,0,0,0,0.112697108930307,-0.272627564492668,0,0,0,0,0,0,0,0,0.167554928476127,0,0.119259062983346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619917864935386,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0
X600352.SH,0,0,0,0,0,0.11299863298346,0,0,0,0,0,0,0,0,0,0,0,0.0663424276364322,0,0.0301460650131924,0,0,0,0.0187819050446856,0.00286823585126003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823994998345271,0.0186283216255958,0,0,0,0,0.00676648555807877,0.0296568914255502,0,0,0,0,0,0,0,0,0,0
X600378.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13424114609205,0.237637795954386,0.284890680614879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260758519669852,0,0.0860636370481766,0,0,0,0,0,0.0179364523840016,0,0,-0.0898314603294533,0,0,0,0,-0.0651010811877971,0,0
