,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600583.SH,X000027.SZ,X601992.SH,X000539.SZ,X600309.SH,X000898.SZ,X000709.SZ,X600021.SH,X600352.SH,X000883.SZ,X600660.SH,X002470.SZ,X601918.SH,X000792.SZ,X600098.SH,X600623.SH,X600489.SH,X600022.SH,X600307.SH,X600547.SH,X600863.SH,X000629.SZ,X600808.SH,X002353.SZ,X000060.SZ,X300072.SZ,X600578.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600098.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219691200992198,0,0,0,0,0.141486666415167,0,0,0.0927515869788439,0,0,0,0,0,0.0477374150013437,0,0,0.272449213695977,0.0248361881885175,0,0,0,-0.0330544708844495,0,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0.0304679127729993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194562786628442,0,0.0280921540018538,0,0,0,0,0.04752973732477,0,0,0.2557167373635,0.118573214336039,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0973715661368137,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.159589290951261,0,0,0,0,0,0,0,0,0,0.0103924410220676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172791755962251,0,0.530691119354293,0,0,0.118787333375577,0,0,0,0,0,0,-0.0100404783778964,0,0,0,0,0,0,0
X600022.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450489212471294,0.37922374897622,0,0,0,0,0,0,0,0.11570770971106,0,0,0,-8.67361737988404e-19,0,0.168856358474792,0.129620767144764,0,0,0.0140759855751162,0,0,0,-0.0276551045637285,0.00870210825071283,0,0,0,0,0,0
X600307.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437455307063029,0,0,0,0,0.105218114218677,0,0.0185709084306132,0.211259684591126,0,0.304507017744566,0,0,0,0.0848555201005845,0,0,0.10064022153617,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0716462705583171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252548418954582,0,0,0.128459863282288,0.432512611173419,0.114200083842748,0,0,0,0,0.0296047339454408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0596102168882085,0,0,0,0,0.00340298088377354,0,0,0.271460068916504,0,0,0,0,0,0,0,0.0476862106122665,0,0,0.00549746529712234,0,0,0,0,0.121308502388899,0,0,0,0,0,0,0,0,0.174485640754594,0.0876681260799879,0,-0.0175946339017354,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0355195449066985,0,0,0,0,0,0,0.0321590623340195,0,0.162494071572714,0.123477426678795,0,0.179122550224839,0,0,0,0,0.172362005944424,0,0,0,0.136400626565819,0,0,-0.0140881841089657,0,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.00360501380210652,0.0473489312653478,0,0,0,0,0,0,0.209256862160736,0,0,0,0,0,0,0,0,0.190157042097679,0,0,0,0,0.121402015766917,0,0,0,0,0.0820624291480307,0,0,0,0,0,0,0.0136467665425248,0,0.0425120274586333,0,0,-0.011770974467689,0,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.367913027274493,0.0341150917368502,0,0,0,0,0,0,0,0,0,0,-0.0437816983061665,0,0,0,0,0,0,0,0,0,0,0,0.0295874540738575,0,0,0,0,0,-0.0843886225927354,0,0,0.0229162338693213,0,0.20135994631639,-0.114520219014563,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819919786342119,0,0,0,0.0979564020180897,0,0,0,0,0,0,0.104754246949127,0.194972545834587,0,0,0.279917973283309,0,0,0,0,0,0,0,0,0,0,-0.00260242155359104,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814785562066605,0,0,0,0,0,0,0,0.269839310974623,0,0,0,0,0.1271127817322,0,0.295216106863696,0,0,0,0,0,0.0479506062221172,0,0,0.0454877488265879,0,0,0,0,0.0350976512189379,0,-0.0105610091266181,0,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,0.0627656769626642,0,0,0.385173715507006,0,0,0,0,0,0,0.0410527740509825,0.138346121568681,0,0.00553061222634987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608438411235204,0,0,0,0.020078162912072,0,0.148818920706158,0,0,-0.004224760008978,0,0,0,0,0,0
X600008.SH,0,0,0,0,0,0,0,0.0726988489639354,0,0,0,0,0,0,0,0,0,0.104634046189282,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0949410898912598,0,0,0,0,0.110856721946553,0.201538122414227,0,0,0,0,0.28399360582398,0,0,0,0,0,0,0,0,-0.00653261410010707,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.0837057075657871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826358975436844,0,0,0.108540017805543,0.0903062643321569,0,0,0,0,-0.0370680496370785,0,0.0129414053304749,-0.163842012645892,0,0,0,0,0,0.0518413693425022,0,0.0840192025622738,0,0,0,0,0,-0.0368837471348352,-0.0446678207523254,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,-0.702717377080634,0,0,0,0,-0.365172283511201,0,0,0,-0.278236452621037,0,0,0,0,0,0,0,0,0,0,0,0,-0.144193750858176,0,0,0,0,0,0.258643739655881,0,0.14632490895079,0,0,0,0,0,0,0,0,0,1.10521279961614,0,-0.252758469029369,0,9.00719137536913,0,0
TED,-0.203335552970179,0,0,0,0,0,0,0,0,0,0,0,0,-0.407354383253689,-0.0861268300781127,0,0,0,0.207144606417673,0,0,0,0.16512052255179,0,0,0,0,-0.233308292407361,-0.091798644891276,0,0,-0.177670220055159,0,0,0,0,0,0,0,0,0.285883587271499,0,0,-0.158315683666866,0.141733940183306,0,0,0,-0.0071256458617517,0,0.029032310419498,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15035805846247,0,0,0.188877406103498,0,0,-0.0989054192136072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112370966290916,0.110959196505925,0,0.0905693995574075,0,0,0,0
MKreturn,0.333407408161698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220456446836152,0.0280822255461464,0,0.0101521931509092,0,0,0,0,0,0,0,0,0.0159993178070669,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0599647772522277,-0.389305419302708,0,0,0,-0.0366825231172048,0,0.158771635740481,0,0,0,0,0
MKvol,0,0,0,0,0,0,0.0153499295736007,0,0,0,0,0,0,0,-0.00313632975142057,0,0,0,0,-0.00211758094636879,0,0,0.00110869974835179,0,0,-0.0164796971335313,0.00729972230602648,0,0,0,0,-0.00828593269718595,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,-0.0107369693350603,0,0,-0.00298440008545778,0,-0.00179947468876414,0,-0.000676434476173821,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0.0617514048781683,0,0.0309628784988822,0,0,0,0,0,0,-0.0884018076102354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425394917482196,0,0,0,-0.0300918731499915,0,0,0,0,0,-0.0210984895029008,-0.0430865185779859,0,0,0,0.0186759715304321,0.0475689372770169,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204146046555075,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0.023095839544717,0,0,0,0,0,0,0,-0.0180323399958683,0,0,0,0,-0.0078623178772858,0,0,0.0111623771777536,0,0,0,0,0,0,0,0,-0.00216859945858932,0,0,-0.000419021563858527,0,0,0,0,0,0,0,0,-0.0088272542016053,0,0,0,0,-0.020599454300368,0.0160313555728033,0,0,0,0,0,0
