,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X000708.SZ,X600027.SH,X600803.SH,X600160.SH,X600010.SH,X600111.SH,X000983.SZ,X600426.SH,X601699.SH,X002460.SZ,X601991.SH,X000301.SZ,X000786.SZ,X002466.SZ,X000877.SZ,X002128.SZ,X000933.SZ,X000807.SZ,X000630.SZ,X600985.SH,X600219.SH,X600176.SH,X601168.SH,X000883.SZ,X000408.SZ,X002353.SZ,X600348.SH,X600096.SH,X000027.SZ,X002271.SZ,X600995.SH,X600612.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0961116421140725,0,0,0,-0.0856216863810245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248743791165084,0,1.73472347597681e-18,0,0,0,0.397094969418043,0,0,0,0.0384719737345792,0,0,0,0,0.0975032957723013,0,0,0,0.00116831018440615,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,6.93889390390723e-18,0.215550051634226,0,0,0,0,0,0,0,0,0,0,0.109480355746901,0,-0.0252606442982935,0,0,0,0,0.310604875862997,0,0,0,0,0,0,0,0,0,0,0,0,0.216872207113936,0,0,0,0,0,0,0.163102902409858,0,0,0,0,0,0,0,0.0627016701027622,-0.0779718138773482,0,0,0,-0.0530805691970777,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107612935982113,0,0,0,0,0,0,0,0.055912705092638,0,0,0,0,0,0,0,0.775837873318604,0,0,0.0334424275277505,0,0,0,0,0,0,0,0,0,0,0.0106228056963615,0,0.0332810563687407,0,0,0.0106884377818451,0,-0.0351523108285241,-0.00729877080020343,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.164387904216114,0,0,0,0.0393637168938516,0,0.104378818811504,0,0,0,0,0.14027083273332,0,0,0,0,0,0,0.0736051615167745,0.0472464582236732,0,0,-0.0212579319210438,0,0,0,0.0356008516613606,0,0,0,0,0,0,0,0,0,0,0,0,-0.0317831845841024,0.28748180605376,0,0,0,-0.0152585984216647,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0255260851141987,-0.110399191126004,0,0,0,0,0,0,0.0597181202356369,0,0,0.325388331614462,0,0,0.0155574445979705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259079722552772,0,0,0,0,0,0,0.177713410205668,0,0,0.0250721480992899,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0.269204335308155,0,0.120523898144087,0,0,0,-0.0789066944606273,0,0,0,0,0,0,-0.0983772077384403,0,-0.0730644242663487,0,-0.101854736012406,0,0,0.153335710209813,0,0,0,0,0,0,0,0,0,0.145758325103894,0.0636175222633288,0,0,0,0,0.0330787202377454,0,0,0,0,0,0.0390799600602029,-0.0333709149485386,0,0,0.00414374808192598,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381771675639276,0.72747801445829,0,0,0,0,0,0,0,0,0,0,0,0.0382194255993517,0,0,0,0.00802910318824841,0,0,0,0,0,0,0,0,0.0274054921973469,0.0255219330429957,0,0,0,-1.0842021724855e-19,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0180739368446234,0,0,0.0934467983666379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12548937433287,0,-0.283647897227328,0.676251011200427,0,0,-0.0550542992254904,0,0,0,1.73472347597681e-18,0,0
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820210128745568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295971458482687,0,0,0.185791122860682,0,0,0,0,0,0,0,0,0,0.029495910661278,0,0,0,0,0.0238831059923181,0.000658410183548487,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0.0434535095739247,0,0,0,0,0.0594714863547122,0,0,0,0,0,0,0,0,0.107100230526635,0,0,0,0,0,0,0,0,0,0,0,0.150879451272807,0,0,0,0.531063821157655,0,0,0,0,0,0,0,0.0464167037195717,0,0,0,0,0,0,0,0,0,-0.000546634881127233,0,0,0,-0.0296591378267752,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0.15384479986855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113298131812591,0,0,0,0,-0.0763969914904202,0,0,0,0.326428843359755,0,0,0,0,0,0.23870107834959,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394308476989102,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0380726199640731,0,0,0,0.613365521584364,0.0557324744741325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103019042762345,0.0710287031704062,0,0,0,0,0,0,0,0,0.00319028494171464,0,0,0,0,0,0,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0.0903723697949331,0.0179402564605233,0,0,0.0391084792345992,0,0,0,0,0,0,0,0.0941452070851376,0,0,0,0,0,0.0631338703745115,0,0.377837688807792,0,0,0,0,0,0,0,0,0,0,0,0,0.0626630538897307,0.0745211913482361,0.0423429461896615,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0365594905205642,-0.00959322715283759,0.0233651753392913,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0.139253848860901,0,0.0205426476725563,0,0,0,0.177768463294647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280289263907631,0,0.0805548630506079,0,0,0,0.0908544389923836,0,0,0,0,0,0,0,0,0,0,0,0,0.0119318994744634,-0.012942446760655,0,0,-0.0237372615311842,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,-0.040432608666462,0,0,0,0,0,0,-0.0426829357432735,0,0,0,0,0,0.124545893091448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541959810832027,0,0.177702837603109,0,0,0,0,0,0.0333338246431344,0,0,0,0,0,0
X601168.SH,0.124128448450183,0,0,0,0,0,0,0,0,0.253322596714292,0,0,0,0,0,0.695205984242796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0595590207452392,0,0,0.020748963273582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406457454384079,0,0
X000883.SZ,0,0,0,0,0,0,0,0.120208970899859,0,0.118582213276043,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457656758625767,0,0,0.0154846531367907,0.123588707999529,0,0,0.161981881562954,0,0,0,0,0,0,0,0,0,0,0,-0.0370925775095679,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0.077303309739172,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0386968085166197,0,0,0,0,0,0,0,0,0,0.13858808291333,0,0,0,0.322627908497293,0,0,0,0,0.150072274476311,0,0,0,0,0,0,0,-0.0810786295439636,0,0,0,0,0,0
