,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X600011.SH,X601898.SH,X600111.SH,X000301.SZ,X600660.SH,X000708.SZ,X600010.SH,X601600.SH,X002271.SZ,X600547.SH,X600886.SH,X000877.SZ,X600426.SH,X600795.SH,X600362.SH,X601699.SH,X000983.SZ,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X000786.SZ,X600995.SH,X000629.SZ,X000807.SZ,X000408.SZ,X600160.SH,X600219.SH,X000723.SZ,X000831.SZ,X600489.SH,X600096.SH,X600378.SH,X002080.SZ,X000933.SZ,X600348.SH,X000630.SZ,X300037.SZ,X600688.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600378.SH,0,0,0,0,0,0,0,0,0.13670999029239,0,0,-0.0987047742575712,0,0,0,0,0,0,-0.19411270585792,0.0826296745004182,0,0,0,0,0.188764689538418,0,0,0,-0.0511471062631089,0,0,0,0,0,0,0,0,0,0,-0.308579397566491,0,0.0797500102037522,0,0,0,0,0,0,0,0,0.01597240965513,0.00426238331575987,0.0287795286970621,-0.185807774550324,0,0,0,0,0
X002080.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340086619151195,0,0,0,0.0338459540885741,0,0,0,0,0,0,-0.120607783300714,0,0.291783023552841,0,0,0,0,0,0,0.0694816821231477,0,0,0,0,0.0314787724393455,0,0,0,0,0.0177053280864777,0,0,0.00529639811151151,0,0,-0.0970884308712991,0.00486902381434095,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,-0.0661888898259662,0.234153127405312,0,0,0,0,0,0,0,0.228346173350603,0,0,0,0,0,0,0.0693614363375668,0.0567682543359469,0,0,0,0,0,0,0.12439510009872,0,0,0,0,0,0,0,0,0,0,0.282305347885364,0,0,0,0,0,0.00636905578736057,0.0167464261213003,0,0,0,0,0,0
X600348.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493637602857721,0,0,0,0,-0.0293180736428307,0,0,0,0,0,0,0,0.127258980809322,0,0.186297158439617,0,0,0,0,0.0899874019553068,0,0,0,0,0,0,0,0.335643699912794,0,0,0.0227993226818507,0,0,0,0,0,0,0,0.0416396765480141,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0.182104831575361,0,0,0,0,0,0,0,0,0,0,0,-0.073637816730086,0,0.0790448737537625,0.0661645948030289,0,0,0,-0.128682211851519,0,0,0,0,-0.0116587114587768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129149303074359,0,0,0,0,0,0.017887676860403,0.00769344780257344,-0.0300089575240011,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0.408861544487302,0,-6.93889390390723e-18,0.106167135195114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0870600718354546,0,-0.0396238282246642,0,0,-0.0426727420469281,0,0,0,0,0.034629705209993,0,0,0,0,0,-0.10699472814607,0,0,0,0,0,0,0,0,0,0,0,0.00101537916916511,-0.00657978754839487,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.015090317371118,0,0,-0.0489024462673527,0,0.0108654397796743,0,0,0,0,0,0,0,0,0,0.0273885485587206,0.0532694748901199,0.205301887137988,0,0,0,0.0783703529018895,0,0,0,0,0.0109212933180845,0,0,0.0791811008437941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200774388451735,0,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,-0.126166988730917,0,0.0248074296640146,0,0,0,0,0,0,0,0,0.0107509924789125,0,0,0,0,0,0,0,0,0,0,0,0.0864242205307043,0.188273638793954,0,0,0,0,0,0,0,0.0807136289013251,0,0,0,0,0,0,0,0,0,0,0,0.00896254865979354,-0.002502254923945,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0.0774848412252199,0,0,0,0,0,0,-0.475243284103694,0,0,0,0,0,0,0,0.0363868912458785,0,0,0,0,0,0,0,0,0,-0.256091183239883,0,0,0,0,0,0,-0.250737197605702,0,0,0.173976888781139,0,0,0,0,0.0138291983661782,-0.0291164731190614,-0.470661186341769,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540035900356757,0,0,0,0,0,0,0,0,0,0,0,0,0.202819738185187,0,-0.956318092883971,0.113451349553569,0,0,0,0,0,0,0,0,0,0,0,0,-0.467139667715281,0.55574106114257,0,-0.0972382736614315,0.677119911173508,0,0,0,0.382087106170093,0,0.741479280382161,1.66778446905148,0,0,0,0,0
TED,0,0,0,0,0,0.34259211047394,0,0,0,0,0,0,0,0.581798327134732,0,0,0,0,0,-0.462792366311861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12498300722075,0,0.703333359982947,0,0,0,0,-1.76797984285555,0.0783461659327738,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189341552926527,0,0,0,0,0,-0.0795335945969772,0,0,0.0301721204832706,0,0,0,0,0.177803105538261,0,0.0393534377598886,0,-0.0530110291420286,-0.071881199054662,0,0,0,0,0,0,0,0,0,-0.107380505689204,0,2.16840434497101e-19,0,0,0,-0.00687128400362128,0,0,0,0.038889899502298,-0.0220691039203493,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0.150843330881872,0,0,0,0,-0.0292330027559793,0,0.0671552141718175,0,0,0,0,0,-0.0127757484037791,0,-0.0546764402143581,0,0,0,0,0,0.0292750065787038,0,0,0,0,-0.023307364740064,0,0,0,0,0.00402129608901188,0.0253553696367862,0,0,0,0.0238693755682749,0,-0.0416233013896984,0,0,0,0,0,0.0140747967521614,-0.00523638643502242,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,-0.0030334733321192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0076392269904562,0.00264255864358153,0,0,0,0,0.00220603390757335,0,0,0,-0.00419030651430199,0,0.0052458953849304,0,0.00379693485397381,0,0,-0.0134938474125665,-0.000965314441658032,-0.00418854558579095,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000316336811661011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117438568484745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00684391890998818,0.0097544852190935,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404377316798491,-0.0100501069200105,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00202599944824026,0,0,0,0,0,0,-0.00427003825887096,-0.0128317268479595,0,0,0,0,0,0,0,0,0,0,0,0,0.00849989011402013,0,0,0,0,0,0,0,0.00554408060123613,0,0,0.012698320374425,0,0.0186517842068194,0,0,0,0,0,0
