,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X600886.SH,X601991.SH,X600688.SH,X600027.SH,X600157.SH,X000709.SZ,X600188.SH,X600111.SH,X600362.SH,X600583.SH,X601992.SH,X002075.SZ,X601158.SH,X600309.SH,X000539.SZ,X000027.SZ,X600021.SH,X000898.SZ,X600352.SH,X000883.SZ,X002353.SZ,X601918.SH,X002470.SZ,X000792.SZ,X000629.SZ,X600863.SH,X600307.SH,X600808.SH,X600098.SH,X000878.SZ,X600660.SH,X600578.SH,X000060.SZ,X000825.SZ,X600489.SH,X300072.SZ,X600008.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534193104200073,0,0,0,0,0,0.136927721540245,0,0,0,0.0958222900270809,0,0,0,0,0,0,0.235362476926232,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236366615181301,-4.33680868994202e-19,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268122527015628,0,0,0,0,0,0,0,0,0,0,0,0.052681845263617,0,0,0.0239238901722493,0.0981492270638011,0,0.0257235060227314,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.161974972466579,0,0.0836893331914288,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0.186158498153067,0,0,0,0,0,0,0,0,0,0.0549435480669748,0.0100611196800251,0.0271193809775765,0,0.0201415377531101,0,0,0,0,-8.67361737988404e-19,0.151948619776933,0,0,0,0,0.0115783853501396,0,0,0.00939206016717568,0,0,0.0196694347521829,0,0,0,0,0,0.175294853962094,0,0,0,0,0,0,-0.00598334081393238,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0.0438578580865637,0,0,0,0,0,0,0,0,0.0787298992224031,0,0,0,0,0,0,0,0,0,0,0.0831304486408647,0,0,0.0743582010987443,0.330208543804675,0,0,0,0.0143629017681696,0.0196524654009298,0,0,0,0,0,0,0,0,0,0,-0.00983799422601749,0,0,0,0,0,0,0
X600008.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473756828136677,0,0,0,0,0,0.560788909053075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132743799330703,0,0,0,0,0,0,0
X600315.SH,0,0,0,0.152908595446099,0,0.0519702160145436,0,0,0,0,0,0,0,0.0355846906454878,0,0.160671846684139,0,0,0,0,0,0.0043993192420184,0,0,0,0,0,0.0622695788682908,0,0,0,0,0.00975576619777023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0554782976220085,-0.0265603826016461,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254807863027889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146373861032239,-0.122272916413481,0,0,0,0,0,0,-0.221389709622823,0,0.0766551800997648,0,0,0,0,0,0,0,0,0,0,0,-0.0434159667509571,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.481890254415249,0,0,0,0.172050502848948,0,0,0.142853021108439,0,0,0,0,-0.887130037491477,0,0,-0.414417809518943,-0.348466728082212,0,0.976184876490588,0,0,0,0,0,0,0,0,0,0.43482522522947,0,0,0,0,0.33688771806112,-0.825484516922397,0,0,0,0,0
TED,0,0,0,0,0.437402894471754,0,0,0,0,0,0,0,0,0,0,0,0.0408803038311255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51964597205657,0,0,0,-0.54340168674893,0,0,0,0,0,0,0.188212706018892,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255318088704924,0,-0.321477644576084,0,0,0,0.171729302157167,0,0.205967612877509,0,0,0,0,0,0.0233634397926127,0,0,0.166366382506066,0,0,0,0,0,0,0,0,0,0,-0.137971641588912,0,0,-0.0900584410239569,0,0,0,-0.0165478033985193,-0.0383726194550027,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0.113778590058756,0,0,0,0,0,-0.0137198085731041,0,0,0,0.00707926582530228,0,0,0,0,0,0,0,0.0204701932237741,0,0.116772273163813,0,0,0,0,0,0,0,0,0,0.113054801364157,-0.233762431549661,0,0,0,-0.152650640659642,0.0517195130697059,0,0,-0.290034045370685,0.139860718967959,0,0,-0.044198439861385,-0.00253725461413281,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000898703738901988,0,0,0,0,0.153558739056648,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184654917209791,2.71050543121376e-20,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000208960985008427,0.00147108235720924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132981309123584,0.00464319471674962,0,0,0,-0.0121888413804234,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134452804907534,0,0,0,0,0,-0.00854274808359408,-0.00710129512481818,0,0,0,0,0,0,0
