,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600547.SH,X600011.SH,X600886.SH,X000792.SZ,X600795.SH,X600010.SH,X600111.SH,X600362.SH,X600489.SH,X002460.SZ,X000708.SZ,X600027.SH,X002466.SZ,X600803.SH,X600160.SH,X601991.SH,X000786.SZ,X000301.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X000408.SZ,X600176.SH,X002128.SZ,X601699.SH,X000877.SZ,X000630.SZ,X600096.SH,X601168.SH,X600985.SH,X000933.SZ,X600378.SH,X002271.SZ,X600995.SH,X002353.SZ,X600352.SH,X000883.SZ,X000932.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002460.SZ,0,-0.0821032022071448,0,0,0,0,0,0,0,0,0,0,0,0.0971369481130038,0,0,0.333265382982858,0,0,0,0,0,0.434852488112858,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0346055482852873,0,0,0,0,0,0,0.196136064950534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159001521417356,0,0,0,0,0,0.100792101965689,0,0,0,0,0,0,0,0,0,0,0,0.470479763261309,0,0.0394916494436924,0,0,0,0,0,0,0.12146346404503,0,0,0.0287893124685403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0.00176335790800052,0,0,0,0.175551236741078,0,0,0,0,0,0,0,0,0,0,0.0123760508422405,0.05316390001781,0,0,0,0,0,0,0.0259734015514942,0,0,0,0,0,0,0,0,0.405277239577957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873221852006585,0,0,0,0,0
X002466.SZ,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.030223238750056,-0.0172636213301432,0,0,0,0,0,0,0,0,0.885891189238041,0,0,0,0,0,0,0,0.0758030559398289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100121021835055,0,0,0,0,0,0.0404451344214392,0,0,0,0.101333468100702,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.393712964582987,0,0,0,0.012588604499311,0,0,0.0308300246829623,0,0,0,0,0,0,0,0,0,0,0,0.114316945908546,0,0,0,0,0.0260755359639096,0,0,0,0,0,0,0.147737624082606,0,0.0484323612565662,0,0,0,0.167381683128749,0,0,0,0,-0.0769211101434933,0,-0.0104749983056765,0,0
X600160.SH,0,0,0,0,-0.133996492923095,0,0,0,0,0,0.238674939433786,0,0,0,0,0,0,0,0.0760981922777724,0,0,0,0.0130399638425126,0,0,0,0.0210528102820719,0,0,0,0,0,0,0.0672367969091133,0,0,0.0501553950190788,0,0,0,0.291629693582667,0,0.356414718252226,0,0,0,0,0,0,0,0.188659130573383,0.0853616729471723,0,0,0,0,-0.010092774443625,0,0
X601991.SH,0,0,0.104929071120901,0,0,0,0,0,0,0,0,0.117526595903076,0,0,0,0,0,0,0,0,0,0.28927369876025,-0.0527733994800121,0.066635605440492,0,0,0,0,0,0,0,0,0,0,0,0,0.0876475104223507,0,0,0,0,0.0406025163959795,0,0,0.115916679582886,0,0,0,0.0881298127370236,0,0,0,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0.350990234286439,0,0,0.267402075318754,0,0,0,0,0,0,-0.0103350791301159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324477139632809,0,0.0443529903645595,0,0,0,0,0,0,0,-0.0197066446114541,0,-0.226055983870596,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216051708530075,0.0325536171712672,0,0.0760593954720869,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0386219522288856,0,0,0,0.205447412060502,0,0,0.196328205525397,0,0,0,0,0,0,0,0.187751640447321,0,0,0,0,0,0,0,0,0,0,0,0.201011755296334,0,0
X000807.SZ,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.148020427724618,0,0,0,0,0,0,0,0,0,0,0.0370621673100105,0,0,0.0977232725137863,0,0,0.0438448442510971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275590691305847,0.0094594711477128,0,0,0,0,0,0,0,0,-0.00884780195373087,0,0,0,0,0,0,0
X600426.SH,0,0,0,0.345974034469606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513937220027522,0,0.013901808960404,0,0,0,0.196432834230446,0,0,0,0,0,0,0.157131464275906,0,0,0,0,0,0,0,0,0.102983266105815,0,0,0.0793507178673228,0,0,0,0,0,0,0.0397485450400631,0,0,0,-0.010937268490554,0,0
X600219.SH,0,0,0,0,0.00689312291485525,0,0,0,0,0.450528372702036,0,0,0,0,0,0,0,0,0.0279528063120859,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177770756210451,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0119160672684281,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087712727573461,0,0,0.083827414081314,0,0,0,0,0,0,0,0,0,0,0,0.337809972937534,0,0.101123882299886,0,0,0.0948572368736077,0.0633059667032026,0,0,0,0,0,0,0,0.032613536081382,0,0,0,0,-0.0235691514881078,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0.0131053415213133,0,0,0,0.113438036963436,0,0,0,0,0,0,0,0,0,0,0.0144799342887606,0,0,0,0,0,0,0,0,0,0,0.0236604054075785,0,0,0,0.214381726981203,0.0334771221286349,0.203169483310333,0,0,0,0,0,0,0,0.113331860150835,0,0,-0.0471601422452431,0,0,0,0,0,0
