,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X000301.SZ,X600010.SH,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X600176.SH,X000933.SZ,X000932.SZ,X600348.SH,X600612.SH,X600219.SH,X601168.SH,X002128.SZ,X300037.SZ,X600157.SH,X000027.SZ,X600688.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0.5443254529515,0.0220812846656716,0,0.0254490739080932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613639922009769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00906452452410502,-0.000417937131374984,0,0,0,-0.0194744779366788,0,0
X002271.SZ,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0210381023057413,0,0.559282048569012,0,0,0,0,0,0,0,0,0,-0.130604497837508,0,0,0,0.0290585804473755,0,0,0,-0.0893250798450009,0,0,0,0.00908342170029811,0.161893242674328,0,-0.0401890613655308,0,0,0,0,0,0.203146495306297,0,0.130483024192199,0,0,0,0,0.0315612189477233,0,0,0,-0.0918736050384191,0,0
X600985.SH,0,0,0,0,0.185431646687169,0,0,0,0,0,0,0,0,0,0,-0.0659236267479003,0,0.490109057361412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038334517955403,0,0.00247100689646974,0,0,0,0.0152050089448107,0,0
X600160.SH,0,0,0,0.0596994595112613,0,0,-0.157354453834709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115297947885847,0.085934304019228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201093965887243,0.121392553046915,0.300793519933525,0.166868499302221,0,0,-0.0100893208473784,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0.00565811644346872,0,0,0,0,0,0,0.199522248687477,0.0587457898096853,0,0,0,0.0173783415956317,0,0,0,0,-0.0690339973202718,0,0,0,0,0,0,0.0577418946723564,0,0,0,0,0.0764891225473855,0,0,0,0,0,0,0,0,0.0258281803638142,0,0,0,0.236220169947772,0,0.0124078002124028,-0.0121778797404759,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.00654213090412292,0.304588535371913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339272511658082,0,0,0.191011590932209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102332448959533,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454576168768324,0,0,0,0,0,0.00159108481364884,0,0,0,-0.0329328002719357,0,0,0,0,0,0,0,0,0,0,0,0.151834459973224,0,0,0.234654863361462,0,0,0,0,0,0,0.0718823044979693,0,0,0,0,-0.0565810719312998,0,-0.025338612417148,0,0,0,0,0,0
X600176.SH,0.112233536242304,0,0,0,0,0,0,0,0.267031358111408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814254972691255,0,0,0.00194919182446981,0.0859278773334585,-6.93889390390723e-18,0,0,0.19656298443286,0,0,0,0,0.0487457335478842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00561797775368918,0,0,0,0,0,0
X000933.SZ,0,0.326690759631964,0,0,0,0.00989075863339317,0,0,0,0,0,0,-0.0316897967116296,0.0988826920547513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624527131695884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00891693037159831,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0.103514370429878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117335984290649,0.0903781308857411,0,0.139824821703863,0,0,0,0,0,0,0.176772319357823,0,0,0,0,0.125284021346084,0,0,0,0,0,0,0,0,0,-0.0180621947657659,0.0105523405133229,0,0,0,0,0,0
X600348.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203125964394877,0,0,0,0,0,0.134039829196729,0,0,0,0,0,0,0.0215014993232835,0,0.219261931262384,0,0,0,0.139585407038374,0,0,0,0,0,0,0.0848252379582498,0,0,0,0,0,0.0390990357079088,0,-0.00510058343375602,-0.00668636034247238,0,0,0,0,0,0
X600612.SH,0,0,0,0,0,0,0,0,0,0,0.199687658996007,0,0,0,0,-0.0308498999961143,0,0,0,0,0,0,0,0.0834231263845152,0,0,0,0,0,0,0,0,0,0,0,0,0.0192764720932341,0,0.0275426273244541,0.301569604529132,0,0,0,0,0,0.224615051420003,0,0,0,0,0,-0.0247878760578444,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124156344123705,0,0,0,0,0,0,0,0,0.0904560992400495,0,0.0372265421878492,0,0.122415650397646,0.0823881099987734,0,0,0.0537210034243379,0.0465767056249464,0,0,0.00494924002480797,0,0,0,0,0,0,0,0,0.00589768854029731,0,0,0,0,0,0
X601168.SH,0,0,0,0,0.00874213015044827,0,0,0,0,0,0,0,0,0.16228053524698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190505936336894,0,0,0,0.00530222557867104,0,0.325062598531634,0,0.104046069558227,0,0,0,0,0,0,0,0,0.19993944917036,0,-0.012820906249124,0,0,0,0,0.0787125082541662,0,0
