,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600795.SH,X600688.SH,X600309.SH,X600660.SH,X300072.SZ,X601600.SH,X601991.SH,X600547.SH,X600188.SH,X600886.SH,X600362.SH,X600027.SH,X000709.SZ,X002466.SZ,X600157.SH,X600339.SH,X600111.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600008.SH,X600299.SH,X002271.SZ,X000883.SZ,X600176.SH,X600352.SH,X600219.SH,X600578.SH,X002460.SZ,X000723.SZ,X600583.SH,X000408.SZ,X000630.SZ,X000539.SZ,X600021.SH,X000027.SZ,X000792.SZ,X000786.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600339.SH,0,0,0,0,0,-0.0429283701353178,0,0,0,0,0,0,0,0,0,-0.0466126191009237,0,0,0,0,0,0,0.103944269887658,0,0,0,0,0,0,0.0361619440620645,0.174273619472927,0,-0.115037553394001,0,0,0,0,0,0,0,0.219194369126485,0.316851934283643,0,0,0,0,0,0,0,0,-0.000279247184135157,0.0692576201693861,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.0145649907612065,0,0,0,0,0,0.0327557279145717,0,0,0,0,0,0,0,0,0.153978349225458,0,0,0,0.0504758381891083,0,0,0.337091728995088,0,0,0,0,0,0,0,0,0.0754683649754379,0,0,0,0,0,0,0,0,0,0,0,-0.0103712469911525,0,0,0,0,0,0,0
X000898.SZ,0,0,0.0792639583269594,0.323795084170019,0,0,0,0,0,0,0,-0.0281653970423867,0,0,0,0,0,0,0,0.243266655429247,0,0,0,0,0.0937199327732779,0,0,0.062291317324205,0,0,0.0277387515156051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0909391292342268,0.106537099324113,0,-0.0257232093322602,-0.0280285486382901,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,-0.133551839864123,0,0,0,0,0,0,0.292233186975499,0.135837834404148,0,0,0,0,0.205707065191965,0,0.0449610358341859,0,0,0,0,0,0,-0.131652471757003,-0.108213493762431,0,0,0,0,0,0,0,0.285932883570128,0,0,0,0,0,0,0,0,0.436398155081723,0.312169494629849,0,-0.0265074570913827,0.0069415351387129,0,0,0,0,0,0
X601158.SH,0,0,0,0.0402967238521521,0,0,0,0,0,0,0,0,0,0,0,0,-0.0267992643600553,0.0773300546490417,0,0,0,0.0721644949545174,0.0188192438178066,0,0,0,0,0.00344343523614412,0,0,0,0,0.0138537073674636,0,0.0555913848245649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186287757209171,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.0174301745174332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712651598885973,0.140144020251776,0,0.0541588346363922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037227252096453,0,0,0,0,0,0,0,0.258694968147548,0,0,0,0.00960982144689335,0.0193861130963303,0,0,0,0,0,0
X600008.SH,0,0,0,0,0,0,0,0.580845598148382,0,0,0,0,0,0.0671125333875936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183165840006108,0,0,0,0,0.259551804085706,0.107423127644663,0,0,0.239893195198927,0,0,0,0,0,0.374218164514891,0,0,-0.0152000133637518,0.0354552470132745,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,-0.0258659511843899,0,0,0,0,0,0,0,0,0.0411156667200422,0,0,0.0818359303641831,0,0,0,0,0.097805723776887,0,0,0,0,0.218958808604858,0,0,0,0,0,0,0,0,-0.0363467069233787,0,0,0.0777432672619106,0,0.00940714124275967,0,0.104207860210076,0,0,0.0348574228759541,0,-0.00383942325300233,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.150816922234328,0.0389770352786586,0,0,0,0,0,0,0,0,-0.0745867794450882,0,0,0,0,0,0,0,0,0,0,0,0.166908761983293,0,0,0,0,0,0,0,0,0,0,-0.042161280878038,0,0.222794360576262,0,0,0.0624117483976694,-0.0330915534128669,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473510327722059,0.0487448941148229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718871915927987,0,0,0.0468460599911928,0.0322896420222056,0,0.0851812150517117,0,0,0,0.0130792853383986,0.0260541238132036,0,0,0.0098878164194887,0,0,0,0,0,0
