,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X000539.SZ,X601992.SH,X000027.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X002470.SZ,X000792.SZ,X600489.SH,X600623.SH,X600098.SH,X002353.SZ,X600547.SH,X600022.SH,X000629.SZ,X600307.SH,X600863.SH,X600808.SH,X300072.SZ,X600578.SH,X000060.SZ,X601918.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600578.SH,0,0,0,0,0,0,0,0.0127335024307615,0,0.417405134480204,0.0449305247195321,0.0243940706002986,0,0,0,0,0,0,0,0.083984518344524,0,0,0,0,0,0,0.101278915631276,0,0,0,0,0,0,0,0,0,0,0,0.0832129149019436,0,0,0,0,0,0,0,0.053127007909726,0,0,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220208936397077,0,0,0,0,0.00204709071995303,0,0.125455127502255,0,0,0,0,0,0.225736103788981,0.02103357616155,0,0,0,0,0.276149909081225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601918.SH,0,0,0,0,0,0,0,0.104925075513084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155600764864453,0,0,0.341453493445612,0,0,0,0,0,0.278720666801592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319664855416724,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0.0515938269266789,0,0,0,0,0,0,0,0,0,0,0,0,0.0107859120216082,0,0,0,0,0.1491112211583,0,0,0,0,0,0.0384565009910769,0,0,0,0,0,0.020816111460816,0,0.212407445560911,0,0.369211271427359,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.0646102477817715,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236856949082374,0,0.0596022453131822,0,0,0,0,0.093270421521297,0,0.0615844126253871,0,0,0,0,0,-0.121117851310945,0,0.12882626553854,0.00352131069028369,0,0.0608494545932417,0,0,0,0,0,0,0,0,0,-0.0598676937904469,-0.0469668131936093,0,0,0,0,0,0
Slope,0,0,0,-1.37328242660712,0,0,0,0,0,0,0.623352753160574,0,0,0.167530467133281,-0.251576000188763,0,0,0,0,0,0,0.673956716996866,0.370374810852091,0,0,0,0,0,0,0,-0.157944124192878,0,0,0,0,1.67510304420553,0,0,0,0,0.101879722051093,0,0,0,0,0.0391310412758443,0,0,0,0,0,-0.260171256323356,0,0,0,0
TED,-0.0588678431879604,0,0,0,0,0,0,0,0,0,0,4.2351647362715e-22,0,0,0,0,0,0,0,0,0.111903548097549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17316482245223,0,0,0,0,0,-0.165450999703957,-0.121281410461855,0,0,0,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,-0.00696499217446183,0,0,0,0.023158504837455,0,0,0,0,0,-0.140804986252434,0.0870702039064361,0,0,0,0.162817831137962,-0.163762949458826,0,0,0,0,0,0,0,-0.000581677413126493,0,0.0673137378841022,0,0,0,0,0,0,-0.0822063239663071,0,3.46944695195361e-18,0,0,0.0249637305789377,0.120847224719607,0,0.199767433956063,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0.228706246014982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000632196641783919,0,0,0,0,0,0,0,-0.284128528739802,0,0.0824853496680023,0.0152698822786003,0,0,-0.0794465519124554,-0.0180603838346755,0.1258239308484,0,0,0,0,0
MKvol,-0.00421439296195937,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00534362763191617,0,0,0,0,0,0.0040073477621239,0,-0.000704070910341887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287434027539087,0,0,0,0,0,0,0,-0.00272694458187576,-0.000854781404140287,0,0,-0.00486817580516357,0,-0.00081799595355404,0,0,0,0,0
CarbonVol_Shenzhen,-0.104073332989021,0,0,0,0,0,0,0,0,0,0.0678966810225243,0.00164730833759131,0,0,-0.0270743730101607,0,0,0,0,0,0,0,0,0.0250486205850013,0,0,-0.0990953256603155,0,0,0,0.0404469263581357,0,0,0,-0.0145346961456516,0,0,0,0,0,0,0,-0.0537697683065238,0,0,0.03527574639865,0,-0.180849675600888,0.00329406696887051,-0.0363845065270824,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201159686665894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279838313884941,0,0,0.00302628985509983,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132842710661262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00786054394871162,0,0,0,0,0,0,0,0,0,0,-0.0103951432449154,0,0,-0.0271752872458443,0.0108688339156055,0,0,0,0,0,0
