,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X601991.SH,X600309.SH,X600157.SH,X600027.SH,X600886.SH,X601992.SH,X600660.SH,X600111.SH,X600489.SH,X000898.SZ,X000959.SZ,X600299.SH,X601158.SH,X000709.SZ,X000792.SZ,X600583.SH,X000723.SZ,X600339.SH,X002466.SZ,X000408.SZ,X600098.SH,X000630.SZ,X000883.SZ,X600352.SH,X600219.SH,X000539.SZ,X600021.SH,X000825.SZ,X000027.SZ,X002092.SZ,X000983.SZ,X600623.SH,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002092.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.205901406119944,0,0,0,0,0,0,0,0,0,0,0,0.047135356695058,0,0,0.221034056616633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363315098033695,0,0,0,0.373645931830261,0,0,0,-0.00912252264597628,0.000698308784777228,0,0,0,0,0,0
X000983.SZ,0,0,0,-0.0196634486716726,0,0,0,0,0.0473432118413136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156894779151403,0.137230261097355,0,0,0,0,0.0418459046640759,0,0,-0.0434527820776174,0,0.0112653220054667,0.743860727874404,0,-0.0364496201409093,-0.0159708535241135,0,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.105618639665654,0,0,0,0,0.217836108432257,0,0,0,0,0,0.0936858142894079,0,0,0,0,0,0,0,0.321361437520032,0.175607287975289,0.0868374265834724,0,0,0.107202907032827,0,0,0,0,0,0.0214549599682003,0,0.00551897236655241,0,0,0,0.22590033395359,0,0,-0.0167873082516352,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0.122635105940325,0,0,0,0.262091763092748,0,0,0,0,0,0,0,0,0.0208912809408709,0,0,0,0,0,0,0,0,-0.0163901854151772,0,0,0,0,0,0,0.0107437606314461,0,-0.00570018678725273,0,0,0,0.711788078009777,0,0,0,0,-0.0266926173951311,0.0256795857559654,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266800928134473,0,0,0.032517136784119,0,0,0,0,0,0,0,0.231359473483123,0,0,0,0,0,0.167832531064085,0.284991266273539,0,0,0.324442538197431,0,0,0,0,0,-0.044111446723447,0,0,0,0,0.262945092036524,0,0,-0.00108522717421158,-0.0188192885462864,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0.0802994654808536,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07735351945096,0.0228272748231285,0,0,0,0,0,0,0.0226630439679514,-0.220513987646976,0,0,0,0,0,0,0,0,0.0868968219883864,0,0,-0.0480509334043638,0,0,0,0.0204715180943808,0,0.084181931110752,0.0206447220450017,0,0,0,0,0,0
Slope,0,0,-0.265369527058603,0,0,0,0,0,0,0,0,0,0,0.252788028094613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,-0.0820094144267467,0,0,0,0,0,0,2.18758088409665,0,0.55339206010164,0,0,0,-4.02209904035784,0,0
TED,0,0,0,0.331962298381341,0,0,0,0,0,0,0,0,0,-0.231289901103879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.398697718016034,0,0,-1.510513297108,1.16031221285165,0,0,0,0,-0.698397306630716,0,0
RealEstate_excess,0,0,0,-0.0815912345812235,0,0,0,0,0,0,0,0.0768647712897518,0.158928376429479,0,0,0,0,-0.0121890085907146,0,0,0,0,-0.150467118378974,0,0,0,0,0,0,0,0,-0.0684593082938366,0,0,0,0,0,0,0,0,0,-0.124428181234523,2.16840434497101e-19,0,1.0842021724855e-19,0,0,0.0050067101266363,0,0,-0.0208905108552333,0.0134445557953617,0,0.278852308598283,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,-0.0993009359439491,0.0630729969470535,0,0.0347738101648531,0.0639132301804533,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0502154564444637,-0.00235362444440743,-0.12553588373284,0,0,-0.0380185440609551,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224061144901823,0,0,0.0104441093024472,0,0,-0.00533812176422845,0.00611969461905232,0.065369789292567,0,0,-0.0547410392856923,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,-0.000840523597280786,0,0.00296047066204394,0,0.0010785459670649,0,-0.000796070392712814,0,0,0,0,0,0,0,-6.6775680390644e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174824880210676,-0.00122465317344578,-0.000874957693292462,-0.000559382910427483,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,-0.0379049095852926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166719228800841,0,0,0,0,0,-0.752556385147642
