,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X600886.SH,X601898.SH,X601991.SH,X600660.SH,X600362.SH,X600795.SH,X600688.SH,X600188.SH,X600111.SH,X600352.SH,X600027.SH,X600801.SH,X000723.SZ,X601992.SH,X600489.SH,X002271.SZ,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X000709.SZ,X002460.SZ,X000629.SZ,X600299.SH,X002466.SZ,X000883.SZ,X601158.SH,X600219.SH,X002353.SZ,X600426.SH,X601699.SH,X600612.SH,X000630.SZ,X600583.SH,X000553.SZ,X600021.SH,X000401.SZ,X000027.SZ,X600985.SH,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600578.SH,0,0,0,0,0,0,0,0,0,0,-0.211549783411622,0,0,0,0.140219664093023,0,0,0,0.0348982846706619,0,0,0,0.0536502725100851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997932018291396,0,0,0.139101725119734,0,0,0,0,0,0,0,0.00250545492631,0,0,0,0.068623240161375,0,0
Change_TY3M,0,0,0,0,0,0,0.238686343715747,-0.0632034183846161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454475730805801,0,0,0,0,-0.154438407091838,0,0,-0.0365536452466434,0,0,0,0,0,0,0,-0.0919218537332873,0,0,-0.0633716336374504,0,0,0,-0.12382578156817,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217755878400963,0,0,0,0.893464926153344,0,0,0,-0.630318332727385,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.252122947678317,0.293822597756713,-0.0381490833254174,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014480644254434,0,0,0,-0.320427780128814,0.814208352381471,0,0,0,0,-0.311859572884416,0,0
RealEstate_excess,0,0,0,0,0,0,0,0.0188133727765453,0,0,0.0567839082438851,0,0,0,0,0,0,0,0,0,0,0,0.0162908974638379,0,0,0,0,0,0,0,0,-0.0840412800470174,0,-0.0574067052454329,-0.0291246472991614,0,0,0,0.025675662679746,0,0,0,0,0,0.00272669803923855,0,0.0679729868867427,0,0,0,0,0.0026907407326262,0.00718973036926187,0,0.031911903569319,0,0.00661151044431661,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0627436825118347,0,0,0,0,0,0,0.056759094891367,0,0,0,0,0,0,0,0,0,0,-0.044987773940227,0,-0.0120591781975143,0,0,0.154049771273739,0,-0.0184713652764536,0,-0.0274131164478138,0,0,-0.0022858210881047,6.10804299315865e-05,0,0,0,0.0304974382685024,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108914666391775,0,0,0,0,0,0,0,0,0.00411995100203218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00246485443736153,0.00726239884355071,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,1.31699928794594,0,0,0,0,0,0,0,0,0,0,0,0,-0.133196574758588,-0.30790103033941,0,-0.427252314897837,-0.585596434754725,0,0,0,0,0,-0.883130407804959,0.181563148308941,0,0,0,0.974860138163129,0,0,0,0,0,0,0,0.31500421406359,0,0,-0.28177290086222,0,0,0,0.190998217352614,0,-0.491488944365346,0.112974692833363,-0.213240034507547,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,-0.0051928609729934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112263545176032,-0.00051961585624867,0,0,0,-0.0429209534090664,0,0
CarbonVol_Hubei,0,0,0,0,-0.0149593719021569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00907603302596345,0,0,0,0,0,-0.0530528067176258,0.0220348681937317,-0.0515419688959201,0,0,0,0.00634512682417347,0,0
