,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X002271.SZ,X600027.SH,X601991.SH,X600362.SH,X600426.SH,X600803.SH,X601699.SH,X600489.SH,X000983.SZ,X600176.SH,X000807.SZ,X000786.SZ,X600995.SH,X000539.SZ,X000408.SZ,X600160.SH,X600219.SH,X000629.SZ,X300037.SZ,X600688.SH,X600378.SH,X002080.SZ,X002409.SZ,X000932.SZ,X600157.SH,X600612.SH,X600985.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600489.SH,0,0,0,0,0,0,0,0,0,0,0.63642402050973,0,0,0.116684168102138,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467694806685496,0,0,0,0,0.0394201899843212,-0.056666800504671,0,0,0,0,0,0,0.0253288841970428,0,0,0,0.0270371848529015,0,0,0.11532994234906,0,0,0.00672986778744127,0,-0.0430988021391873,0,0,0,0,0,0
X000983.SZ,0,0,0,0,-0.0475559849776433,0.313939527583407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875763293993553,-0.0660164302205294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0697393784120977,0,0,0,-0.0469893349145671,0,0,0,0.353489050612944,0,0,0,0.0332425001526811,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0.075660854726238,0,0,0,0,0,0.090534719946184,0.189203596141904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643099857102888,0,0,0.0213848678719219,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.13611563358121,0,0,0,0.121826802770697,0,0,0,0.0287620939523618,0,0,0,0,0,0,0
X000807.SZ,0.146816353359506,0,0,0,-0.229036401604115,0,0,0,0,0,0,0,0,0.624818429439625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541730210535933,0,0,0,0,0,0.162629983056337,0,0,0,0,0,0,0,0,-0.0723780808089922,0,0,0,0,0,0,0.00246876663060141,0,0,0,0,0,0,0
X000786.SZ,0.01555858121138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113419567007502,0.0104377155014892,0,0,0,0,0,0,0,0.420916286534167,0,0,0,0,0,0,0,0,0,0,0,0,-0.119955956930162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600995.SH,0,0,0,0,0,0.112558904145866,0,0,0,0,0,0,0,0.225145878204751,0,0,0,0,0,0,0,0,0,0,0.137875979943097,0,0,-0.0269446480415874,0,0,0,0,0,0,0,0.0891040567373806,0.170854081067916,0,0,0,0.0596634107100826,0,0.144109616802606,0.0104518188848925,0,0,0,0.0365794975838287,0,0,-0.109011120130742,0,0,0,0,0,0,0,0
X000539.SZ,-0.0177948926563332,0,0,0,0,0,0,0,0,0,0,0,0,-0.139708331156017,0,0,0,0,0,0,0,0,0,0.592882989738805,0,0,0,0,0,-0.0970551101483129,0,0,0,0,0,0,0,0.185964165098142,0,0.0164572851039833,0,0,0,0,-0.0710937683630453,0,0,0,0,0,0,-0.0491648125473864,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0.608330230227052,0,0,0,0,-0.0259206518889189,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182076947311045,0,0,0,0,0,0,0.0629557338317263,0,0,0,0,0.138231211746376,0,0,0,0,0,0,0,0.0254823467372941,0,0,0,0.0134426146050428,-8.67361737988404e-19,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,0,0,0.0712318858342829,0,0.104972986809893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133756523719187,0,0.0922892327432459,0,0,0,0.0485045075158155,0,0,0,0,0,0,0,0.0453716138335009,0,0.281346517480587,0.198594360533857,-0.0939555635127804,0,0,0,0,0,0,0.0368832705179754,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0.0381487393381897,0,0,0.11081893515987,0,0,0,0,0.0134604825760305,0,0,0,0,0,0,0,0,0,-0.0328174397756885,0,0,0,0,0,0,0,0.0288770555868102,0.211957764789808,0,0,-0.00820273180600748,0,0,0,0,0.0274166460026935,0,0,0,0.0181546995826511,0.112555516634203,0,0,0,0,0,0,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0.045017001998016,0,0,0.0498388460705416,0.246538127516671,0,0,0,0,0,0,0,0,0,0,0.181767912994282,0,0.081258635424643,0,0,0,0,0,0.0164824990946358,0,0,0,0.0761109553232822,0,0,-0.00244430655225319,0,0,0,0,0,0,0,0.0228942395825794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0,0,0.31957800432298,-0.110569548949143,0,0,0,0,0,0,0,0,0,0,-0.0233180422063674,0,-0.0367805418204579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322590278528799,0,0,0,0,0,0,0,0,0,0.260353917778587,0,0,-0.0337348617927071,1.73472347597681e-18,0.0528924014212503,0,0,0,0,0,0
X600688.SH,0,0.169940898524007,0,0,0,0,0,0.0402810456421302,0,0,0,0.090931668441745,0,0,0,0,0,0,0,0.0735497428266416,0,0,0,0.0210542637742033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539164685879035,0,0,0,0.0811304399313822,0,0,0,0.0490122414208855,0,0,0,0,0,0,0
X600378.SH,-0.238308308694433,0,0,0,0,-0.00677011203241533,0,-0.140976336314955,0.00560025457347835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194382622151054,-0.0210259726854177,0,0,0,0,0.0519059682736039,0.329528539120552,0.0627647738524783,0,0.00742401192627279,0,0,0.00181579853293396,0,0,0,0.0390648341365838,0.229646776890892,0,-0.0228919506329999,0,0,-0.0289811502454784,0,0,0,0,0,0,0,0
X002080.SZ,0,0,0,0.283144173665588,0,-0.0113229953275677,0,0,0,0.181840095535176,0.0147861874273678,0,0,0.148568645885278,0,0,0,0,0,0,0,0,0,0,0,0,0.0567021476548419,0,0,0,0,0.415585461815288,0,0,0,0,0,0,0,0.0915397919800964,0.139837331274749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002409.SZ,0,0,0,0,-0.143531490185068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162980734316086,0,0,0,0,-0.216569163224643,0,0.0598090129688222,0,0,0,0,0,0,0,0,0,0,-0.0678013372787631,0,0.282841884151643,-0.140711042853358,0,0.176374428157995,0,-0.110777371650561,0,0,0,0.0524215492646731,0,0,0,0,0,0,0
X000932.SZ,0,0.0685292852122679,0,0,0,0,0,0,0.0517533986611641,0,0,0,0,0.104505281865897,0,0,0,0,0,0,0.0600397356992711,0,0,0.0398496443203399,0,0,0,0,0,0,0,0,0.0667221672611925,0,0,0,0,0,0,0,0,0,0.0505818030863253,0,0.10969315183134,0,0,-0.106485433669628,0,0,0.053801519984289,0.0263536220707953,0,0,0,0,0,0,0
X600157.SH,0.0189676423023056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044827447313894,0.022812075688759,0.0533306898581526,0,0,0,0.00492035711654277,0,0,0.0412774860861387,0.05257353730163,0,0,0,-0.0157508749847275,0,0,0.0948868933569542,0,0,0,0,0,0,0,0,0,0,0,-0.0110556044285926,0,0,0,0,0,0,0
