,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600011.SH,X600309.SH,X601898.SH,X600795.SH,X601992.SH,X002466.SZ,X600688.SH,X600362.SH,X600188.SH,X600111.SH,X601991.SH,X600547.SH,X600516.SH,X002460.SZ,X300072.SZ,X600660.SH,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600808.SH,X600339.SH,X000959.SZ,X600489.SH,X000723.SZ,X600549.SH,X000983.SZ,X600219.SH,X600352.SH,X002092.SZ,X601699.SH,X000807.SZ,X000553.SZ,X000408.SZ,X601158.SH,X000630.SZ,X600299.SH,X000883.SZ,X000792.SZ,X600008.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117629214502861,0,0,0,0,-0.00926700111467074,0,0,0,0.0537839157431641,0.0928720290339041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421855386340211,0,0,0,0,0,0,0,0,0,-0.0205314260890614,2.16840434497101e-19,0,0,0,0,0,0
X002092.SZ,0,0,0,0,0,0,0,0,0.174099315210045,0,0,0,0,0,0,0,0,0,0,0.204042895979395,0,0,0,0,0.247640906205458,0,0,0,0.0712806258224333,0,0.00543646777014773,0,0,0,0,0,0,0,0.239800718155619,0,0,0,0,0,0,0,0,0,0,0,-0.0269302502000734,0.0242006285481464,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265938986134053,0,0,0,-0.0457548018253009,0,0,0,0,0,0,0,0,0.18481853890079,0,0,0,0,0,0.367533067105458,0,0,0.102164611516821,0,0.0107805966760039,0,0,0,0,0,0,0,-0.0144599872703915,0,0,-0.0065293970110685,8.67361737988404e-19,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0.123400638293105,0.799520159047325,0,0,0,0,0,0,0,0,0,0,0,0,0.0230108245265846,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179078159576594,-0.0149688277674414,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115476740942625,0,0,0,0,0,0,0,0.0937980197956314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398884678653162,0,0,0,0,0,-0.0208509320804288,0.044905149497473,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,-0.0735395640024805,0,0,0,0,0,0,0,0,0,0.0808789162502686,0,0,0.0377643442641194,0,0,0.0646587686355105,0,0.094897916533332,0,0,0,0,0.240198214442548,0,0,0,0,0,0,-0.145706774587779,-0.158496779891688,0,0,0.0664823803158743,0,0,0,0,0,0.0416705032104522,0,0,0.0771908805656729,-0.00569425409725289,0.0052665427148129,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790999109492865,0,0,0,0,0,0,0.0526094182264467,0,0,0,0,0,0,0.00721684951382684,0,0.0028445451907143,0,0,0,0.070878492821983,0,0,0.0772905458754208,0,0,-0.00136428545033353,0.00663612855577371,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381061203279205,0,0.0372200094535745,0,0,0,0,0,0,0,0,0,0,0,0.105639846322971,0,0,0,0,0.0688465656296121,0.0336342821619093,0,0,0,0,0,0,0,0,0,0,0,0.0213799395211035,0,0.0320918805204702,0,-0.00498164903307741,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,-0.116515443912822,0,0,0,0,0.0545270468316449,0,0,0,0,0.0103004164805364,0.0800536572519364,0,8.67361737988404e-19,0,0,0,0,0.115929047063411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253106431846648,0,0,0,0,0,0.115505936218989,0.112169364519274,0,0,-0.0120282971282327,0.0043510440866134,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0144638662939891,0,0,0,0,0,0,0,0,0,0,0.0351978480633451,0,0,0,0,0.00511517631774196,0,0,0,0,0,0,0,0,0.0220390799883154,0,0,0,0,0,0,0.207224882558095,0,0.0066644009900326,0,0,0,-0.00584924619022786,0.00454636928257557,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.245276444671019,0,0,0,0.0809830946760958,0,0,0,0.0126571801797373,0.0514273523852455,0,0,0.156720144360021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105303187575882,0.19869899883287,0,-0.0174150694826601,0.0149914971323242,0,0,0,0,0,0
X600008.SH,0,0,0,0,0,0,0,0,0,0,0,0.324141190516657,0.0311863118872605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345406518218698,0.0455129673422667,0.0404278036791732,0,0,0,0,0,0,0,0,0,0.383855914888442,0,0,0,0.113883377436232,0,-0.00435730499821713,0.0162958001556413,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0.182568137882131,0,0,0,0,0,0,0,0.0711709452518316,0,0,0,0,0,0,0,0,0.172640350199185,0.142980597019124,0,0,0,0.219188423281724,0,0,0,0,0.0372851872103179,0,0,0,0,0,0,0,0,0,0,0,0,0.0367037489540078,0,0,0,-0.0119565554035228,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,-0.229137189517224,0,0,0,0.11927472951818,0,0,0,0,0,0,-0.0657556233149771,0,-0.0151990298859276,0,0,0,0,0,0,-0.01221175103459,0,0,0,0,0,0,0,-0.164174433634659,0,0,0.0127482993745152,0,0.0536626683765319,0,0,0,0,0.0899184723317379,-0.0221685756711172,0,0,0.0120959003184231,-0.0424548140343961,0,0,0,0,0,0
Slope,0,0,0,0,0,0.215566160014391,0,0.478175450014843,0,0,0,0,-0.436841744553023,0,0,0,1.03164128453622,0,0,0.00822964914145486,0,0,6.93889390390723e-18,0,0,0,0,0,-0.273997557616202,0,0,0,0,0,-0.211167328157308,0,0,0,0,0,0,0.694839618895707,0,0,0,0,0,0,0,0,0,1.83613565509159,0,0,0,14.2100043541157,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61728198507463,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0.0720950555273973,0,0.0997243043403627,-0.0297203502897561,-0.0858126961138195,0.0547263427930987,0,0,-0.135312965559649,0.0475504898709071,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511314035217682,0,0,-0.0856237981811713,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.114336349117733,-0.0168725027934286,0.0167239817794522,0,0,0,0,0,0
MKreturn,0,0,0,0,0,-0.00380262413434158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0830232791864653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0.00272611442878852,0,0,0,0,0,0,0.0196031651979324,-0.0641402745577494,0,0,0.00321536318739343,0,0.0217541072627855,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209236898373249,0,0,0,0,0.000150134239240775,0,0,0,0.000323252691014566,0,0,0,0,0.000602103144425757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000988225849702103,0.000757989686137823,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276772675385536,-0.033627922881076,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010351138590794,0,0,0,0,0,-0.00654690795608652,0,0,0.0235659352885074,-0.0165969238350984,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,-0.00266754492838602,-0.0109125550119678,0,0,0,0,0,-0.0158321394207699,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101865270443893,0,0,0,0,0.00523504021312099,0,0,0.00613793755680501,0,0,0,0,0,0,0,0,0.0135538923496216,0,0,0,0,0,0,0,0.00974170501531092,-0.00129000445768535,0.0132150756946308,0,0,0,0,0,0
