,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600111.SH,X601992.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X002466.SZ,X600352.SH,X600309.SH,X000792.SZ,X600489.SH,X600583.SH,X000709.SZ,X000539.SZ,X000898.SZ,X000883.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X002075.SZ,X300072.SZ,X000959.SZ,X600021.SH,X002470.SZ,X000060.SZ,X000983.SZ,X600176.SH,X600578.SH,X600612.SH,X600022.SH,X600098.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002075.SZ,0,0,0,0,0,0.796941155496748,0,-0.130102765049421,0,0.185955834543242,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.487780597924477,0,0,0,0,-0.15032444185199,0,0,0.301056964105449,0,-0.162298216863097,0,0,0,0,0,0,0,0,0,0.0937197101195742,0.376697982605364,0,0,-0.56552139886252,0,0.363747641784329,0,0,0,0,0,0.00394502066216706,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218204664048396,0.0939982979257235,0.0310896305353307,0,0,0.172486789798859,0.0293033345904405,0,0,0.0864197382690045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391328865159643,0,0.33754637249547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0.749686668004566,0,0,0,0,0,0,0,0.0454243469752868,0,0,0,0,0,0,0,0.0687007450345974,0,0,0,0,0.118062849459297,0,0,0,0.0891767815609559,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.116070049085821,0,0,0,0,0,0,0,0.00229537635106161,0.00592638997594287,0.116460358081537,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342534684251277,0,0,0,0.0834728297722047,0,0,0,0,0,0,0.212950005086812,0,0,0.0541571263330632,0.000128149821879575,0,0,0,0.0223789071551685,0,0.00160567313213104,0,0,0,0.173477501202233,0,0,0.0064079722504787,0.0236371103045685,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048802384627463,0.0783565661379653,0.139411247621766,0,0,0.143211448258233,0,0,0,0.0699436864102092,0,0.0960937616280736,0,0,0,0,0.0442621593755816,0.0616724547174452,0,0.0827172671741736,0,0,0,0,0.0510018600726408,0,0.0847241764997755,0,0,0.0405758292318076,0.0776121612553899,0,0,0,0,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0.0984673704906276,0,8.67361737988404e-19,0,0,0,0,0.409247317983368,0.0784064601166901,0,0,0,-0.00965462752687444,0.0914779075656069,0.149146760104063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217246458515295,0,0,0,0.0650519005822209,0,0,0.152186765862601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0.0722041982444754,0,0,0.108835358810178,0.0739240793299034,0,0,0,0,0,0,0,0,0.0600912231738762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919947037014946,0,0.00133391746890744,0,0.0155268321953787,0,0,0.0546293706492804,0,0,0,0,0.151430085501337,0,0.424387519021687,0,0,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257427274258832,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0663174789750513,0.190442509803119,0,0,0,0,0,0,0,0,0,0,0,0,0.0799253306269943,0,0,0.189704405634294,0.0411792046290642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0442159733200384,0,0,0,0,0,0.0670441480373743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367280511751158,0,0,-0.0329105235908935,0.127040676514514,0,0,0,0,0.0812385159872128,0,0,0,0,-0.0370837276781621,-0.0226682071016282,0,0,0,0,0,0
X600612.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.0129281912069251,0,0,0,0,0,0.045634508659519,0,0.0933981926614721,0,0,0,0,0,0,0,0,0.284022396196175,-0.0588830860079737,0,0.103504289265911,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
